Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, told, head, mind
Topic 976 (0.01): world, life, sense, style, real, times, character, hard, age, modern
Topic 782 (0.01): bit, people, time, lot, day, round, night, stuff, bad, sort
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, looked, round, fell, ran
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, white, sat, round
Topic 1158 (0.01): looked, head, nodded, told, smiled, eyes, shook, hand, voice, sat
Topic 610 (0.01): mother, home, time, told, father, house, looked, girl, day, love
Topic 220 (0.01): eyes, voice, hand, looked, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, dead, flesh, air, skin, hands
Topic 1348 (0.00): sun, sky, trees, green, white, blue, air, light, water, day
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, feel, father
Topic 162 (0.00): eyes, voice, anger, told, time, hard, head, words, suddenly, mouth
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, head, hands, fingers, hair
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, position, argue
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, ideas, concept
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, day, remember
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, song, guitar, play
Topic 1361 (0.00): john, died, born, son, wife, daughter, sir, family, married, father
Topic 62 (0.00): political, social, society, economic, movement, liberal, power, century, politics, radical
Topic 38 (0.00): film, star, movie, series, john, actor, life, director, role, stars
Topic 1159 (0.00): door, stairs, house, kitchen, window, front, heard, floor, stood, looked
Topic 578 (0.00): father, mother, family, children, house, died, life, home, lived, son
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, woke
Topic 89 (0.00): dress, wear, black, white, clothes, wearing, wore, shirt, trousers, dressed
Topic 1380 (0.00): street, streets, city, people, town, road, houses, buildings, square, shops
Topic 8 (0.00): time, told, day, left, returned, decided, found, days, arrived, return
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, blue, girl
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, world, western, government, east
Topic 24 (0.00): yesterday, government, night, week, told, spokesman, secretary, decision, added, minister
Topic 188 (0.00): looked, house, day, told, people, time, night, cried, heard, home
Topic 847 (0.00): told, time, morning, home, day, night, phone, left, rang, car
Topic 1016 (0.00): king, son, royal, death, earl, reign, kingdom, political, lands, father
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, summit, ministers, minister
Topic 1487 (0.00): government, billion, country, money, past, world, economy, people, president, politicians
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, breakfast, plate, tea, eating
Topic 674 (0.00): book, wrote, published, life, writing, books, written, literary, read, author
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, announced, deficit
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, door
Topic 112 (0.00): support, accept, position, prepared, question, refused, accepted, agreed, decision, pressure
Topic 953 (0.00): public, criticism, attack, political, support, critics, views, issue, press, expressed
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, lunch
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 776 (0.00): success, experience, ability, world, successful, people, life, time, hard, confidence
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, kitchen, white, bedroom
Topic 266 (0.00): time, start, people, easy, difficult, remember, job, decide, worth, lot
Topic 494 (0.00): government, national, political, president, assembly, opposition, elections, party, parties, democratic
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, river, south
Topic 383 (0.00): people, feel, life, bad, wrong, told, time, stupid, understand, hate
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 721 (0.00): trees, path, ground, grass, track, looked, road, yards, feet, left
Topic 82 (0.00): forces, government, troops, peace, fighting, army, military, ceasefire, reported, war
Topic 1402 (0.00): head, takes, hand, eyes, feel, hands, sits, tells, makes, sit
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, democrats, government
Topic 800 (0.00): light, night, dark, darkness, lights, lit, moon, shadows, sky, torch
Topic 343 (0.00): business, market, company, sales, growth, future, major, markets, products, development
Topic 583 (0.00): minister, party, government, prime, president, opposition, leader, resignation, election, cabinet
Topic 1343 (0.00): development, period, major, developed, growth, developments, led, increasing, significant, process
Topic 229 (0.00): method, cost, advantages, methods, required, advantage, provide, difficult, effective, expensive
Topic 778 (0.00): book, published, books, guide, author, history, written, volume, edition, text
Topic 485 (0.00): talk, people, told, time, heard, conversation, talking, found, hear, talked
Topic 609 (0.00): history, historical, cultural, narrative, discourse, form, process, culture, forms, meaning
Topic 595 (0.00): money, pay, paid, people, buy, business, cash, pounds, spent, cost
Topic 221 (0.00): town, holiday, village, resort, beach, restaurants, day, beautiful, lake, beaches
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, wine, chamber, king
Topic 763 (0.00): cent, average, compared, proportion, survey, increase, figures, total, rate, half
Topic 258 (0.00): life, evil, death, sin, god, truth, guilt, true, moral, people
Topic 745 (0.00): hospital, doctor, home, ill, day, told, days, time, doctors, life
Topic 1146 (0.00): food, cooking, fresh, sauce, meat, fish, dishes, dish, flavour, chicken
Topic 55 (0.00): economic, economy, growth, government, policy, market, labour, industrial, policies, political
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, system, parents
Topic 1178 (0.00): cent, inflation, recession, rates, economy, growth, rate, economic, recovery, rise
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, county, innings, game
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, house, table
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, development, resources
Topic 977 (0.00): companies, firms, industry, market, markets, industries, technology, competition, world, business
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, assessment, mathematics
Topic 423 (0.00): mind, matter, question, reason, understand, doubt, suppose, surely, simply, truth
Topic 651 (0.00): party, political, revolution, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, victory
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 996 (0.00): war, crisis, decline, time, remained, period, led, late, continued, collapse
Topic 58 (0.00): crowd, people, audience, front, standing, day, applause, stood, stage, round
Topic 734 (0.00): police, people, violence, protest, city, demonstrators, demonstrations, march, demonstration, riots
Topic 815 (0.00): rugby, players, game, world, cup, tour, south, team, international, play
Topic 386 (0.00): company, bid, business, companies, deal, cent, stake, shares, market, chairman
Topic 1109 (0.00): job, time, life, months, people, found, school, career, left, decided
Topic 1493 (0.00): court, appeal, decision, judgment, judge, house, lords, law, held, justice
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, concerto
Topic 550 (0.00): god, lord, prayer, love, life, pray, christian, people, heart, faith
Topic 956 (0.00): army, battle, soldiers, king, enemy, horse, miles, prince, horses, troops
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, management, access
Topic 1414 (0.00): life, home, time, people, friends, family, day, enjoy, feel, children
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, match
Topic 269 (0.00): told, press, allegations, claimed, evidence, statement, public, official, story, claims
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, sex, feminists, sexual
Topic 1490 (0.00): cells, cell, activity, membrane, receptor, shown, calcium, protein, increased, effect
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, edge, metal, remove, position
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, management
Topic 1201 (0.00): act, section, provisions, person, powers, duty, statutory, subject, persons, provision
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, economic, labour, system
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, women
Topic 1001 (0.00): world, people, human, country, life, live, society, lives, future, power
Topic 941 (0.00): house, door, garden, front, gate, windows, window, stone, wall, road
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, tanks, filtration
Topic 602 (0.00): party, cent, elections, seats, election, won, vote, democratic, parties, candidates
Topic 553 (0.00): mother, daughter, girl, parents, family, father, home, child, told, baby
Topic 675 (0.00): proposals, proposed, council, consultation, proposal, document, paper, review, draft, committee
Topic 1302 (0.00): chapter, section, discussed, book, chapters, discussion, analysis, main, detail, study
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, madam, leave, told, hand
Topic 756 (0.00): war, world, military, country, gulf, civil, army, wars, soldiers, fought
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, student
Topic 762 (0.00): research, science, university, department, technology, centre, programme, institute, development, academic
Topic 21 (0.00): funding, grant, funds, money, fund, support, government, financial, grants, council
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, painted, paint, portrait
Topic 808 (0.00): time, love, smiled, looked, told, laughed, happy, home, meet, kissed
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, educational
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, intestinal, serum, biopsy, chronic
Topic 45 (0.00): military, army, coup, government, forces, president, officers, country, attempt, armed
Topic 805 (0.00): government, party, labour, conservative, policy, political, policies, social, conservatives, thatcher
Topic 1129 (0.00): social, society, people, sociology, individual, life, behaviour, individuals, human, relations
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, countries, common, political
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, increases, effect, change, rates
Topic 334 (0.00): local, government, authorities, councils, central, services, authority, county, council, system
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, scandal, alleged, arrested, prison
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1163 (0.00): windows, program, screen, dos, files, file, software, version, package, text
Topic 505 (0.00): friends, friend, life, time, met, home, found, friendship, house, left
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 286 (0.00): flowers, plants, garden, flower, plant, roses, leaves, summer, spring, white
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, crown, guilty, murder
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, journal
Topic 186 (0.00): tax, income, taxes, taxation, rate, revenue, government, budget, cent, vat
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, century, city, house
Topic 1108 (0.00): solution, difficulties, difficult, situation, difficulty, future, view, task, alternative, remain
Topic 664 (0.00): glass, drink, bottle, wine, table, whisky, glasses, drank, water, poured
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, paintings, exhibition
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, power, history, time
Topic 322 (0.00): race, horse, won, racing, jockey, winner, trainer, cup, win, run
Topic 1478 (0.00): theatre, play, stage, production, performance, actor, drama, actors, plays, company
Topic 608 (0.00): issues, debate, issue, questions, discussion, political, public, question, concern, future
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 1186 (0.00): church, catholic, roman, religious, bishops, christian, churches, pope, clergy, council
