Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, hand, told, mind
Topic 976 (0.01): world, life, sense, style, real, times, age, character, past, makes
Topic 782 (0.01): bit, people, time, lot, day, round, stuff, sort, bad, night
Topic 730 (0.01): head, hand, feet, eyes, hands, round, arm, looked, fell, ran
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, door, sat, white, hands
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, hand, shook, sat
Topic 610 (0.01): mother, house, home, time, told, father, looked, day, girl, love
Topic 220 (0.00): eyes, voice, hand, looked, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, dead, air, flesh, mouth, light
Topic 1348 (0.00): sun, sky, trees, white, green, blue, air, light, water, day
Topic 1412 (0.00): love, life, time, loved, mother, woman, told, mind, heart, father
Topic 162 (0.00): eyes, voice, anger, hard, head, time, told, words, suddenly, looked
Topic 1019 (0.00): body, eyes, mouth, lips, hand, arms, hands, head, fingers, hair
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, view, terms, nature, concept, social
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, argue, position
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, day, wrong
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, song, guitar, single
Topic 1361 (0.00): john, born, son, died, wife, daughter, sir, family, married, society
Topic 62 (0.00): political, social, society, economic, movement, liberal, power, politics, values, century
Topic 38 (0.00): film, star, movie, series, john, actor, stars, world, director, life
Topic 1159 (0.00): door, stairs, house, kitchen, window, front, floor, stood, heard, inside
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, sat
Topic 578 (0.00): father, mother, family, children, house, died, life, lived, home, born
Topic 89 (0.00): dress, wear, black, white, clothes, wearing, wore, shirt, trousers, dressed
Topic 1380 (0.00): street, streets, city, people, town, road, houses, shops, square, buildings
Topic 8 (0.00): time, told, left, day, returned, found, decided, return, arrived, days
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, girl, blue
Topic 1027 (0.00): war, united, policy, military, foreign, soviet, world, east, western, government
Topic 188 (0.00): looked, house, day, told, night, people, time, cried, heard, home
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, minister
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, reign, political, lands, power
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, evening, car
Topic 359 (0.00): food, eat, table, bread, kitchen, plate, meal, breakfast, tea, eating
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, summit, ministers, minister
Topic 1487 (0.00): government, billion, country, money, people, past, economy, world, ago, economic
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, deficit, announced
Topic 674 (0.00): book, wrote, published, life, writing, books, written, literary, read, author
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, engine
Topic 112 (0.00): support, accept, position, question, accepted, prepared, decision, refused, time, pressure
Topic 953 (0.00): public, criticism, political, attack, critics, support, views, press, view, issue
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, development
Topic 969 (0.00): day, morning, night, time, evening, home, hours, days, afternoon, lunch
Topic 776 (0.00): success, ability, experience, time, successful, world, people, career, confidence, future
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, glass
Topic 494 (0.00): government, national, political, president, assembly, opposition, elections, party, parties, democratic
Topic 266 (0.00): time, start, people, easy, difficult, advice, remember, decide, job, worth
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, south, river
Topic 383 (0.00): people, feel, life, wrong, time, bad, told, stupid, understand, hate
Topic 82 (0.00): forces, government, troops, peace, fighting, military, army, ceasefire, war, reported
Topic 721 (0.00): path, trees, ground, grass, track, looked, road, left, yards, close
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 1402 (0.00): head, hand, takes, eyes, hands, feel, makes, sits, sit, tells
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, sky, moon, torch
Topic 1343 (0.00): development, major, period, growth, developments, developed, led, process, expansion, change
Topic 343 (0.00): business, market, company, sales, growth, future, major, development, markets, products
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, government, democrats
Topic 583 (0.00): minister, party, government, prime, opposition, president, leader, election, resignation, cabinet
Topic 485 (0.00): talk, told, people, time, heard, conversation, talking, found, spoke, talked
Topic 778 (0.00): book, published, books, guide, author, written, volume, history, edition, information
Topic 229 (0.00): method, cost, advantages, methods, required, difficult, advantage, effective, means, expensive
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, king, chamber, wine
Topic 609 (0.00): history, historical, cultural, narrative, discourse, sense, meaning, form, forms, culture
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, pounds, spent, worth
Topic 221 (0.00): holiday, town, village, beach, resort, restaurants, day, lake, beautiful, beaches
Topic 745 (0.00): hospital, doctor, home, ill, told, day, days, time, doctors, died
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, total, figures, half, rate
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 55 (0.00): economic, economy, government, growth, policy, market, labour, industrial, policies, national
Topic 1146 (0.00): food, cooking, sauce, fresh, meat, fish, dishes, flavour, dish, wine
Topic 1178 (0.00): recession, rates, inflation, cent, economy, growth, rate, economic, recovery, rise
Topic 409 (0.00): cricket, test, match, wickets, ball, west, runs, county, innings, team
Topic 258 (0.00): evil, death, life, sin, god, truth, fear, guilt, human, people
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, people, house
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, assessment, mathematics
Topic 423 (0.00): matter, mind, question, reason, suppose, understand, surely, doubt, truth, simply
Topic 1401 (0.00): management, evaluation, assessment, performance, process, objectives, review, information, development, effectiveness
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, movement, soviet, workers, socialism
Topic 996 (0.00): war, decline, crisis, led, time, remained, period, continued, late, lost
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 977 (0.00): companies, firms, industry, market, markets, business, technology, industries, competition, investment
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, home
Topic 815 (0.00): rugby, players, game, world, cup, team, tour, south, international, play
Topic 58 (0.00): crowd, people, audience, front, stood, standing, day, applause, heard, round
Topic 734 (0.00): police, people, violence, protest, demonstrators, city, demonstrations, march, demonstration, riots
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, heart, spirit
Topic 956 (0.00): army, battle, soldiers, king, miles, enemy, prince, horse, troops, horses
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, sound
Topic 386 (0.00): company, bid, business, companies, deal, cent, stake, shares, market, chairman
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, justice, held
Topic 1414 (0.00): time, life, home, people, day, friends, family, enjoy, feel, children
Topic 1109 (0.00): job, time, life, months, people, found, left, school, decided, career
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, access, database
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, fans
Topic 269 (0.00): told, press, claimed, allegations, statement, evidence, public, story, official, newspaper
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, sex, feminists, sexual
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, metal, edge, fit, remove
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, calcium, shown, protein, effect, response
Topic 1141 (0.00): system, software, network, systems, data, applications, users, database, support, management
Topic 880 (0.00): wife, husband, woman, married, marriage, children, life, daughter, family, women
Topic 469 (0.00): production, capitalist, class, capitalism, social, capital, society, labour, economic, system
Topic 941 (0.00): house, door, garden, front, gate, windows, window, stone, wall, road
Topic 553 (0.00): mother, daughter, parents, girl, family, father, home, child, told, baby
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, tanks, filtration
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 1201 (0.00): act, section, provisions, person, statutory, powers, duty, subject, persons, provision
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, democratic, parties, candidates
Topic 675 (0.00): proposals, proposed, council, consultation, proposal, document, paper, review, draft, committee
Topic 808 (0.00): time, smiled, love, looked, told, happy, laughed, meet, kissed, day
Topic 1001 (0.00): world, people, country, human, live, society, life, future, lives, war
Topic 756 (0.00): war, world, military, gulf, country, civil, army, wars, battle, wartime
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, madam, house, hand, told
Topic 1302 (0.00): chapter, section, discussed, chapters, book, discussion, analysis, main, study, detail
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, student
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 805 (0.00): government, party, labour, conservative, policy, political, policies, social, conservatives, thatcher
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, biopsy, chronic, intestinal, found
Topic 762 (0.00): research, science, department, university, technology, centre, programme, institute, development, industry
Topic 1200 (0.00): teachers, schools, teaching, teacher, school, curriculum, education, classroom, development, educational
Topic 1129 (0.00): social, society, people, sociology, individual, behaviour, life, individuals, societies, relations
Topic 924 (0.00): charges, court, trial, government, investigation, scandal, corruption, alleged, arrested, prison
Topic 21 (0.00): funding, grant, funds, money, fund, support, government, grants, financial, council
Topic 45 (0.00): military, army, coup, government, forces, president, armed, officers, country, attempt
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, effect, increases, change, period
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, county, council, district
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, countries, political, common
Topic 286 (0.00): flowers, plants, garden, flower, plant, roses, leaves, summer, spring, white
Topic 1163 (0.00): windows, program, screen, dos, files, file, software, version, package, text
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 1108 (0.00): difficult, solution, difficulties, situation, future, difficulty, task, view, time, potential
Topic 505 (0.00): friends, friend, life, time, met, found, home, friendship, school, house
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 664 (0.00): glass, drink, bottle, wine, table, whisky, glasses, drank, champagne, poured
Topic 652 (0.00): magazine, article, issue, readers, read, editor, articles, page, letter, write
Topic 608 (0.00): issues, debate, issue, questions, discussion, political, public, question, concern, agenda
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, guilty, found, crown, murder
Topic 186 (0.00): tax, income, taxes, taxation, government, revenue, rate, budget, cent, vat
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, square, fine, house, century
Topic 1186 (0.00): church, catholic, roman, religious, christian, bishops, pope, churches, clergy, archbishop
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, time, power, rule
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, exhibition, paintings
Topic 322 (0.00): race, horse, racing, jockey, won, winner, trainer, cup, run, win
Topic 686 (0.00): major, minister, thatcher, prime, government, john, party, labour, cabinet, election
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 1120 (0.00): phone, telephone, call, voice, calls, receiver, rang, time, ring, line
Topic 1478 (0.00): theatre, play, stage, actor, production, performance, actors, drama, plays, audience
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, university
Topic 1463 (0.00): army, officer, military, regiment, war, soldiers, officers, soldier, training, sergeant
Topic 1115 (0.00): murder, killed, death, kill, dead, killing, life, people, murdered, shot
Topic 1199 (0.00): law, legal, laws, courts, common, act, legislation, rules, criminal, principles
Topic 920 (0.00): policy, policies, government, political, social, public, economic, implementation, governments, issues
Topic 930 (0.00): president, bush, house, congress, campaign, senate, administration, republican, white, presidential
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sailing, wind
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, family
Topic 61 (0.00): differences, structure, features, pattern, similar, common, patterns, structures, variations, form
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, education, knowledge, learner
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, financial, cut
Topic 96 (0.00): people, person, life, counselling, counsellor, social, feelings, feel, experience, family
Topic 699 (0.00): research, study, social, studies, data, methods, project, researchers, researcher, observation
Topic 612 (0.00): women, children, woman, wives, married, family, home, husbands, mothers, employment
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, migration, cent, people, city
Topic 133 (0.00): word, words, recognition, information, system, input, text, lexicon, processing, corpus
Topic 802 (0.00): press, daily, newspaper, paper, newspapers, news, times, papers, editor, mail
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 722 (0.00): fear, feelings, anger, life, people, feel, emotional, emotions, feeling, love
Topic 1266 (0.00): money, raised, charity, raise, fund, people, appeal, local, funds, event
Topic 1398 (0.00): hotel, beach, bar, pool, bedrooms, breakfast, night, single, dinner, private
Topic 823 (0.00): birds, bird, species, wings, nest, feathers, fly, owls, food, owl
Topic 483 (0.00): school, children, pupils, teachers, schools, teacher, parents, education, primary, pupil
Topic 934 (0.00): diet, food, foods, sugar, fat, eat, fibre, fruit, vegetables, eating
Topic 881 (0.00): life, experience, spiritual, human, love, god, world, mind, sense, nature
Topic 374 (0.00): army, war, attack, troops, forces, enemy, battle, front, allied, armies
Topic 1195 (0.00): killed, government, people, security, police, army, attack, claimed, forces, attacks
Topic 215 (0.00): letter, letters, write, wrote, dear, written, send, hope, reply, received
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, port, seamen
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, floor, dirty, bathroom, dry
Topic 70 (0.00): party, labour, national, conference, policy, communist, left, movement, government, parties
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, trading, stock, rose
Topic 200 (0.00): police, night, attack, home, house, officers, car, yesterday, street, incident
Topic 1281 (0.00): form, information, details, office, application, date, required, certificate, copy, address
Topic 327 (0.00): sea, beach, water, coast, bay, sand, island, shore, tide, boat
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, sir, thatcher
Topic 967 (0.00): staff, department, management, manager, personnel, senior, service, training, responsibility, job
Topic 601 (0.00): opinion, view, views, expressed, attitude, public, opinions, attitudes, people, concerned
Topic 1430 (0.00): rights, human, amnesty, prisoners, government, international, political, prison, released, torture
Topic 715 (0.00): people, person, live, lives, lot, world, life, understand, time, country
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, detective, missing, time
Topic 1197 (0.00): government, democracy, constitution, parliament, constitutional, political, power, people, system, democratic
