Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, mind, told, hand
Topic 976 (0.01): world, sense, life, style, times, real, makes, character, past, simply
Topic 782 (0.01): bit, people, time, lot, day, round, night, stuff, sort, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, looked, fell, round, left
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, door, sat, white, hands
Topic 1158 (0.01): looked, head, told, nodded, eyes, smiled, shook, voice, hand, sat
Topic 610 (0.01): mother, time, home, house, father, told, looked, day, girl, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, body, black, head, blood, dead, air, flesh, mouth, light
Topic 1348 (0.00): sun, sky, trees, white, green, blue, air, light, day, water
Topic 162 (0.00): eyes, voice, anger, told, looked, hard, time, head, words, suddenly
Topic 1412 (0.00): love, life, time, loved, mother, woman, told, mind, father, heart
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, hands, head, fingers, hair
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argued, argue
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, view, terms, nature, concept, ideas
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, day, told
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, royal
Topic 62 (0.00): political, social, society, economic, movement, power, liberal, politics, radical, century
Topic 38 (0.00): film, star, movie, series, john, actor, world, director, life, played
Topic 1159 (0.00): door, stairs, house, window, front, kitchen, heard, floor, stood, inside
Topic 578 (0.00): father, mother, family, house, children, died, home, life, lived, born
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, day, awake
Topic 89 (0.00): dress, wear, black, white, clothes, wearing, wore, shirt, dressed, trousers
Topic 8 (0.00): time, told, left, day, decided, returned, days, found, arrived, return
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, shops, past
Topic 1027 (0.00): war, united, policy, military, soviet, world, foreign, western, east, political
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, girl, blue
Topic 188 (0.00): looked, house, day, people, told, night, cried, time, heard, door
Topic 24 (0.00): yesterday, government, week, told, night, spokesman, secretary, decision, meeting, plans
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, time, reign, political, lands
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, plate, breakfast, eating, tea
Topic 847 (0.00): told, time, morning, day, home, night, phone, left, evening, rang
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, ministers, summit, minister
Topic 674 (0.00): book, wrote, life, published, writing, books, written, literary, read, writer
Topic 1487 (0.00): government, billion, country, money, past, economy, world, people, president, ago
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, deficit, debt, announced
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, door, front
Topic 953 (0.00): public, criticism, political, critics, attack, support, views, people, debate, press
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 112 (0.00): support, accept, position, prepared, question, refused, accepted, decision, agreed, offer
Topic 776 (0.00): success, experience, ability, world, successful, people, future, time, hard, career
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, shot, goals, home, time
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, week
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, kitchen, white, bedroom
Topic 266 (0.00): time, start, people, easy, difficult, decide, remember, job, mind, worth
Topic 494 (0.00): government, national, political, president, assembly, opposition, elections, party, parties, democratic
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, lake, river
Topic 383 (0.00): people, feel, bad, life, told, wrong, stupid, hate, time, world
Topic 1402 (0.00): head, eyes, hand, takes, hands, feel, sits, makes, tells, sit
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 82 (0.00): forces, government, troops, peace, fighting, army, military, ceasefire, reported, force
Topic 343 (0.00): business, market, company, sales, growth, future, major, development, markets, management
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, government, democrats
Topic 721 (0.00): path, trees, ground, grass, track, road, looked, yards, stopped, feet
Topic 800 (0.00): light, night, dark, darkness, lights, lit, moon, shadows, sky, shadow
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, significant, process, expansion
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, election, resignation, cabinet
Topic 778 (0.00): book, published, books, guide, author, history, written, edition, volume, text
Topic 229 (0.00): method, cost, advantages, difficult, methods, effective, provide, required, means, expensive
Topic 221 (0.00): holiday, town, village, resort, beach, restaurants, day, beautiful, lake, beaches
Topic 609 (0.00): history, historical, cultural, narrative, discourse, form, process, forms, meaning, text
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, king, eyes, wine
Topic 485 (0.00): talk, told, people, conversation, heard, time, talking, found, talked, spoke
Topic 745 (0.00): hospital, doctor, home, ill, told, day, days, time, doctors, life
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, spent, pounds, worth
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 258 (0.00): evil, life, death, sin, god, guilt, people, truth, moral, worse
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, figures, total, rate, half
Topic 1146 (0.00): food, cooking, sauce, meat, fresh, fish, dishes, flavour, dish, salad
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, unemployment
Topic 1178 (0.00): recession, cent, inflation, rates, economy, growth, economic, rate, recovery, fall
Topic 409 (0.00): cricket, test, match, ball, wickets, runs, west, county, innings, game
Topic 1401 (0.00): management, evaluation, assessment, performance, process, objectives, review, information, development, effectiveness
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, day, table
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, assessment, mathematics
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, socialism
Topic 977 (0.00): companies, firms, industry, market, markets, technology, industries, business, world, company
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 789 (0.00): cup, final, win, won, team, league, season, club, division, victory
Topic 58 (0.00): crowd, people, audience, front, stood, day, standing, applause, hall, heard
Topic 996 (0.00): war, decline, crisis, led, period, remained, time, collapse, continued, lost
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, riots, demonstration
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 423 (0.00): matter, reason, mind, question, truth, surely, suppose, understand, doubt, simply
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, heart, faith
Topic 815 (0.00): rugby, players, world, game, cup, tour, team, south, international, play
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, sound
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, held, act
Topic 1414 (0.00): life, time, home, people, day, family, friends, enjoy, children, feel
Topic 1109 (0.00): job, time, life, career, months, found, left, school, people, started
Topic 386 (0.00): company, bid, business, companies, deal, stake, cent, shares, chairman, market
Topic 956 (0.00): army, battle, soldiers, king, enemy, troops, miles, horse, prince, day
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, public, official, claims, story
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, fans, season
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, shown, calcium, protein, effect, response
Topic 1465 (0.00): cut, top, holes, plastic, hole, edge, piece, metal, fit, position
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, management
Topic 941 (0.00): house, door, garden, front, gate, windows, window, wall, stone, road
Topic 1372 (0.00): women, male, woman, female, feminist, gender, feminism, feminists, sex, sexual
Topic 553 (0.00): mother, daughter, parents, girl, family, father, home, child, told, children
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, labour, economic, system
Topic 1201 (0.00): act, section, provisions, person, powers, statutory, duty, provision, subject, persons
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, road, building
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, love
Topic 1302 (0.00): chapter, section, discussed, book, chapters, discussion, analysis, study, main, detail
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, national
Topic 1307 (0.00): fish, tank, water, filter, aquarium, species, plants, fry, tanks, filtration
Topic 675 (0.00): proposals, proposed, consultation, council, proposal, review, document, paper, draft, report
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, madam, woman, hand, word
Topic 617 (0.00): college, university, oxford, professor, school, students, royal, lecturer, academic, student
Topic 808 (0.00): time, smiled, love, looked, told, laughed, meet, happy, kissed, home
Topic 1129 (0.00): social, society, people, sociology, individual, life, behaviour, individuals, relations, societies
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 762 (0.00): research, science, department, university, technology, centre, programme, development, institute, industry
Topic 756 (0.00): war, world, military, country, gulf, civil, wars, army, battle, fighting
Topic 1001 (0.00): world, people, country, human, life, live, society, lives, future, power
Topic 21 (0.00): funding, grant, funds, money, fund, support, government, financial, grants, council
Topic 805 (0.00): government, party, labour, conservative, policy, political, social, policies, thatcher, conservatives
Topic 334 (0.00): local, government, authorities, councils, central, authority, services, county, council, district
Topic 1200 (0.00): teachers, schools, teaching, teacher, school, curriculum, education, classroom, development, educational
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, biopsy, chronic, intestinal, found
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, political, countries, common
Topic 45 (0.00): military, army, coup, government, president, forces, officers, country, armed, attempt
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, congress
Topic 1163 (0.00): windows, program, screen, file, files, dos, version, software, package, text
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, change, increases, effect, rates
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, scandal, alleged, prison, arrested
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, letter, page, letters
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, brandy, champagne
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, alternative, continue, task, question
Topic 505 (0.00): friends, friend, life, time, met, found, home, friendship, school, house
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 286 (0.00): flowers, plants, garden, flower, plant, roses, leaves, summer, spring, white
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, recommended, evidence, review
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, receiver, time, office
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, time, centuries, power, rule
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, crown, guilty, murder
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, century, house, square
Topic 186 (0.00): tax, income, taxes, taxation, rate, revenue, government, budget, cent, vat
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 322 (0.00): race, horse, won, jockey, winner, racing, trainer, cup, season, run
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, exhibition, paintings
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, department
Topic 1115 (0.00): murder, killed, death, kill, dead, killing, life, people, murdered, shot
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 1186 (0.00): church, catholic, religious, roman, bishops, pope, churches, christian, priests, clergy
Topic 608 (0.00): issues, debate, issue, questions, discussion, question, political, public, concern, agenda
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, election
Topic 1478 (0.00): theatre, play, stage, performance, production, actor, drama, actors, plays, audience
Topic 1199 (0.00): law, legal, laws, common, act, courts, legislation, criminal, rules, principles
Topic 920 (0.00): policy, policies, government, political, social, public, economic, governments, implementation, issues
Topic 1463 (0.00): army, officer, military, regiment, soldiers, war, officers, soldier, training, sergeant
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sailing, sail
Topic 930 (0.00): president, bush, house, congress, administration, senate, campaign, republican, white, presidential
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, family
Topic 96 (0.00): people, person, life, counselling, counsellor, social, feel, feelings, experience, family
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, education, knowledge, learner
Topic 612 (0.00): women, children, woman, wives, married, home, family, mothers, husbands, domestic
Topic 699 (0.00): research, study, social, studies, data, methods, researchers, researcher, project, observation
Topic 802 (0.00): press, daily, newspaper, paper, news, newspapers, times, papers, editor, national
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, lexical
