Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, hand, told, head
Topic 976 (0.01): world, sense, life, style, real, times, character, makes, past, mind
Topic 782 (0.01): bit, people, time, lot, day, round, bloody, stuff, sort, night
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, fell, round, looked, ran
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, door, sat, black, white
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, shook, hand, time
Topic 610 (0.01): mother, house, time, home, told, looked, father, day, girl, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, head, body, blood, flesh, air, dead, mouth, white
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, air, water, light
Topic 162 (0.00): eyes, voice, anger, told, hard, head, looked, words, time, suddenly
Topic 1412 (0.00): love, life, time, mother, loved, told, woman, mind, heart, father
Topic 1019 (0.00): body, eyes, mouth, lips, arms, hand, hands, head, fingers, hair
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, social, ideas
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, argue, argued
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, time, lot, bit, feel, sort, started, talk, wrong, hard
Topic 655 (0.00): season, cup, manager, game, team, players, club, league, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, song, guitar, single
Topic 1361 (0.00): john, born, son, died, wife, daughter, sir, family, married, royal
Topic 62 (0.00): political, social, society, economic, movement, liberal, power, politics, radical, century
Topic 38 (0.00): film, star, movie, series, life, actor, john, stars, world, director
Topic 1159 (0.00): door, stairs, house, kitchen, window, front, heard, floor, inside, left
Topic 578 (0.00): father, mother, family, house, children, died, life, home, lived, time
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, time, door, sat, awake
Topic 8 (0.00): time, day, told, left, decided, returned, days, found, arrived, return
Topic 89 (0.00): dress, black, wear, white, wearing, clothes, wore, shirt, trousers, dressed
Topic 1380 (0.00): street, streets, city, people, town, road, houses, square, past, shops
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, girl, blue
Topic 1027 (0.00): war, united, policy, military, soviet, world, western, foreign, government, east
Topic 188 (0.00): looked, house, day, night, told, time, people, cried, heard, home
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, added, meeting
Topic 1016 (0.00): king, son, royal, death, kingdom, political, reign, lands, earl, father
Topic 674 (0.00): book, published, life, wrote, writing, books, written, literary, read, writer
Topic 359 (0.00): food, eat, table, bread, meal, kitchen, breakfast, plate, tea, eating
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, ministers, summit, minister
Topic 847 (0.00): told, time, home, morning, night, day, phone, left, evening, rang
Topic 1487 (0.00): government, billion, country, money, people, past, economy, world, ago, economic
Topic 953 (0.00): public, criticism, attack, political, critics, support, debate, expressed, view, press
Topic 151 (0.00): cent, million, government, economic, budget, foreign, economy, debt, deficit, announced
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, traffic
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 112 (0.00): support, accept, position, refused, prepared, question, decision, accepted, compromise, agreed
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 776 (0.00): success, ability, experience, successful, world, career, people, hard, future, time
Topic 266 (0.00): time, start, people, easy, difficult, decide, remember, job, advice, worth
Topic 494 (0.00): government, national, president, political, assembly, opposition, party, elections, parties, democratic
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, lunch
Topic 1035 (0.00): furniture, table, house, walls, wall, floor, chairs, white, kitchen, bedroom
Topic 272 (0.00): road, loch, valley, mountains, hills, miles, mountain, north, river, south
Topic 190 (0.00): study, studies, evidence, found, results, data, findings, research, suggest, significant
Topic 383 (0.00): people, feel, life, wrong, time, bad, told, stupid, world, understand
Topic 1402 (0.00): head, eyes, takes, hand, hands, sits, feel, sit, tells, makes
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, moon, torch, shadow
Topic 82 (0.00): forces, government, troops, fighting, peace, army, military, ceasefire, force, border
Topic 721 (0.00): path, trees, ground, grass, track, road, yards, left, feet, edge
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, significant, expansion, process
Topic 343 (0.00): business, market, company, sales, growth, markets, future, major, development, increased
Topic 583 (0.00): minister, party, government, prime, president, opposition, leader, resignation, cabinet, election
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, government, democrats
Topic 485 (0.00): talk, told, people, heard, time, conversation, talking, spoke, talked, hear
Topic 778 (0.00): book, books, published, guide, author, volume, written, history, edition, information
Topic 229 (0.00): method, advantages, cost, methods, required, advantage, difficult, expensive, means, effective
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, wine, chamber, stared
Topic 609 (0.00): history, historical, cultural, narrative, discourse, process, form, terms, meaning, language
Topic 221 (0.00): holiday, town, village, beach, resort, day, beautiful, restaurants, visit, lake
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, pounds, spent, cost
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, system, parents
Topic 55 (0.00): economic, economy, growth, government, policy, labour, market, industrial, policies, unemployment
Topic 745 (0.00): hospital, doctor, ill, home, told, day, time, days, doctors, died
Topic 258 (0.00): evil, life, death, sin, god, true, guilt, truth, human, fear
Topic 1146 (0.00): food, cooking, fresh, sauce, meat, fish, dishes, flavour, dish, salad
Topic 1178 (0.00): inflation, recession, cent, rates, economy, growth, rate, economic, recovery, rise
Topic 409 (0.00): cricket, test, match, ball, wickets, runs, west, innings, county, team
Topic 423 (0.00): matter, mind, question, reason, suppose, surely, understand, simply, truth, doubt
Topic 763 (0.00): cent, average, compared, proportion, survey, increase, figures, total, rate, half
Topic 977 (0.00): companies, firms, industry, market, technology, industries, business, markets, investment, world
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, house, table
Topic 789 (0.00): cup, win, final, won, team, league, season, club, championship, division
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, assessment, mathematics
Topic 1401 (0.00): management, evaluation, assessment, performance, process, objectives, review, information, development, effectiveness
Topic 996 (0.00): decline, war, led, crisis, time, remained, period, lost, continued, collapse
Topic 58 (0.00): crowd, people, audience, front, stage, stood, applause, day, crowds, standing
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, march, city, riots, demonstration
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, faith, spirit
Topic 1414 (0.00): life, time, home, people, day, friends, family, enjoy, children, feel
Topic 1109 (0.00): job, time, life, career, people, found, school, decided, months, started
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, concerto
Topic 386 (0.00): company, bid, business, deal, companies, cent, stake, chairman, shares, market
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, act, justice
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, play
Topic 956 (0.00): army, battle, soldiers, enemy, horse, miles, troops, horses, king, prince
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, public, story, official, newspaper
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, sexual
Topic 158 (0.00): football, club, league, players, game, team, cup, fans, manager, match
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 1465 (0.00): cut, top, plastic, holes, hole, edge, piece, metal, fit, remove
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, calcium, shown, response, increased, protein
Topic 941 (0.00): house, door, garden, front, gate, windows, window, wall, stone, road
Topic 1141 (0.00): system, software, network, systems, data, applications, users, support, database, application
Topic 469 (0.00): production, capitalist, class, capitalism, social, capital, labour, society, economic, system
Topic 1201 (0.00): act, section, person, provisions, statutory, duty, powers, subject, provision, persons
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, academic, royal, student
Topic 1129 (0.00): social, society, sociology, people, life, individual, behaviour, individuals, relations, societies
