Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, hand, head, mind
Topic 976 (0.01): world, life, sense, style, makes, character, real, times, mind, age
Topic 782 (0.01): bit, people, time, lot, day, stuff, round, night, bloody, sort
Topic 730 (0.01): head, hand, feet, eyes, hands, round, arm, looked, fell, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, sat, round, hands
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, shook, voice, hand, sat
Topic 610 (0.01): mother, home, house, time, told, father, looked, day, girl, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, time
Topic 141 (0.00): eyes, black, body, head, blood, air, dead, flesh, light, mouth
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, air, light, water
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, mind, heart, father
Topic 162 (0.00): eyes, voice, anger, told, head, time, hard, words, looked, mouth
Topic 700 (0.00): argument, view, evidence, question, arguments, reason, true, claim, argue, argued
Topic 1019 (0.00): eyes, body, mouth, lips, arms, head, hand, hands, fingers, hair
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, view, terms, nature, concept, model
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, told, wrong
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, society, royal
Topic 62 (0.00): political, social, society, economic, movement, power, radical, liberal, politics, century
Topic 38 (0.00): film, star, movie, series, john, actor, stars, director, world, life
Topic 1159 (0.00): door, stairs, house, kitchen, front, heard, window, floor, hall, stood
Topic 578 (0.00): father, mother, family, house, children, died, life, lived, home, time
Topic 702 (0.00): bed, night, sleep, morning, asleep, time, lay, door, awake, woke
Topic 89 (0.00): dress, black, wear, white, clothes, wearing, wore, shirt, trousers, suit
Topic 8 (0.00): time, told, day, found, decided, returned, left, days, arrived, return
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, girl, blue
Topic 1380 (0.00): street, streets, city, people, town, road, houses, square, buildings, shops
Topic 1027 (0.00): war, united, policy, military, foreign, soviet, world, western, government, east
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, added, meeting
Topic 188 (0.00): looked, house, day, night, told, people, time, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, kingdom, reign, earl, political, lands, died
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, breakfast, plate, eating, tea
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, summit, ministers, minister
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, read, author
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, rang, evening
Topic 1487 (0.00): government, billion, country, money, world, people, economy, past, ago, economic
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, deficit, announced
Topic 150 (0.00): car, road, drove, drive, driver, driving, seat, cars, front, door
Topic 953 (0.00): public, criticism, attack, political, support, critics, debate, views, view, issue
Topic 112 (0.00): support, position, accept, decision, prepared, refused, question, agreed, accepted, time
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, applications
Topic 969 (0.00): day, morning, night, time, evening, home, hours, days, afternoon, lunch
Topic 266 (0.00): time, start, people, easy, difficult, job, remember, worth, lot, decide
Topic 776 (0.00): success, experience, ability, world, career, successful, hard, future, people, time
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 1091 (0.00): goal, minutes, ball, half, minute, game, goals, shot, home, time
Topic 494 (0.00): government, national, political, president, assembly, opposition, party, elections, parties, democratic
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, bedroom
Topic 272 (0.00): road, valley, loch, mountains, hills, miles, mountain, north, river, south
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 383 (0.00): people, feel, life, wrong, bad, told, stupid, time, understand, world
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, process, significant, increasingly
Topic 82 (0.00): forces, government, troops, peace, fighting, army, military, ceasefire, reported, force
Topic 343 (0.00): business, market, company, sales, growth, future, major, development, markets, increased
