Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, hand, head
Topic 976 (0.01): world, life, sense, style, real, times, makes, mind, character, simply
Topic 782 (0.01): bit, people, time, lot, day, stuff, sort, round, night, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, looked, arm, round, fell, arms
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, white, door, sat, round
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, shook, hand, sat
Topic 610 (0.01): mother, home, time, house, told, looked, father, day, girl, nice
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, dead, flesh, mouth, air, skin
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, water, air, light
Topic 162 (0.00): eyes, voice, anger, time, head, hard, told, looked, words, suddenly
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, mind, heart, found
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, head, hands, fingers, hair
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, argued, position
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, view, terms, nature, ideas, concept
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, hard, talk, told
Topic 655 (0.00): season, cup, manager, game, team, players, club, league, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, single, guitar
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, royal
Topic 62 (0.00): political, social, society, economic, movement, radical, liberal, power, politics, values
Topic 38 (0.00): film, star, movie, series, actor, john, director, stars, life, story
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, floor, heard, inside, stood
Topic 702 (0.00): bed, night, sleep, morning, asleep, door, lay, time, day, awake
Topic 578 (0.00): father, mother, family, children, house, died, lived, life, home, son
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, trousers, dressed
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, girl, blue
Topic 8 (0.00): time, day, left, told, returned, days, decided, arrived, found, return
