Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, head, mind, hand
Topic 976 (0.01): world, life, sense, style, times, real, makes, character, past, mind
Topic 782 (0.01): bit, people, time, lot, day, sort, stuff, bloody, round, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, fell, arm, looked, round, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, stood, door, hair, white, sat, hands
Topic 1158 (0.01): looked, head, nodded, smiled, eyes, told, shook, voice, hand, sat
Topic 610 (0.01): mother, house, home, time, told, father, day, looked, girl, love
Topic 220 (0.00): eyes, looked, voice, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, dead, flesh, air, light, skin
Topic 1348 (0.00): sun, sky, trees, green, white, blue, air, day, water, light
Topic 162 (0.00): eyes, voice, anger, time, told, head, hard, words, looked, suddenly
Topic 1412 (0.00): love, life, time, loved, mother, woman, told, mind, heart, day
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, hands, head, fingers, hair
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, argued, argue
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, terms, view, concept, nature, social
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, life
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, song, single, guitar
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, society
Topic 62 (0.00): political, social, society, economic, movement, power, liberal, radical, politics, century
Topic 38 (0.00): film, star, movie, series, john, actor, life, stars, director, story
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, time, door, eyes, sat
Topic 578 (0.00): father, mother, family, children, house, died, life, home, lived, son
Topic 1159 (0.00): door, stairs, house, kitchen, window, front, floor, heard, inside, looked
Topic 89 (0.00): dress, black, wear, white, clothes, wearing, wore, shirt, trousers, dressed
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, girl, blue
Topic 8 (0.00): time, told, day, left, days, returned, found, arrived, decided, return
Topic 1380 (0.00): street, streets, city, people, town, road, houses, square, past, shops
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, world, western, government, east
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, added, meeting
Topic 188 (0.00): looked, house, day, time, told, night, cried, people, home, heard
Topic 1016 (0.00): king, son, royal, death, kingdom, reign, earl, time, lands, father
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, read, writers
Topic 1257 (0.00): meeting, agreement, talks, conference, agreed, countries, president, ministers, summit, minister
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, rang, evening
Topic 359 (0.00): food, eat, table, bread, breakfast, kitchen, meal, plate, eating, tea
Topic 1487 (0.00): government, billion, country, money, past, economy, people, world, ago, president
Topic 151 (0.00): cent, million, government, economic, budget, foreign, economy, debt, deficit, announced
Topic 150 (0.00): car, road, drove, driver, drive, driving, cars, seat, front, door
Topic 953 (0.00): public, criticism, political, attack, critics, views, support, view, debate, expressed
Topic 776 (0.00): success, experience, ability, world, successful, confidence, people, future, career, hard
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, applications
Topic 969 (0.00): day, morning, night, time, evening, home, hours, afternoon, days, late
Topic 112 (0.00): support, accept, position, decision, prepared, question, refused, accepted, agreed, pressure
Topic 266 (0.00): time, start, people, easy, difficult, job, lot, decide, worth, remember
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, kitchen, white, carpet
Topic 494 (0.00): national, government, president, political, assembly, opposition, party, elections, parties, democratic
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, river, lake
Topic 190 (0.00): study, studies, evidence, found, results, data, findings, research, suggest, recent
Topic 383 (0.00): people, feel, life, wrong, bad, told, time, stupid, world, understand
Topic 343 (0.00): business, market, company, sales, growth, future, major, development, markets, increased
Topic 82 (0.00): forces, government, troops, fighting, peace, military, army, ceasefire, reported, war
Topic 721 (0.00): path, trees, ground, grass, track, yards, road, left, close, round
Topic 1402 (0.00): head, eyes, takes, hand, feel, hands, tells, sits, sit, makes
Topic 1343 (0.00): development, period, major, growth, developed, developments, process, led, significant, increased
Topic 583 (0.00): minister, party, government, prime, opposition, president, leader, resignation, election, cabinet
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, shadow, moon, sky
Topic 225 (0.00): labour, party, election, liberal, conservative, vote, campaign, conservatives, democrats, majority
Topic 229 (0.00): method, cost, advantages, difficult, methods, required, effective, advantage, expensive, provide
Topic 485 (0.00): told, talk, people, heard, conversation, time, found, talking, talked, spoke
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, eyes, wine, king
Topic 778 (0.00): book, published, books, guide, author, history, written, volume, edition, text
Topic 609 (0.00): history, historical, cultural, discourse, narrative, meaning, process, form, sense, culture
Topic 221 (0.00): holiday, town, village, resort, beach, day, restaurants, lake, beautiful, visit
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, spent, pounds, cost
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, system, parents
Topic 258 (0.00): evil, life, death, sin, god, truth, people, human, guilt, fear
Topic 745 (0.00): hospital, doctor, home, ill, time, day, told, days, doctors, life
Topic 1146 (0.00): food, cooking, meat, sauce, fresh, fish, dishes, flavour, dish, salad
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, unemployment
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, county, innings, game
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, total, figures, rate, half
Topic 1178 (0.00): cent, inflation, recession, rates, economy, growth, rate, economic, recovery, rise
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, house, invited, table
Topic 423 (0.00): matter, mind, reason, question, doubt, understand, truth, suppose, surely, simply
Topic 1401 (0.00): management, evaluation, assessment, performance, process, objectives, review, information, development, effectiveness
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, home
Topic 977 (0.00): companies, industry, firms, market, investment, technology, markets, industries, business, competition
Topic 996 (0.00): decline, war, led, crisis, remained, period, time, continued, lost, collapse
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, assessment, mathematics
Topic 651 (0.00): party, political, revolution, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 290 (0.00): century, nineteenth, eighteenth, late, twentieth, centuries, period, modern, middle, seventeenth
Topic 58 (0.00): crowd, people, audience, front, day, standing, applause, stood, round, crowds
Topic 734 (0.00): police, people, violence, protest, demonstrations, demonstrators, city, march, demonstration, riots
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, concerto
Topic 1414 (0.00): life, time, home, people, day, friends, family, enjoy, children, feel
Topic 550 (0.00): god, lord, prayer, love, life, people, pray, christian, heart, faith
Topic 815 (0.00): rugby, players, world, game, cup, tour, team, south, international, play
Topic 386 (0.00): company, bid, business, companies, deal, stake, market, shares, cent, takeover
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, justice, held
Topic 1109 (0.00): job, time, life, career, people, months, found, started, school, decided
Topic 956 (0.00): army, battle, soldiers, enemy, miles, king, horses, horse, troops, prince
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, management
Topic 1490 (0.00): cells, cell, membrane, receptor, activity, calcium, shown, protein, increased, effect
Topic 269 (0.00): told, press, allegations, claimed, evidence, statement, public, report, story, newspaper
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, sexual
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, match, clubs
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, metal, edge, bottom, position
Topic 941 (0.00): house, door, garden, front, gate, windows, window, stone, wall, road
Topic 1141 (0.00): system, software, network, systems, applications, data, users, support, database, management
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, women
