Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, told, hand, mind
Topic 976 (0.01): world, life, sense, style, real, times, character, makes, true, image
Topic 782 (0.01): bit, people, time, lot, day, stuff, round, sort, night, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, fell, round, looked, ran
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, white, hands, door, round
Topic 1158 (0.01): looked, head, nodded, eyes, smiled, told, shook, voice, hand, sat
Topic 610 (0.01): mother, home, house, told, time, looked, father, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, blood, head, dead, air, flesh, light, white
Topic 1348 (0.00): sun, sky, trees, green, white, blue, air, light, day, water
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, mind, father
Topic 162 (0.00): eyes, voice, anger, head, time, told, looked, hard, suddenly, words
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, hands, head, fingers, hair
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, told, wrong
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, matter, argued
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, social, concept
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, liberal, radical, power, politics, century
Topic 38 (0.00): film, star, movie, john, series, actor, stars, director, story, life
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, sat, woke
Topic 1159 (0.00): door, stairs, house, front, kitchen, window, heard, floor, looked, inside
Topic 578 (0.00): father, family, mother, children, house, died, home, lived, life, son
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, trousers, dressed
Topic 1380 (0.00): street, streets, city, people, town, houses, square, road, shops, windows
Topic 8 (0.00): time, day, told, left, returned, decided, days, found, arrived, return
Topic 1027 (0.00): war, united, policy, military, foreign, soviet, world, western, east, power
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, blue, girl
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, minister, added
Topic 188 (0.00): looked, house, day, people, told, night, cried, time, heard, home
Topic 1016 (0.00): king, son, royal, death, kingdom, reign, political, earl, lands, time
Topic 359 (0.00): food, eat, table, bread, meal, kitchen, breakfast, plate, eating, tea
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, summit, ministers, minister
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, read, author
Topic 847 (0.00): told, time, home, morning, night, day, phone, left, rang, car
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, deficit, announced
Topic 1487 (0.00): government, billion, country, money, past, world, people, economic, economy, ago
Topic 953 (0.00): public, criticism, attack, political, support, critics, views, people, debate, reaction
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, door, traffic
Topic 776 (0.00): success, experience, ability, successful, world, time, career, people, sense, hard
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, late
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 112 (0.00): accept, support, position, prepared, refused, question, decision, agreed, accepted, time
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 266 (0.00): time, start, people, easy, difficult, job, remember, decide, worth, sort
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 494 (0.00): government, national, president, political, assembly, opposition, party, elections, parties, democratic
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, kitchen, white, bedroom
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, river, lake
Topic 190 (0.00): study, studies, evidence, found, results, data, findings, research, suggest, differences
Topic 383 (0.00): people, life, feel, bad, time, wrong, told, stupid, day, understand
Topic 721 (0.00): path, trees, ground, grass, track, yards, road, stopped, feet, left
Topic 82 (0.00): forces, government, troops, fighting, peace, army, military, ceasefire, border, reported
Topic 343 (0.00): business, market, company, sales, growth, future, development, major, markets, increased
Topic 1402 (0.00): head, eyes, takes, hand, feel, hands, makes, sits, sit, tells
Topic 1343 (0.00): development, major, period, growth, developed, developments, process, led, change, significant
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, government, democrats
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, sky, moon, torch
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, resignation, election, cabinet
Topic 485 (0.00): talk, told, people, heard, conversation, time, found, talking, talked, spoke
Topic 778 (0.00): book, published, books, guide, author, history, written, volume, information, edition
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, eyes, king, death
Topic 609 (0.00): history, historical, cultural, narrative, discourse, process, form, meaning, culture, sense
Topic 595 (0.00): money, pay, paid, people, buy, business, cash, spent, pounds, cost
Topic 229 (0.00): method, cost, advantages, advantage, difficult, provide, effective, required, methods, expensive
Topic 221 (0.00): holiday, town, resort, village, beach, restaurants, day, lake, visit, beautiful
Topic 258 (0.00): evil, life, death, sin, god, human, guilt, fear, people, mind
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 745 (0.00): hospital, doctor, home, ill, day, told, days, time, doctors, life
Topic 55 (0.00): economic, economy, growth, government, policy, labour, market, industrial, policies, political
Topic 1178 (0.00): inflation, cent, recession, rates, economy, rate, growth, economic, recovery, rise
Topic 1146 (0.00): food, cooking, sauce, fresh, meat, fish, dishes, flavour, salad, dish
Topic 409 (0.00): cricket, test, match, ball, wickets, runs, west, county, innings, team
Topic 763 (0.00): cent, average, compared, increase, proportion, survey, total, figures, half, rate
Topic 423 (0.00): matter, mind, reason, question, understand, doubt, truth, surely, simply, suppose
Topic 394 (0.00): party, evening, dinner, guests, friends, night, house, hotel, invited, table
Topic 789 (0.00): cup, final, win, won, team, league, season, club, home, victory
Topic 996 (0.00): decline, period, crisis, led, war, remained, time, lost, continued, late
Topic 651 (0.00): party, political, revolution, communist, revolutionary, socialist, soviet, workers, movement, left
Topic 977 (0.00): companies, firms, industry, market, technology, investment, business, industries, competition, markets
Topic 1401 (0.00): management, evaluation, assessment, process, performance, objectives, review, information, development, effectiveness
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, mathematics, assessment
Topic 1414 (0.00): life, home, time, people, day, friends, family, children, enjoy, feel
Topic 386 (0.00): company, bid, business, companies, market, deal, stake, shares, cent, chairman
Topic 734 (0.00): police, people, violence, protest, demonstrators, city, demonstrations, march, riots, demonstration
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 1109 (0.00): job, time, life, career, months, found, school, people, started, decided
