Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, told, hand, head
Topic 976 (0.01): world, life, sense, style, times, real, character, makes, mind, age
Topic 782 (0.01): bit, people, lot, time, day, round, stuff, sort, night, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, fell, round, looked, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, hands, white, sat, door
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, shook, voice, hand, sat
Topic 610 (0.01): mother, time, house, home, told, father, looked, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, time
Topic 141 (0.00): eyes, black, body, blood, head, dead, air, flesh, mouth, skin
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, air, light, grass
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, father, mind
Topic 162 (0.00): eyes, voice, anger, time, told, hard, head, looked, suddenly, words
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hands, hand, head, fingers, hair
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, social, concept
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, argue, reasons
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, wrong, life
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, play, united
Topic 368 (0.00): band, music, album, record, rock, songs, pop, guitar, song, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, power, liberal, change, politics, radical
Topic 38 (0.00): film, star, movie, series, actor, john, world, director, stars, story
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, sat
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, floor, heard, inside, stood
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, dressed, trousers
Topic 8 (0.00): time, day, told, left, returned, decided, found, arrived, days, return
Topic 578 (0.00): father, mother, family, children, house, died, home, lived, life, son
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, past, shops
Topic 1027 (0.00): war, united, policy, military, world, soviet, foreign, western, east, government
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, blue, brown
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, meeting
Topic 188 (0.00): looked, house, day, told, night, cried, people, time, heard, home
Topic 1016 (0.00): king, son, royal, death, kingdom, earl, reign, father, lands, court
Topic 359 (0.00): food, eat, table, bread, meal, kitchen, breakfast, plate, tea, eating
Topic 674 (0.00): book, wrote, life, published, writing, books, written, literary, read, writers
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, summit, ministers, minister
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, rang, car
Topic 1487 (0.00): government, billion, country, money, people, economy, world, past, ago, president
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, announced, debt, deficit
Topic 953 (0.00): public, criticism, political, attack, support, critics, debate, views, press, opinion
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, engine, front
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, bed
Topic 776 (0.00): success, ability, experience, time, successful, people, world, career, life, sense
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, applications
Topic 112 (0.00): support, accept, position, prepared, question, refused, decision, time, accepted, offer
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 494 (0.00): government, national, president, political, assembly, opposition, elections, party, parties, democratic
Topic 266 (0.00): time, start, people, easy, remember, difficult, job, decide, sort, worth
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, carpet
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 272 (0.00): road, valley, loch, mountains, miles, hills, mountain, north, river, south
Topic 383 (0.00): people, life, feel, bad, told, wrong, time, stupid, understand, world
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 82 (0.00): forces, government, troops, fighting, peace, army, military, ceasefire, war, border
Topic 721 (0.00): trees, path, ground, track, grass, yards, road, left, round, feet
Topic 343 (0.00): business, market, company, sales, growth, future, development, increased, major, markets
Topic 1343 (0.00): development, period, major, growth, developed, led, developments, significant, expansion, change
Topic 1402 (0.00): head, eyes, takes, hand, feel, makes, hands, sit, sits, tells
Topic 485 (0.00): talk, told, people, time, heard, conversation, talking, found, talked, spoke
Topic 800 (0.00): light, night, dark, darkness, lights, lit, moon, eyes, shadows, torch
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, resignation, election, cabinet
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, democrats, government
Topic 778 (0.00): book, published, books, guide, author, history, written, volume, edition, information
Topic 221 (0.00): holiday, town, village, resort, beach, restaurants, day, lake, visit, beautiful
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, king, chamber, death
Topic 595 (0.00): money, pay, paid, people, buy, business, cash, spent, pounds, worth
Topic 609 (0.00): history, historical, cultural, narrative, discourse, process, form, meaning, culture, forms
Topic 229 (0.00): method, advantages, cost, methods, advantage, provide, required, difficult, effective, means
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, system, parents
Topic 258 (0.00): evil, life, death, sin, god, human, truth, guilt, mind, moral
Topic 1178 (0.00): cent, inflation, recession, rates, economy, growth, rate, economic, rise, recovery
Topic 745 (0.00): hospital, doctor, ill, home, told, day, time, days, doctors, life
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, national
Topic 1146 (0.00): food, fresh, cooking, sauce, meat, dishes, fish, flavour, dish, salad
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, innings, county, game
Topic 763 (0.00): cent, average, compared, proportion, survey, increase, figures, rate, total, half
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, time, invited, people
Topic 996 (0.00): decline, led, time, remained, crisis, war, collapse, period, success, continued
Topic 423 (0.00): matter, reason, mind, question, truth, understand, doubt, suppose, surely, simply
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, home
