Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, hand, mind, head
Topic 976 (0.01): world, life, sense, style, times, real, makes, mind, character, past
Topic 782 (0.01): bit, people, time, lot, day, night, stuff, round, bad, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, round, looked, fell, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, hands, white, door, sat
Topic 1158 (0.01): looked, head, nodded, eyes, told, smiled, shook, voice, hand, sat
Topic 610 (0.01): mother, time, house, home, told, looked, father, girl, day, love
Topic 220 (0.00): eyes, voice, looked, head, hand, hands, tears, moment, stood, suddenly
Topic 141 (0.00): eyes, black, body, head, blood, air, dead, flesh, mouth, skin
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, light, air, grass
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, father, feel, heart
Topic 1019 (0.00): eyes, body, mouth, lips, hands, arms, head, hand, fingers, hair
Topic 162 (0.00): eyes, voice, anger, told, time, hard, looked, head, suddenly, stared
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, social, nature, concept
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, wrong
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, argue, position
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, play, united
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, guitar, single
Topic 1361 (0.00): john, born, son, died, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, liberal, politics, change, power, radical
Topic 38 (0.00): film, star, movie, series, actor, john, stars, director, world, story
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, sat, head
Topic 1159 (0.00): door, stairs, house, kitchen, window, front, heard, floor, looked, inside
Topic 89 (0.00): dress, black, wear, white, wearing, clothes, wore, shirt, trousers, dressed
Topic 1380 (0.00): street, streets, city, people, town, houses, road, day, square, buildings
Topic 578 (0.00): father, family, mother, children, house, died, home, lived, life, son
Topic 8 (0.00): time, day, told, left, days, returned, arrived, found, decided, return
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, world, western, east, government
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, girl, blue
Topic 24 (0.00): yesterday, government, week, night, spokesman, secretary, told, decision, minister, added
Topic 188 (0.00): looked, house, day, told, night, people, cried, time, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, reign, war, father, lands
Topic 674 (0.00): book, wrote, life, published, books, writing, written, literary, read, author
Topic 359 (0.00): food, eat, table, bread, meal, kitchen, breakfast, plate, eating, tea
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, summit, ministers, minister
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, evening, rang
Topic 1487 (0.00): government, billion, country, money, people, world, past, economy, economic, president
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, deficit, announced
Topic 953 (0.00): public, criticism, political, attack, support, critics, press, debate, views, view
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, door
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, hour
Topic 776 (0.00): success, experience, world, ability, time, people, successful, career, confidence, sense
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, operating
Topic 112 (0.00): support, accept, position, question, decision, prepared, refused, accepted, time, return
Topic 266 (0.00): time, start, people, easy, difficult, remember, job, decide, worth, idea
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, time, home
Topic 494 (0.00): government, national, president, assembly, political, opposition, party, elections, parties, democratic
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, carpet
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 272 (0.00): road, loch, valley, mountains, miles, mountain, hills, north, lake, south
Topic 383 (0.00): people, life, bad, wrong, time, told, feel, stupid, understand, hurt
Topic 190 (0.00): study, studies, evidence, found, results, data, findings, research, suggest, recent
Topic 82 (0.00): government, forces, troops, peace, fighting, military, army, ceasefire, reported, border
Topic 1343 (0.00): development, period, growth, major, developed, developments, led, process, change, significant
Topic 1402 (0.00): head, takes, eyes, hand, feel, hands, sit, sits, makes, tells
Topic 343 (0.00): business, market, company, sales, growth, future, major, development, markets, increased
Topic 485 (0.00): talk, people, told, heard, time, conversation, talking, found, spoke, talked
Topic 721 (0.00): path, trees, ground, track, grass, road, yards, feet, close, stopped
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, resignation, election, cabinet
Topic 225 (0.00): labour, party, election, liberal, conservative, vote, campaign, conservatives, democrats, government
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, shadow, moon, sky
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, spent, pounds, cost
Topic 778 (0.00): book, published, books, guide, history, author, written, volume, edition, information
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, king, wine, eyes
