Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, hand, mind
Topic 976 (0.01): world, life, sense, style, mind, character, times, makes, power, real
Topic 782 (0.01): bit, people, time, lot, day, round, sort, stuff, night, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, looked, fell, arm, round, ran
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, sat, hands, white
Topic 1158 (0.01): looked, head, nodded, eyes, told, smiled, voice, shook, hand, sat
Topic 610 (0.01): mother, home, time, house, looked, told, father, girl, day, love
Topic 220 (0.00): eyes, voice, looked, head, hand, hands, tears, moment, stood, suddenly
Topic 141 (0.00): eyes, black, body, head, blood, dead, air, flesh, skin, mouth
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, air, light, water
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, father, day
Topic 162 (0.00): eyes, voice, anger, time, told, looked, head, hard, suddenly, words
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hands, head, hand, fingers, hair
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 736 (0.00): theory, theories, analysis, approach, theoretical, view, terms, nature, model, concept
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, position
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, day
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, liberal, power, change, radical, values
Topic 38 (0.00): film, star, movie, series, actor, john, director, stars, story, life
Topic 702 (0.00): bed, sleep, night, morning, asleep, lay, door, time, awake, woke
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, floor, heard, inside, hall
Topic 578 (0.00): father, mother, family, children, house, died, home, lived, life, married
Topic 89 (0.00): dress, black, wear, white, wearing, clothes, wore, shirt, dressed, trousers
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, past, shops
Topic 8 (0.00): time, day, told, left, decided, arrived, returned, days, found, return
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, western, world, east, political
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, added, minister
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, blue, girl
Topic 188 (0.00): looked, house, day, told, people, time, night, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, political, kingdom, reign, lands, died
Topic 359 (0.00): food, eat, table, bread, kitchen, breakfast, meal, eating, plate, tea
Topic 674 (0.00): book, wrote, life, published, writing, books, written, literary, read, author
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, ministers, summit, held
Topic 1487 (0.00): government, billion, country, money, people, past, economy, world, economic, politicians
Topic 847 (0.00): told, time, home, morning, day, night, phone, rang, left, car
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, announced, debt, deficit
Topic 953 (0.00): public, criticism, political, attack, critics, support, press, debate, view, views
Topic 150 (0.00): car, road, drove, driver, driving, drive, seat, cars, parked, door
Topic 969 (0.00): day, night, morning, time, evening, home, hours, afternoon, days, bed
Topic 776 (0.00): success, ability, experience, people, world, time, successful, career, confidence, future
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 112 (0.00): support, accept, position, question, refused, prepared, decision, time, accepted, offer
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, shot, goals, home, time
Topic 266 (0.00): time, start, people, easy, difficult, job, decide, worth, remember, sort
Topic 494 (0.00): government, national, president, political, assembly, opposition, party, elections, parties, democratic
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, dining
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 190 (0.00): study, studies, evidence, found, results, data, findings, research, suggest, significant
Topic 383 (0.00): people, life, feel, bad, wrong, time, told, stupid, understand, day
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, lake, south
Topic 82 (0.00): government, forces, troops, peace, fighting, military, army, ceasefire, reported, border
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, change, process, significant
Topic 721 (0.00): path, trees, ground, grass, track, road, yards, round, looked, close
Topic 800 (0.00): light, night, dark, darkness, lights, lit, eyes, shadows, sky, shadow
Topic 1402 (0.00): head, eyes, hand, takes, hands, feel, sits, sit, door, tells
Topic 343 (0.00): business, market, sales, company, growth, future, major, development, markets, increased
