Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, mind, hand
Topic 976 (0.01): world, sense, life, style, real, times, character, makes, mind, humour
Topic 782 (0.01): bit, people, time, lot, day, round, stuff, night, sort, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, fell, round, looked, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, sat, white, hands
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, shook, voice, hand, sat
Topic 610 (0.01): mother, house, home, time, told, looked, father, girl, day, love
Topic 220 (0.00): eyes, voice, looked, head, hand, hands, tears, moment, stood, suddenly
Topic 141 (0.00): eyes, black, body, blood, head, air, flesh, dead, skin, light
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, light, air, water
Topic 162 (0.00): eyes, voice, anger, time, told, head, hard, suddenly, looked, words
Topic 1412 (0.00): love, life, time, loved, mother, woman, told, mind, father, found
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, head, hands, fingers, hair
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, day
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, concept, ideas
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, argued
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, guitar, song, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, royal
Topic 62 (0.00): political, social, society, economic, power, movement, change, liberal, politics, radical
Topic 38 (0.00): film, star, movie, series, actor, john, life, stars, world, director
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, head, time, day
Topic 1159 (0.00): door, stairs, house, window, front, kitchen, floor, heard, stood, inside
Topic 578 (0.00): father, mother, family, children, house, died, home, lived, life, son
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, dressed, trousers
Topic 1380 (0.00): street, streets, city, people, town, houses, road, shops, day, square
Topic 8 (0.00): time, day, told, left, decided, days, returned, found, arrived, return
Topic 1027 (0.00): war, united, policy, soviet, military, world, foreign, western, east, government
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, girl, white, blue
Topic 24 (0.00): yesterday, government, night, week, told, spokesman, secretary, decision, added, meeting
Topic 188 (0.00): looked, house, day, people, night, told, cried, time, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, reign, political, time, lands
Topic 359 (0.00): food, eat, table, bread, breakfast, meal, kitchen, plate, eating, tea
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, author, read
Topic 1257 (0.00): meeting, talks, conference, agreement, countries, agreed, president, ministers, summit, minister
Topic 1487 (0.00): government, billion, country, money, people, world, past, economy, economic, ago
Topic 953 (0.00): public, criticism, attack, political, critics, support, view, press, debate, views
Topic 847 (0.00): told, time, morning, home, day, night, phone, left, rang, evening
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, deficit, announced
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, traffic
Topic 776 (0.00): success, experience, ability, world, successful, time, people, career, confidence, future
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, hour
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, operating
Topic 112 (0.00): support, accept, position, question, refused, decision, prepared, offer, accepted, time
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 494 (0.00): national, government, president, assembly, political, opposition, party, elections, parties, democratic
Topic 266 (0.00): time, start, people, easy, difficult, job, remember, decide, idea, worth
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, bedroom
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 383 (0.00): people, life, feel, bad, wrong, told, time, understand, stupid, hate
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, lake, north, south
Topic 721 (0.00): path, trees, ground, grass, track, road, yards, left, looked, stopped
Topic 82 (0.00): forces, government, troops, fighting, peace, military, army, ceasefire, war, border
Topic 1343 (0.00): development, period, growth, major, developed, developments, process, led, late, significant
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, moon, sky, shadow
Topic 1402 (0.00): head, eyes, takes, hand, feel, hands, sits, tells, makes, sit
Topic 485 (0.00): talk, told, people, time, heard, talking, conversation, found, spoke, talked
Topic 343 (0.00): business, market, company, sales, growth, future, markets, development, major, increased
Topic 778 (0.00): book, published, books, guide, author, history, written, volume, edition, information
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, resignation, election, cabinet
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, democrats, government
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, spent, pounds, worth
Topic 609 (0.00): history, historical, cultural, narrative, discourse, process, meaning, forms, form, text
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, king, wine, chamber
Topic 221 (0.00): holiday, town, village, resort, restaurants, beach, lake, beautiful, day, visit
Topic 229 (0.00): method, advantages, cost, methods, provide, advantage, difficult, required, effective, expensive
Topic 258 (0.00): evil, death, life, god, sin, human, moral, true, truth, guilt
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, political
Topic 745 (0.00): hospital, doctor, home, ill, told, time, day, days, doctors, life
Topic 1178 (0.00): inflation, cent, recession, rates, economy, growth, rate, economic, recovery, rise
Topic 409 (0.00): cricket, test, match, wickets, ball, runs, west, county, innings, team
Topic 1146 (0.00): food, cooking, fresh, sauce, meat, fish, flavour, dishes, dish, wine
Topic 996 (0.00): decline, led, war, period, crisis, remained, time, lost, collapse, suffered
Topic 423 (0.00): matter, reason, mind, question, truth, understand, doubt, suppose, simply, surely
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, house, invited, table
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, figures, total, rate, half
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, home
Topic 977 (0.00): companies, industry, firms, market, technology, world, industries, investment, markets, business
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, mathematics, children
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, socialism
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, effectiveness, development
Topic 290 (0.00): century, nineteenth, eighteenth, late, twentieth, centuries, period, modern, middle, seventeenth
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, sculpture
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, bible, spirit
Topic 58 (0.00): crowd, people, audience, front, day, applause, round, crowds, hall, stood
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 386 (0.00): company, bid, business, companies, deal, stake, shares, cent, market, takeover
Topic 1414 (0.00): life, time, home, people, day, friends, family, enjoy, children, feel
Topic 1109 (0.00): job, time, life, career, people, school, months, found, decided, left
Topic 815 (0.00): rugby, players, world, game, cup, south, tour, team, coach, international
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, justice, lord, law
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, sound
Topic 956 (0.00): army, battle, soldiers, enemy, miles, horse, horses, town, troops, king
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, fans
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, calcium, increased, shown, effect, response
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, sexual
Topic 941 (0.00): house, door, garden, front, gate, windows, wall, stone, window, road
Topic 269 (0.00): told, press, allegations, claimed, evidence, statement, official, story, claims, newspaper
Topic 1465 (0.00): cut, top, holes, plastic, hole, metal, piece, edge, position, fit
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, management, database
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, women
Topic 1201 (0.00): act, section, person, provisions, statutory, powers, subject, duty, provision, persons
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 553 (0.00): mother, daughter, parents, girl, father, family, home, child, told, baby
Topic 469 (0.00): production, capitalist, class, capitalism, social, capital, labour, society, economic, relations
Topic 675 (0.00): proposals, proposed, proposal, consultation, council, document, paper, review, draft, report
Topic 436 (0.00): village, house, church, built, century, manor, houses, building, hall, stone
Topic 617 (0.00): college, university, professor, oxford, school, students, lecturer, academic, royal, student
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, madam, hand, leave, father
Topic 1001 (0.00): world, people, human, country, life, live, society, future, lives, power
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, human, relations
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, plants, tanks, pond
Topic 762 (0.00): research, science, department, technology, university, centre, programme, development, institute, industry
Topic 602 (0.00): party, elections, cent, seats, election, vote, won, democratic, parties, candidates
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, social, thatcher
Topic 1291 (0.00): painting, art, artist, paintings, artists, painter, drawing, painted, portrait, paint
Topic 1302 (0.00): chapter, section, chapters, discussed, book, discussion, analysis, main, detail, study
Topic 756 (0.00): war, world, military, country, gulf, civil, army, soldiers, wars, wartime
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, spring, summer, white
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, serum, found, biopsy, chronic
Topic 1108 (0.00): difficult, solution, difficulties, situation, future, difficulty, task, potential, question, remain
Topic 45 (0.00): military, army, government, coup, president, forces, officers, armed, attempt, country
Topic 808 (0.00): time, smiled, love, looked, laughed, happy, told, meet, kissed, day
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, scandal, arrested, alleged, public
Topic 21 (0.00): funding, money, funds, grant, fund, support, government, grants, financial, council
Topic 1163 (0.00): windows, program, screen, files, file, dos, version, software, package, disk
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, crown, guilty, found, murder
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, countries, political, common
Topic 334 (0.00): local, government, authorities, councils, authority, services, central, council, county, district
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, change, increases, period, decline
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, journal
Topic 1120 (0.00): phone, telephone, call, voice, calls, rang, ring, receiver, time, office
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, review, recommended
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, brandy, poured
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, product, marketing
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, century, house, square
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 505 (0.00): friends, friend, life, time, met, found, friendship, school, home, left
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, primary
Topic 322 (0.00): race, horse, won, racing, jockey, winner, trainer, cup, run, national
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, exhibition, paintings
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, power, centuries, rule, time
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, question, concern, policy
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, election, cabinet
Topic 186 (0.00): tax, income, taxes, taxation, revenue, rate, government, budget, vat, cent
Topic 1199 (0.00): law, legal, laws, courts, common, legislation, act, criminal, rules, parliament
Topic 1186 (0.00): church, catholic, religious, roman, christian, bishops, churches, pope, council, archbishop
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, drama, plays, audience
Topic 61 (0.00): differences, structure, features, pattern, similar, patterns, common, structures, individual, variations
Topic 1463 (0.00): army, officer, military, war, regiment, soldiers, officers, training, soldier, captain
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, cent, migration, south
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, university
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, teachers
Topic 960 (0.00): boat, deck, water, boats, ship, yacht, crew, sea, sailing, sail
Topic 920 (0.00): policy, policies, government, political, economic, social, public, implementation, governments, national
Topic 133 (0.00): word, words, recognition, information, system, input, text, lexicon, processing, corpus
Topic 1115 (0.00): murder, death, killed, kill, dead, killing, life, people, murdered, shot
Topic 327 (0.00): sea, beach, coast, water, bay, sand, island, shore, tide, boat
Topic 930 (0.00): president, bush, house, congress, senate, campaign, administration, republican, presidential, white
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, vegetables, eating
Topic 612 (0.00): women, children, woman, wives, family, married, home, mothers, husbands, domestic
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, family
Topic 722 (0.00): fear, feelings, feel, anger, people, life, emotions, emotional, feeling, love
Topic 802 (0.00): paper, newspaper, daily, press, news, newspapers, papers, times, editor, story
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 699 (0.00): research, study, social, studies, data, methods, project, researcher, researchers, observation
Topic 1266 (0.00): money, charity, raised, raise, fund, people, appeal, support, funds, local
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, cut
Topic 1398 (0.00): hotel, beach, pool, bar, bedrooms, breakfast, night, terrace, single, private
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessels, vessel
Topic 483 (0.00): school, children, pupils, teachers, schools, teacher, parents, education, primary, pupil
Topic 96 (0.00): people, person, life, counselling, social, counsellor, feelings, experience, loss, feel
Topic 215 (0.00): letter, letters, write, wrote, dear, written, received, send, hope, reply
