Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, told, head, hand
Topic 976 (0.01): world, life, sense, style, real, times, character, makes, mind, past
Topic 782 (0.01): bit, people, time, lot, day, night, round, stuff, bad, sort
Topic 730 (0.01): head, hand, feet, eyes, hands, round, arm, looked, fell, ran
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, sat, hands, white
Topic 1158 (0.01): looked, head, nodded, eyes, told, smiled, voice, shook, hand, sat
Topic 610 (0.01): mother, home, house, time, told, looked, father, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, tears, hands, moment, stood, suddenly
Topic 141 (0.00): eyes, black, head, body, blood, air, dead, skin, flesh, mouth
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, air, light, water
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, mind, feel
Topic 162 (0.00): eyes, voice, anger, head, told, hard, looked, time, words, suddenly
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, hands, head, fingers, hair
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, model, concept
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, told, hard
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argued, argue
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, guitar, song, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, society
Topic 62 (0.00): political, social, society, economic, movement, power, change, liberal, radical, politics
Topic 38 (0.00): film, star, movie, series, actor, john, world, life, stars, director
Topic 1159 (0.00): door, stairs, house, window, front, heard, kitchen, floor, stood, inside
Topic 702 (0.00): bed, night, sleep, morning, asleep, door, lay, time, head, awake
Topic 578 (0.00): father, mother, family, children, house, died, home, lived, life, time
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, dressed, trousers
Topic 1380 (0.00): street, streets, city, people, town, houses, road, shops, past, day
Topic 8 (0.00): time, day, left, told, days, returned, decided, found, arrived, return
Topic 1027 (0.00): war, united, policy, soviet, military, world, western, foreign, east, government
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, blue, girl
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, plans
Topic 188 (0.00): looked, house, day, told, night, people, cried, time, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, reign, political, lands, duke
Topic 359 (0.00): food, eat, table, bread, kitchen, breakfast, meal, plate, eating, tea
Topic 674 (0.00): book, wrote, life, published, writing, books, written, literary, author, read
Topic 1257 (0.00): meeting, talks, agreement, conference, countries, agreed, president, ministers, summit, held
Topic 1487 (0.00): government, billion, country, money, world, people, economy, past, economic, ago
Topic 953 (0.00): public, criticism, political, attack, support, critics, views, press, view, issue
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, announced, debt, deficit
Topic 847 (0.00): told, time, home, morning, day, night, phone, rang, evening, car
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, door, front
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, applications
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, hour
Topic 776 (0.00): success, world, experience, ability, time, successful, people, career, confidence, hard
Topic 112 (0.00): support, accept, position, question, time, prepared, decision, refused, pressure, accepted
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 494 (0.00): government, national, political, president, assembly, opposition, party, elections, parties, democratic
Topic 266 (0.00): time, start, people, easy, difficult, job, decide, remember, worth, lot
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, dining
Topic 383 (0.00): people, feel, life, bad, time, wrong, told, stupid, hate, understand
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, suggests
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, lake, south
Topic 721 (0.00): path, trees, ground, grass, track, road, yards, looked, stopped, feet
Topic 82 (0.00): government, forces, troops, fighting, peace, army, military, ceasefire, reported, war
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, process, significant, expansion
Topic 800 (0.00): light, night, darkness, dark, lights, lit, shadows, torch, moon, shadow
Topic 1402 (0.00): head, eyes, takes, hand, feel, hands, sits, tells, sit, makes
Topic 343 (0.00): business, market, company, sales, growth, future, markets, major, development, increased
Topic 485 (0.00): talk, told, people, heard, time, conversation, talking, found, spoke, talked
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, resignation, cabinet, election
Topic 778 (0.00): book, published, books, guide, author, history, written, volume, edition, information
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, democrats, government
Topic 221 (0.00): holiday, town, village, resort, beach, day, restaurants, lake, beautiful, visit
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, king, chamber, brother
Topic 229 (0.00): method, advantages, cost, required, methods, advantage, provide, difficult, effective, expensive
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, pounds, spent, worth
Topic 609 (0.00): history, historical, cultural, form, discourse, process, meaning, narrative, language, forms
Topic 258 (0.00): evil, life, death, sin, god, human, people, truth, moral, true
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 745 (0.00): hospital, doctor, ill, home, told, time, day, days, doctors, life
Topic 55 (0.00): economic, economy, government, growth, policy, market, labour, industrial, policies, national
Topic 1178 (0.00): cent, inflation, recession, rates, economy, growth, rate, economic, recovery, rise
Topic 1146 (0.00): food, cooking, fresh, sauce, meat, fish, dishes, flavour, dish, wine
Topic 409 (0.00): cricket, test, match, wickets, ball, west, runs, county, innings, team
Topic 996 (0.00): time, led, period, decline, war, remained, crisis, collapse, lost, suffered
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, total, figures, rate, half
Topic 394 (0.00): party, dinner, evening, guests, friends, hotel, night, invited, house, table
Topic 977 (0.00): companies, industry, firms, market, technology, world, markets, investment, industries, business
Topic 423 (0.00): matter, mind, reason, question, understand, truth, doubt, suppose, surely, simply
Topic 789 (0.00): cup, final, win, won, team, league, club, season, championship, home
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, socialism
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, centuries, late, period, modern, middle, seventeenth
Topic 58 (0.00): crowd, people, audience, front, day, standing, applause, stage, crowds, hall
Topic 424 (0.00): curriculum, pupils, teachers, school, education, schools, national, teaching, mathematics, assessment
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, development, effectiveness
Topic 1414 (0.00): life, time, home, people, day, friends, family, enjoy, feel, children
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, bible
Topic 386 (0.00): company, bid, business, deal, companies, stake, cent, market, shares, chairman
Topic 1109 (0.00): job, time, life, career, months, found, left, people, decided, school
Topic 815 (0.00): rugby, players, world, game, cup, tour, team, south, coach, international
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, sound
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, held, justice, lord
Topic 956 (0.00): army, battle, soldiers, enemy, horse, miles, horses, troops, rode, king
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, clubs
Topic 1490 (0.00): cells, cell, membrane, receptor, activity, shown, calcium, effect, response, protein
Topic 941 (0.00): house, door, garden, front, gate, wall, windows, window, stone, stood
Topic 1465 (0.00): cut, top, holes, plastic, piece, hole, metal, edge, position, fit
Topic 1372 (0.00): women, male, woman, female, feminist, gender, feminism, feminists, sex, sexual
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, access, database
Topic 269 (0.00): told, press, claimed, allegations, statement, evidence, official, newspaper, public, story
Topic 469 (0.00): production, capitalist, class, capitalism, social, capital, society, labour, economic, relations
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, love
