Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, head, mind, told
Topic 976 (0.01): world, life, sense, style, times, real, makes, mind, character, simply
Topic 782 (0.01): bit, people, time, lot, day, round, stuff, night, sort, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, looked, arm, round, fell, ran
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, door, hands, sat, round
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, shook, hand, moment
Topic 610 (0.01): mother, home, house, time, told, father, looked, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, dead, air, flesh, skin, light
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, air, light, water
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, father, heart, mind
Topic 162 (0.00): eyes, voice, anger, told, head, time, hard, looked, words, suddenly
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, head, hands, fingers, hair
Topic 736 (0.00): theory, approach, analysis, theories, theoretical, view, terms, nature, concept, model
Topic 700 (0.00): argument, view, question, evidence, arguments, true, reason, claim, argue, argued
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, told, hard
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, guitar, song, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, power, movement, liberal, change, radical, politics
Topic 38 (0.00): film, star, movie, series, actor, john, world, life, director, stars
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, sat
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, heard, floor, inside, stood
Topic 578 (0.00): father, mother, family, children, house, died, home, life, lived, son
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, dressed, trousers
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, past, shops
Topic 8 (0.00): time, day, told, left, decided, returned, days, found, arrived, return
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, blue, girl
Topic 1027 (0.00): war, united, policy, soviet, world, military, western, foreign, east, government
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, plans
Topic 188 (0.00): looked, house, day, night, time, told, people, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, time, reign, kingdom, earl, lands, political
Topic 359 (0.00): food, eat, table, bread, meal, kitchen, breakfast, plate, tea, eating
Topic 674 (0.00): book, wrote, life, published, writing, books, written, literary, author, read
Topic 1487 (0.00): government, billion, country, money, people, economy, past, world, economic, ago
Topic 953 (0.00): public, criticism, political, attack, critics, support, press, views, issue, opinion
Topic 1257 (0.00): meeting, talks, agreement, conference, countries, agreed, president, ministers, summit, minister
Topic 847 (0.00): told, time, home, day, morning, night, phone, left, rang, evening
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, announced, deficit, debt
Topic 150 (0.00): car, road, drove, driver, drive, driving, cars, seat, front, traffic
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, late
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, operating
Topic 776 (0.00): success, experience, ability, world, time, successful, career, people, confidence, future
Topic 112 (0.00): support, accept, position, decision, question, prepared, refused, time, accepted, pressure
Topic 266 (0.00): time, start, people, easy, difficult, decide, remember, job, worth, lot
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 494 (0.00): government, national, president, political, assembly, opposition, party, elections, parties, democratic
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, kitchen, chairs, white, glass
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, announced
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, lake, river
Topic 383 (0.00): people, feel, life, bad, time, told, wrong, stupid, understand, hate
Topic 190 (0.00): study, studies, evidence, found, results, data, findings, research, suggest, differences
Topic 1402 (0.00): head, takes, hand, eyes, feel, hands, sit, sits, makes, tells
Topic 721 (0.00): path, trees, ground, grass, track, yards, road, feet, stopped, left
Topic 82 (0.00): forces, government, troops, fighting, peace, military, army, ceasefire, reported, border
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, process, change, late
Topic 343 (0.00): business, market, company, sales, growth, development, future, major, markets, increased
Topic 485 (0.00): talk, told, people, time, heard, talking, conversation, found, spoke, talked
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, moon, shadow, torch
Topic 583 (0.00): minister, party, government, prime, president, opposition, leader, election, resignation, cabinet
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, government, democrats
Topic 778 (0.00): book, published, books, guide, author, history, written, volume, information, edition
Topic 221 (0.00): holiday, town, village, beach, resort, restaurants, day, lake, beautiful, visit
Topic 258 (0.00): evil, life, sin, god, death, human, people, true, truth, fear
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, chamber, king, eyes
Topic 609 (0.00): history, cultural, historical, discourse, narrative, process, forms, form, meaning, sense
Topic 229 (0.00): method, advantages, cost, required, advantage, difficult, provide, methods, means, expensive
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, spent, pounds, worth
Topic 745 (0.00): hospital, doctor, home, ill, told, day, time, days, life, doctors
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, system, parents
Topic 996 (0.00): war, decline, remained, led, period, time, crisis, collapse, continued, lost
Topic 1178 (0.00): cent, inflation, recession, rates, economy, rate, growth, economic, recovery, rise
Topic 55 (0.00): economic, economy, government, growth, policy, market, industrial, labour, policies, political
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, county, innings, captain
Topic 1146 (0.00): food, cooking, fresh, sauce, meat, fish, dishes, flavour, dish, wine
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, total, figures, rate, half
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, victory
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, house, people
Topic 977 (0.00): companies, industry, firms, market, technology, markets, investment, industries, business, world
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, assessment, mathematics
Topic 423 (0.00): matter, mind, reason, question, understand, truth, doubt, suppose, simply, surely
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, development, effectiveness
Topic 58 (0.00): crowd, people, audience, day, front, stood, round, standing, applause, crowds
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, bible
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, march, city, demonstration, riots
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, sculpture
Topic 1414 (0.00): life, time, home, people, day, friends, family, children, enjoy, feel
Topic 386 (0.00): company, bid, business, companies, stake, deal, cent, shares, market, takeover
Topic 956 (0.00): army, battle, soldiers, horse, enemy, miles, troops, horses, king, town
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, sound
