Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, head, hand
Topic 976 (0.01): world, sense, life, style, real, times, makes, mind, past, character
Topic 782 (0.01): bit, people, time, lot, day, stuff, round, sort, night, bad
Topic 730 (0.01): head, hand, feet, eyes, looked, hands, fell, arm, round, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, hands, sat, white
Topic 1158 (0.01): looked, head, nodded, eyes, told, smiled, shook, voice, hand, sat
Topic 610 (0.01): mother, home, house, time, told, father, looked, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, suddenly
Topic 141 (0.00): eyes, black, head, body, blood, dead, air, flesh, skin, light
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, light, air, water
Topic 162 (0.00): eyes, voice, anger, told, head, time, hard, looked, suddenly, words
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, feel, day
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, head, hands, fingers, kiss
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, view, terms, nature, concept, social
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, argued
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, told, hard
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, guitar, song, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, society
Topic 62 (0.00): political, social, society, economic, movement, power, liberal, radical, change, politics
Topic 38 (0.00): film, star, movie, series, actor, john, life, director, stars, story
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, eyes, woke
Topic 1159 (0.00): door, stairs, house, kitchen, window, front, floor, heard, inside, stood
Topic 89 (0.00): dress, black, wear, white, wearing, clothes, wore, shirt, dressed, trousers
Topic 1380 (0.00): street, streets, city, people, town, houses, road, shops, square, past
Topic 578 (0.00): father, mother, family, children, house, died, home, lived, life, son
