Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, head, told, hand
Topic 976 (0.01): world, life, sense, times, style, real, makes, mind, past, character
Topic 782 (0.01): bit, people, lot, time, day, round, stuff, bad, sort, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, looked, arm, fell, round, ran
Topic 1326 (0.01): looked, hand, eyes, head, door, stood, hair, sat, hands, white
Topic 1158 (0.01): looked, head, nodded, told, smiled, eyes, shook, voice, hand, time
Topic 610 (0.01): mother, home, house, time, looked, told, father, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, suddenly
Topic 141 (0.00): eyes, black, body, head, blood, air, dead, mouth, skin, flesh
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, air, water, grass
Topic 162 (0.00): eyes, voice, anger, told, head, time, suddenly, hard, looked, hand
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, mind, heart, father
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, hands, head, fingers, kiss
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, terms, view, nature, concept, social
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, day, told
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, argue, argued
Topic 655 (0.00): season, cup, team, manager, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, pop, songs, single, song, guitar
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, power, liberal, change, radical, politics
Topic 38 (0.00): film, star, movie, series, actor, john, life, world, director, stars
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, sat
Topic 1159 (0.00): door, stairs, house, window, front, kitchen, floor, heard, inside, left
Topic 578 (0.00): father, mother, family, children, house, died, home, lived, life, born
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, dressed, suit
Topic 1380 (0.00): street, streets, city, people, town, road, houses, past, shops, square
Topic 8 (0.00): time, day, arrived, returned, decided, left, found, told, days, return
Topic 1027 (0.00): war, united, policy, soviet, world, military, foreign, western, government, east
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, girl, blue
Topic 24 (0.00): yesterday, government, week, night, told, secretary, spokesman, decision, added, meeting
Topic 188 (0.00): looked, house, day, told, people, night, time, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, reign, lands, political, father
Topic 359 (0.00): food, eat, table, bread, kitchen, breakfast, meal, plate, eating, tea
Topic 674 (0.00): book, wrote, life, published, books, writing, written, literary, read, author
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, summit, ministers, minister
Topic 1487 (0.00): government, billion, country, money, people, past, world, economy, president, economic
Topic 953 (0.00): public, criticism, political, attack, critics, support, views, press, view, opinion
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, announced, deficit
Topic 847 (0.00): told, time, morning, home, day, night, phone, left, rang, evening
Topic 150 (0.00): car, road, drove, drive, driver, driving, seat, cars, door, front
Topic 969 (0.00): day, night, morning, time, evening, hours, home, days, afternoon, hour
Topic 776 (0.00): success, experience, ability, time, world, successful, career, life, confidence, people
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, operating
Topic 112 (0.00): support, accept, position, prepared, refused, accepted, decision, question, time, return
Topic 266 (0.00): time, start, people, easy, difficult, job, decide, lot, remember, sort
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 494 (0.00): government, national, president, political, opposition, assembly, party, elections, parties, democratic
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, glass
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, announced
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, lake, south
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 383 (0.00): people, feel, life, bad, wrong, told, hate, stupid, world, time
Topic 1402 (0.00): head, hand, eyes, takes, hands, feel, sit, tells, sits, makes
Topic 82 (0.00): forces, government, troops, peace, fighting, army, military, ceasefire, reported, border
Topic 721 (0.00): path, trees, ground, grass, track, road, yards, feet, looked, stopped
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, process, late, expansion
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, torch, sky, shadow
Topic 485 (0.00): told, talk, people, time, heard, talking, conversation, found, spoke, talked
Topic 343 (0.00): business, market, sales, company, growth, future, markets, major, development, increased
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, resignation, cabinet, election
Topic 225 (0.00): labour, party, election, liberal, conservative, vote, campaign, conservatives, democrats, government
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, spent, pounds, cost
Topic 778 (0.00): book, published, books, guide, author, history, volume, written, edition, information
Topic 221 (0.00): holiday, town, resort, village, beach, beautiful, restaurants, day, lake, visit
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, death, chamber, hand
Topic 258 (0.00): evil, life, death, god, sin, human, truth, people, moral, guilt
Topic 229 (0.00): method, advantages, cost, difficult, required, methods, advantage, provide, expensive, effective
Topic 609 (0.00): history, cultural, historical, discourse, narrative, process, form, meaning, forms, text
Topic 745 (0.00): hospital, doctor, home, ill, told, days, day, time, doctors, life
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, system, parents
Topic 55 (0.00): economic, economy, government, growth, policy, market, labour, industrial, policies, political
Topic 1178 (0.00): cent, inflation, recession, rates, economy, rate, growth, economic, recovery, rise
Topic 1146 (0.00): food, cooking, sauce, fresh, meat, fish, dishes, flavour, dish, wine
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, county, innings, team
Topic 996 (0.00): decline, war, remained, led, crisis, time, period, collapse, lost, continued
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, figures, rate, total, half
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, house, table
Topic 789 (0.00): cup, final, win, won, team, league, club, season, championship, home
Topic 977 (0.00): companies, industry, firms, market, business, markets, investment, technology, industries, manufacturing
Topic 1401 (0.00): management, evaluation, assessment, process, performance, review, objectives, information, development, effectiveness
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, mathematics, assessment
Topic 423 (0.00): matter, mind, reason, question, simply, understand, truth, doubt, surely, suppose
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 386 (0.00): company, bid, business, deal, companies, stake, shares, cent, market, chairman
Topic 1414 (0.00): life, time, home, people, friends, day, family, enjoy, feel, children
Topic 58 (0.00): crowd, people, audience, front, standing, day, stood, stage, applause, round
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, heart
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, sound
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, coach, international
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, held, law, justice
