Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, hand, head, mind
Topic 976 (0.01): world, life, sense, style, mind, times, character, real, past, simply
Topic 782 (0.01): bit, people, time, lot, day, round, stuff, night, sort, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, looked, fell, arm, round, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, sat, hands, white
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, shook, voice, hand, moment
Topic 610 (0.01): mother, house, home, time, told, father, looked, girl, day, love
Topic 220 (0.01): eyes, voice, looked, hand, head, hands, tears, moment, stood, suddenly
Topic 141 (0.00): eyes, black, body, blood, head, air, dead, flesh, light, skin
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, water, light, air
Topic 1412 (0.00): love, life, time, mother, loved, told, woman, father, heart, day
Topic 162 (0.00): eyes, voice, anger, told, head, time, hard, suddenly, looked, words
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, concept, social
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, hands, head, fingers, kiss
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, day
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 700 (0.00): argument, view, evidence, question, arguments, true, claim, reason, argue, argued
Topic 655 (0.00): season, cup, team, manager, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, guitar, song, single
Topic 1361 (0.00): john, died, born, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, power, radical, change, liberal, values
Topic 38 (0.00): film, star, movie, series, actor, john, life, stars, world, director
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, day
Topic 1159 (0.00): door, stairs, house, front, kitchen, window, heard, floor, inside, stood
Topic 578 (0.00): father, mother, family, children, house, died, life, home, lived, time
Topic 1380 (0.00): street, streets, city, people, town, road, houses, day, square, past
Topic 89 (0.00): dress, wear, black, white, clothes, wearing, wore, shirt, trousers, dressed
Topic 8 (0.00): time, day, told, left, returned, arrived, decided, found, days, return
Topic 1027 (0.00): war, united, policy, military, soviet, world, western, foreign, east, political
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, blue, girl
Topic 24 (0.00): yesterday, government, week, spokesman, night, told, secretary, decision, added, minister
Topic 188 (0.00): looked, house, day, told, people, time, night, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, political, earl, kingdom, reign, war, lands
Topic 359 (0.00): food, eat, table, bread, meal, breakfast, kitchen, plate, eating, tea
