Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, mind, told, head
Topic 976 (0.01): world, life, sense, style, times, mind, real, makes, character, past
Topic 782 (0.01): bit, people, time, lot, day, round, night, stuff, sort, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, round, looked, arm, fell, ran
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, hands, sat, black
Topic 1158 (0.01): looked, head, nodded, told, smiled, eyes, shook, voice, hand, sat
Topic 610 (0.01): mother, house, time, home, told, father, looked, girl, day, love
Topic 220 (0.01): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, air, dead, flesh, white, skin
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, air, water, light
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, father, heart, day
Topic 162 (0.00): eyes, voice, anger, suddenly, head, told, time, hard, looked, mouth
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, hands, head, fingers, hair
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, social, nature, model
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, day
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, argued
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, single, guitar
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, liberal, radical, power, values, politics
Topic 38 (0.00): film, star, movie, series, actor, john, director, stars, life, story
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, eyes, woke
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, floor, heard, inside, left
Topic 578 (0.00): father, mother, family, children, house, died, home, lived, life, time
Topic 1380 (0.00): street, streets, people, city, town, road, houses, shops, square, day
Topic 89 (0.00): dress, black, wear, white, clothes, wearing, wore, shirt, trousers, dressed
Topic 8 (0.00): time, day, told, left, decided, arrived, days, returned, found, return
Topic 1027 (0.00): war, united, policy, military, soviet, world, foreign, western, east, government
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, girl, blue
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, minister
Topic 188 (0.00): looked, house, day, night, told, cried, people, time, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, political, reign, time, war
Topic 359 (0.00): food, eat, table, bread, breakfast, meal, kitchen, plate, tea, eating
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, read, author
Topic 1487 (0.00): government, billion, country, money, people, past, world, economy, ago, economic
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, ministers, summit, minister
Topic 953 (0.00): public, criticism, political, attack, critics, support, press, views, issue, debate
Topic 151 (0.00): cent, million, government, budget, economic, foreign, debt, deficit, economy, announced
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, evening, rang
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, parked
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, development
Topic 969 (0.00): day, morning, night, time, evening, home, hours, days, afternoon, lunch
Topic 112 (0.00): support, position, accept, prepared, question, refused, pressure, decision, accepted, time
Topic 776 (0.00): success, world, experience, ability, time, successful, career, life, sense, people
Topic 494 (0.00): government, national, president, political, assembly, opposition, elections, party, parties, democratic
Topic 266 (0.00): time, start, people, easy, difficult, job, decide, remember, money, sort
Topic 1035 (0.00): furniture, table, walls, house, floor, wall, chairs, white, kitchen, carpet
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, lake, north, river
Topic 383 (0.00): people, feel, life, bad, wrong, told, time, stupid, understand, hate
Topic 721 (0.00): trees, path, ground, grass, track, road, yards, left, looked, stopped
Topic 82 (0.00): forces, government, troops, peace, fighting, military, army, ceasefire, border, reported
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, shadow, sky, moon
Topic 1343 (0.00): development, period, major, growth, developed, developments, process, led, increased, increasingly
