Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, mind, told, hand
Topic 976 (0.01): world, life, sense, style, mind, makes, character, times, real, past
Topic 782 (0.01): bit, people, time, lot, day, round, night, stuff, sort, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, round, arm, fell, looked, ran
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, sat, hands, door, white
Topic 1158 (0.01): looked, head, nodded, eyes, told, smiled, shook, voice, hand, time
Topic 610 (0.01): mother, house, home, time, told, father, looked, girl, day, love
Topic 220 (0.01): eyes, voice, hand, looked, head, hands, tears, moment, stood, time
Topic 141 (0.00): eyes, black, head, body, blood, air, dead, white, flesh, skin
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, water, air, light
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, father, heart, day
Topic 162 (0.00): eyes, voice, anger, told, head, looked, hard, suddenly, words, time
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, hands, head, fingers, hair
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, social, concept
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, day, hard
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argued, argue
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, single, guitar
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, liberal, politics, power, radical, values
Topic 38 (0.00): film, star, movie, series, actor, john, stars, director, role, life
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, sat
Topic 1159 (0.00): door, stairs, house, kitchen, window, front, floor, heard, inside, stood
Topic 578 (0.00): father, mother, family, children, house, died, home, life, lived, son
Topic 1380 (0.00): street, streets, city, people, town, road, houses, square, day, shops
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, trousers, dressed
Topic 8 (0.00): time, day, told, left, found, returned, decided, arrived, days, return
Topic 1027 (0.00): war, united, policy, military, soviet, world, foreign, western, east, political
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, girl, blue
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, meeting
Topic 188 (0.00): looked, house, day, told, people, night, cried, time, heard, door
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, political, reign, father, lands
Topic 674 (0.00): book, life, wrote, published, books, writing, written, literary, read, writer
Topic 359 (0.00): food, eat, table, bread, meal, breakfast, plate, kitchen, tea, eating
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, summit, minister
Topic 1487 (0.00): government, billion, country, money, people, past, world, economy, ago, economic
Topic 953 (0.00): public, criticism, political, attack, critics, press, views, support, issue, view
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, deficit, announced
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, rang, evening
Topic 150 (0.00): car, road, drove, drive, driver, driving, seat, cars, front, parked
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, applications
Topic 969 (0.00): day, morning, night, time, evening, home, hours, days, afternoon, spent
Topic 112 (0.00): support, accept, position, prepared, decision, question, pressure, refused, accepted, time
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, kitchen, white, glass
Topic 776 (0.00): success, experience, time, ability, world, successful, career, hard, sense, confidence
Topic 494 (0.00): government, national, president, political, opposition, assembly, party, elections, parties, democratic
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 266 (0.00): time, start, people, easy, difficult, job, remember, decide, mind, worth
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 383 (0.00): people, feel, life, told, time, bad, wrong, understand, stupid, hate
Topic 190 (0.00): study, studies, evidence, found, results, data, research, suggest, findings, differences
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, river, south
Topic 721 (0.00): trees, path, ground, grass, track, road, yards, looked, feet, edge
Topic 82 (0.00): forces, government, troops, fighting, peace, military, army, ceasefire, war, reported
Topic 1402 (0.00): head, hand, takes, eyes, feel, hands, sits, door, tells, sit
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, moon, shadow, sky
Topic 343 (0.00): business, market, company, sales, growth, future, major, markets, development, increase
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, process, increasingly, change
Topic 485 (0.00): told, talk, people, heard, time, talking, conversation, found, spoke, day
Topic 778 (0.00): book, published, books, guide, author, volume, history, written, information, edition
Topic 583 (0.00): minister, party, government, prime, leader, opposition, president, resignation, cabinet, election
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, democrats, government
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, spent, pounds, cost
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, king, chamber, eyes
Topic 221 (0.00): holiday, town, village, resort, beach, restaurants, lake, day, beautiful, visit
Topic 609 (0.00): history, historical, cultural, narrative, process, discourse, form, forms, meaning, sense
Topic 258 (0.00): evil, life, death, sin, god, true, human, truth, people, free
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, system, parents
Topic 745 (0.00): hospital, doctor, ill, home, told, day, time, life, days, doctors
Topic 229 (0.00): method, advantages, cost, required, difficult, advantage, methods, provide, effective, expensive
Topic 996 (0.00): decline, war, crisis, remained, time, led, lost, collapse, period, continued
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, social
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, county, innings, game
Topic 1178 (0.00): cent, inflation, recession, rates, economy, rate, growth, economic, recovery, rise
Topic 1146 (0.00): food, cooking, fresh, sauce, meat, fish, flavour, dishes, dish, cheese
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, house, table
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, total, figures, rate, half
Topic 423 (0.00): matter, reason, mind, question, understand, truth, simply, doubt, surely, people
Topic 977 (0.00): companies, industry, firms, market, investment, markets, industries, technology, business, company
Topic 789 (0.00): cup, final, won, win, team, league, club, season, championship, victory
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, development, effectiveness
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, mathematics, assessment
Topic 58 (0.00): crowd, people, audience, front, day, standing, stood, applause, round, crowds
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, sculpture
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, play
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, bible
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, centuries, late, period, modern, middle, seventeenth
Topic 386 (0.00): company, bid, business, deal, companies, stake, cent, shares, takeover, market
Topic 956 (0.00): army, battle, soldiers, horse, enemy, miles, king, horses, troops, rode
Topic 1414 (0.00): life, time, home, people, friends, day, family, children, enjoy, feel
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, concerto
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, clubs
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, management, access
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, justice, law, lord
Topic 1109 (0.00): job, time, career, life, school, decided, months, found, people, left
Topic 941 (0.00): house, door, garden, front, gate, windows, wall, stone, window, road
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, shown, effect, calcium, increased, response
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, public, official, claims, report
Topic 1465 (0.00): cut, top, holes, plastic, piece, metal, hole, edge, position, remove
Topic 1372 (0.00): women, male, woman, female, feminist, feminists, feminism, gender, sex, sexual
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, labour, economic, system
Topic 762 (0.00): research, science, department, technology, university, centre, programme, institute, development, industry
Topic 1141 (0.00): system, software, network, systems, applications, data, database, users, support, management
Topic 1129 (0.00): social, society, people, sociology, individual, life, behaviour, individuals, relations, societies
Topic 1001 (0.00): world, people, country, human, life, live, society, future, power, lives
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, madam, woman, house, leave
Topic 1201 (0.00): act, section, person, provisions, statutory, powers, subject, duty, provision, persons
Topic 553 (0.00): mother, daughter, girl, parents, father, home, family, child, told, baby
Topic 436 (0.00): village, house, church, built, century, manor, houses, building, hall, road
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, task, time, question, alternative
Topic 880 (0.00): husband, wife, woman, married, marriage, children, daughter, life, women, family
Topic 675 (0.00): proposals, proposed, proposal, council, consultation, review, document, paper, draft, committee
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, portrait, painted, paint
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, plants, fry, pond, tanks
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, summer, spring, grow
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, thatcher, election
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, biopsy, found, serum, chronic
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, academic, royal, veterinary
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, period, decline, increases, effect
Topic 808 (0.00): love, smiled, time, looked, happy, told, laughed, meet, night, kissed
Topic 21 (0.00): funding, money, funds, grant, fund, support, government, financial, grants, council
Topic 924 (0.00): charges, court, trial, investigation, government, scandal, corruption, alleged, arrested, prison
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, political, countries, common
Topic 1163 (0.00): windows, program, screen, files, file, dos, software, version, package, text
Topic 1302 (0.00): chapter, section, chapters, book, discussed, discussion, analysis, study, main, detail
Topic 45 (0.00): military, army, coup, government, president, forces, officers, armed, country, attempt
Topic 756 (0.00): war, world, military, country, gulf, civil, army, soldiers, wartime, wars
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, county, council, district
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, water, poured
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, write
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, product, marketing
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, congress
Topic 1200 (0.00): teachers, schools, teacher, teaching, school, curriculum, education, classroom, development, primary
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, guilty, crown, murder
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1120 (0.00): phone, telephone, call, voice, ring, calls, rang, receiver, time, office
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 505 (0.00): friends, friend, life, time, met, found, home, girls, friendship, house
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, time, power, rule
Topic 322 (0.00): race, horse, won, racing, jockey, winner, trainer, cup, run, season
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, square, house, city
Topic 631 (0.00): museum, art, collection, gallery, museums, national, collections, arts, paintings, exhibition
Topic 608 (0.00): issues, debate, issue, questions, discussion, public, political, question, policy, concern
Topic 186 (0.00): tax, income, taxes, taxation, government, revenue, rate, budget, cent, vat
Topic 1174 (0.00): party, president, elected, minister, national, government, political, elections, council, assembly
Topic 1478 (0.00): theatre, play, stage, production, actor, performance, actors, plays, drama, audience
Topic 920 (0.00): policy, policies, government, political, economic, social, public, implementation, governments, national
Topic 1186 (0.00): church, catholic, religious, roman, bishops, pope, christian, churches, archbishop, clergy
Topic 1115 (0.00): murder, death, killed, kill, dead, killing, people, life, shot, murdered
Topic 592 (0.00): students, courses, degree, studies, study, faculty, subjects, honours, university, degrees
Topic 1463 (0.00): army, officer, military, regiment, soldiers, war, officers, soldier, training, royal
Topic 686 (0.00): major, minister, thatcher, prime, john, government, labour, party, chancellor, cabinet
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, education, knowledge, teachers
Topic 61 (0.00): differences, structure, pattern, features, similar, common, patterns, structures, individual, form
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sail, sailing
Topic 1199 (0.00): law, legal, laws, courts, legislation, common, act, criminal, rules, principles
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, lexical
Topic 699 (0.00): research, study, social, studies, data, methods, project, researchers, researcher, observation
Topic 722 (0.00): fear, feelings, anger, feel, life, emotions, people, emotional, feeling, love
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, vegetables, eating
Topic 930 (0.00): president, bush, house, congress, administration, senate, campaign, republican, white, presidential
Topic 612 (0.00): women, children, woman, family, wives, married, home, mothers, husbands, employment
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, childhood, school, family
Topic 802 (0.00): daily, press, newspaper, paper, news, newspapers, papers, times, editor, story
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, financial, cut
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, migration, people, cent, south
Topic 1266 (0.00): money, raised, charity, raise, fund, appeal, people, local, funds, support
Topic 215 (0.00): letter, letters, wrote, write, dear, written, received, send, hope, reply
Topic 601 (0.00): view, opinion, views, expressed, public, attitude, opinions, attitudes, concern, majority
Topic 327 (0.00): sea, beach, coast, water, bay, sand, island, shore, tide, boat
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessel, vessels
Topic 1398 (0.00): hotel, beach, bar, pool, bedrooms, breakfast, night, single, terrace, restaurant
Topic 823 (0.00): birds, bird, species, wings, nest, food, feathers, fly, breeding, owls
Topic 483 (0.00): school, children, pupils, teacher, schools, teachers, parents, education, primary, pupil
Topic 96 (0.00): people, person, life, counselling, counsellor, feelings, feel, social, family, experience
Topic 200 (0.00): police, night, home, attack, car, officers, house, yesterday, victim, arrested
Topic 70 (0.00): party, labour, national, conference, communist, left, movement, government, policy, parties
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 1281 (0.00): form, information, details, application, office, date, certificate, required, address, copy
Topic 1195 (0.00): killed, government, people, police, security, army, attack, claimed, attacks, forces
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, trading, dividend, stock, rose
Topic 374 (0.00): army, war, troops, attack, enemy, forces, battle, allied, front, armies
Topic 881 (0.00): life, experience, spiritual, human, love, god, world, mind, nature, sense
Topic 959 (0.00): water, clean, washing, clothes, wash, kitchen, floor, hot, bath, dirty
