Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, hand, mind, told
Topic 976 (0.01): world, life, sense, style, mind, makes, times, character, past, real
Topic 782 (0.01): bit, people, lot, time, day, round, sort, stuff, bad, night
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, round, looked, fell, ran
Topic 1326 (0.01): looked, hand, eyes, stood, hair, head, door, sat, hands, white
Topic 1158 (0.01): looked, head, nodded, eyes, told, smiled, voice, shook, hand, moment
Topic 610 (0.01): mother, home, time, house, told, father, looked, girl, day, love
Topic 220 (0.01): eyes, voice, looked, hand, head, hands, tears, moment, stood, suddenly
Topic 141 (0.00): eyes, body, black, head, blood, dead, air, light, flesh, mouth
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, air, water, light
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, father, mind, day
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, hands, head, fingers, hair
Topic 162 (0.00): eyes, voice, anger, head, hard, told, looked, suddenly, time, words
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, view, terms, concept, nature, model
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, wrong
Topic 700 (0.00): argument, view, question, evidence, arguments, claim, true, reason, argue, argued
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, pop, songs, rock, song, guitar, play
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, liberal, power, change, radical, values
Topic 38 (0.00): film, star, movie, series, actor, john, stars, director, life, world
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, sat, head
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, heard, floor, left, inside
Topic 578 (0.00): father, mother, family, house, children, died, home, lived, life, born
Topic 89 (0.00): dress, wear, black, white, clothes, wearing, wore, shirt, dressed, suit
Topic 1380 (0.00): street, streets, city, people, town, road, houses, shops, day, square
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, girl, blue
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, world, western, east, government
Topic 8 (0.00): time, day, told, left, returned, days, return, decided, found, arrived
Topic 188 (0.00): house, looked, day, people, night, time, told, cried, home, heard
Topic 24 (0.00): yesterday, government, night, week, spokesman, told, secretary, decision, added, minister
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, reign, political, father, time
Topic 674 (0.00): book, wrote, life, published, writing, books, written, literary, read, writer
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, breakfast, plate, eating, tea
