Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, head, mind
Topic 976 (0.01): world, life, sense, style, times, mind, real, character, makes, humour
Topic 782 (0.01): bit, people, time, lot, day, round, stuff, sort, bad, night
Topic 730 (0.01): head, hand, feet, eyes, hands, looked, arm, fell, round, ran
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, white, sat, hands
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, shook, hand, moment
Topic 610 (0.01): mother, home, time, house, told, father, looked, girl, day, love
Topic 220 (0.01): eyes, voice, hand, looked, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, dead, air, mouth, flesh, light
Topic 1348 (0.00): sun, sky, trees, white, green, blue, water, air, day, light
Topic 1019 (0.00): eyes, body, mouth, lips, hands, hand, arms, head, fingers, hair
Topic 1412 (0.00): love, life, time, loved, mother, woman, told, father, heart, mind
Topic 162 (0.00): eyes, voice, anger, told, time, head, hard, suddenly, looked, words
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, concept, social
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argued, argue
Topic 1459 (0.00): people, lot, time, bit, feel, sort, talk, started, wrong, life
Topic 655 (0.00): season, cup, manager, game, team, players, club, league, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, politics, liberal, change, radical, power
Topic 38 (0.00): film, star, movie, series, actor, world, john, stars, story, life
Topic 702 (0.00): bed, night, sleep, morning, asleep, door, lay, time, head, woke
Topic 1159 (0.00): door, stairs, house, front, window, floor, kitchen, heard, left, inside
Topic 578 (0.00): father, mother, family, children, house, died, home, lived, life, born
Topic 1380 (0.00): street, streets, city, people, town, houses, day, road, shops, square
Topic 89 (0.00): dress, black, wear, white, clothes, wearing, wore, shirt, dressed, suit
Topic 8 (0.00): time, day, left, told, decided, found, returned, days, return, arrived
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, girl, blue
Topic 1027 (0.00): war, united, policy, military, foreign, soviet, western, world, east, political
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, added, plans
Topic 188 (0.00): house, looked, day, told, people, night, time, cried, heard, home
Topic 359 (0.00): food, eat, table, bread, meal, kitchen, breakfast, plate, eating, tea
Topic 1016 (0.00): king, son, royal, death, kingdom, earl, reign, war, time, father
Topic 674 (0.00): book, life, wrote, published, books, writing, written, literary, read, writer
Topic 1487 (0.00): government, billion, country, money, people, past, world, economy, president, ago
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, summit, ministers, minister
Topic 953 (0.00): public, criticism, political, attack, support, critics, press, issue, views, opinion
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, announced, deficit
Topic 150 (0.00): car, road, drove, driver, drive, driving, cars, seat, front, parked
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, evening, rang
Topic 112 (0.00): support, accept, position, question, time, decision, prepared, pressure, refused, offer
Topic 969 (0.00): day, night, morning, time, evening, home, hours, afternoon, days, late
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 776 (0.00): success, experience, ability, world, successful, career, time, life, sense, hard
Topic 494 (0.00): government, national, president, political, opposition, assembly, party, elections, parties, democratic
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 266 (0.00): time, start, people, easy, job, difficult, decide, worth, remember, feel
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, kitchen, white, bedroom
Topic 272 (0.00): road, loch, valley, mountains, miles, mountain, hills, north, south, river
Topic 383 (0.00): people, bad, feel, wrong, life, told, stupid, understand, hate, hurt
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 721 (0.00): path, trees, ground, grass, track, yards, road, edge, left, feet
Topic 82 (0.00): forces, government, troops, fighting, peace, military, army, ceasefire, reported, war
Topic 1402 (0.00): head, hand, takes, eyes, hands, feel, tells, sits, makes, door
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, moon, shadow, sky
Topic 1343 (0.00): development, period, major, growth, developed, developments, significant, led, expansion, process
Topic 343 (0.00): business, market, company, sales, growth, future, major, markets, increased, products
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, democrats, government
Topic 485 (0.00): talk, told, people, heard, time, conversation, talking, found, talked, spoke
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, resignation, cabinet, election
Topic 778 (0.00): book, published, books, guide, author, history, written, information, volume, edition
Topic 221 (0.00): town, holiday, village, resort, beach, beautiful, restaurants, lake, visit, day
Topic 609 (0.00): history, historical, cultural, discourse, form, process, narrative, meaning, forms, terms
Topic 595 (0.00): money, pay, paid, people, business, buy, cash, pounds, spent, cost
Topic 258 (0.00): evil, death, life, sin, god, human, truth, moral, people, fear
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, chamber, eyes, wine
Topic 229 (0.00): method, cost, advantages, methods, required, means, advantage, provide, expensive, difficult
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, system, parents
Topic 745 (0.00): hospital, doctor, home, ill, time, day, told, days, life, doctors
Topic 996 (0.00): decline, crisis, led, remained, period, war, time, lost, collapse, continued
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, political
Topic 1178 (0.00): inflation, cent, rates, recession, economy, rate, growth, economic, recovery, rise
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, table, invited, house
Topic 1146 (0.00): food, cooking, sauce, fresh, meat, fish, dishes, flavour, dish, wine
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, figures, total, rate, half
Topic 409 (0.00): cricket, test, match, ball, wickets, runs, west, county, innings, team
Topic 423 (0.00): matter, mind, question, reason, truth, understand, doubt, suppose, simply, people
Topic 977 (0.00): companies, industry, firms, market, investment, technology, manufacturing, industries, markets, world
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, development, effectiveness
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, division
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 58 (0.00): crowd, people, audience, day, stood, front, round, stage, applause, standing
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, sculpture
Topic 734 (0.00): police, people, violence, demonstrators, protest, city, demonstrations, march, demonstration, riots
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, mathematics, teaching, assessment
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, heart
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, play
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 386 (0.00): company, bid, business, companies, deal, stake, cent, shares, market, chairman
Topic 1414 (0.00): life, time, home, people, friends, day, family, enjoy, feel, children
Topic 956 (0.00): army, battle, soldiers, enemy, miles, horse, troops, king, horses, prince
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, concerto
Topic 1109 (0.00): job, time, career, life, found, school, people, months, decided, started
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, held, law, justice
Topic 269 (0.00): told, press, claimed, allegations, statement, evidence, public, official, newspaper, report
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, fans
Topic 1490 (0.00): cells, cell, membrane, receptor, activity, shown, calcium, increased, effect, response
Topic 941 (0.00): house, door, garden, front, gate, windows, window, stone, wall, road
Topic 1465 (0.00): cut, top, holes, plastic, piece, hole, edge, metal, fit, remove
Topic 1372 (0.00): women, male, woman, female, feminist, gender, feminism, feminists, sex, sexual
Topic 880 (0.00): wife, husband, woman, married, marriage, children, life, daughter, family, women
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, labour, economic, system
Topic 1201 (0.00): act, section, person, provisions, statutory, duty, powers, subject, provision, authority
Topic 1001 (0.00): world, people, human, country, life, society, live, power, lives, future
Topic 675 (0.00): proposals, proposed, proposal, consultation, council, review, paper, draft, document, committee
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 617 (0.00): college, university, professor, oxford, school, students, lecturer, academic, royal, student
Topic 1307 (0.00): fish, tank, water, filter, aquarium, species, fry, plants, tanks, filtration
Topic 553 (0.00): mother, girl, daughter, parents, home, family, father, child, told, baby
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 805 (0.00): party, labour, government, conservative, political, policy, policies, conservatives, election, thatcher
Topic 1108 (0.00): solution, difficult, situation, difficulties, future, difficulty, time, task, question, potential
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, societies, relations
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, woman, madam, hand, gentleman
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, paint, portrait
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, spring, summer, grow
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 756 (0.00): war, world, military, country, gulf, civil, army, soldiers, wars, fighting
Topic 762 (0.00): research, science, department, technology, university, centre, programme, institute, development, industry
Topic 45 (0.00): military, army, government, coup, president, forces, officers, armed, country, attempt
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, period, increases, change, rates
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, biopsy, intestinal, serum, chronic
Topic 924 (0.00): charges, trial, court, government, investigation, scandal, corruption, alleged, arrested, police
