Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, head, hand, mind
Topic 976 (0.01): world, life, sense, style, times, mind, real, modern, makes, age
Topic 782 (0.01): bit, people, time, lot, day, night, round, stuff, sort, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, looked, round, fell, suddenly
Topic 1326 (0.01): looked, hand, eyes, stood, head, hair, door, sat, white, hands
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, shook, hand, time
Topic 610 (0.01): mother, home, time, house, told, father, looked, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, dead, air, flesh, light, skin
Topic 1348 (0.00): sun, sky, trees, white, green, blue, air, day, water, light
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, mind, father
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, hands, head, fingers, hair
Topic 162 (0.00): eyes, voice, anger, told, hard, time, head, words, suddenly, looked
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, view, terms, concept, social, nature
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, wrong, day
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, argued
Topic 655 (0.00): season, cup, manager, game, team, players, club, league, united, play
Topic 368 (0.00): band, music, album, record, rock, pop, songs, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, society, married
Topic 62 (0.00): political, social, society, economic, movement, liberal, change, radical, power, politics
Topic 38 (0.00): film, star, movie, series, actor, john, life, story, stars, role
Topic 702 (0.00): bed, night, sleep, morning, asleep, door, time, lay, head, woke
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, floor, heard, inside, looked
Topic 578 (0.00): father, mother, family, children, house, died, home, lived, life, born
Topic 8 (0.00): time, day, told, decided, left, days, returned, arrived, found, return
Topic 1380 (0.00): street, streets, city, people, town, road, houses, day, past, shops
Topic 89 (0.00): dress, black, wear, white, clothes, wearing, wore, shirt, dressed, trousers
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, minister
Topic 1027 (0.00): war, united, policy, military, soviet, world, foreign, western, east, political
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, blue, girl
Topic 188 (0.00): house, looked, day, told, night, time, people, cried, home, heard
Topic 1016 (0.00): king, son, royal, death, earl, reign, kingdom, time, lands, died
Topic 359 (0.00): food, eat, table, bread, meal, breakfast, kitchen, plate, tea, eating
Topic 1487 (0.00): government, billion, country, money, people, past, economy, world, economic, president
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, writer, author
Topic 953 (0.00): public, criticism, political, attack, critics, support, press, views, debate, issue
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, summit, ministers, minister
Topic 151 (0.00): cent, million, government, budget, economic, foreign, debt, economy, deficit, announced
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, door
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, evening, rang
Topic 969 (0.00): day, night, morning, time, evening, home, hours, afternoon, days, bed
Topic 112 (0.00): support, accept, position, prepared, question, decision, accepted, offer, refused, pressure
Topic 1312 (0.00): software, systems, system, technology, sun, computer, company, windows, market, development
Topic 494 (0.00): government, national, president, political, assembly, opposition, party, elections, parties, democratic
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 776 (0.00): success, experience, time, ability, world, hard, successful, career, people, life
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, announced
Topic 266 (0.00): time, start, people, easy, decide, difficult, worth, remember, job, mind
Topic 1035 (0.00): furniture, table, house, walls, floor, chairs, wall, kitchen, white, bedroom
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, south, north, river
