Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, head, told, mind
Topic 976 (0.01): world, sense, life, style, times, real, mind, past, character, makes
Topic 782 (0.01): bit, people, lot, time, day, round, sort, stuff, bad, night
Topic 730 (0.01): head, hand, feet, eyes, hands, looked, arm, fell, round, ran
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, hands, sat, round
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, shook, hand, time
Topic 610 (0.01): mother, home, time, house, told, looked, father, girl, day, love
Topic 220 (0.00): eyes, voice, hand, looked, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, body, black, head, blood, air, dead, skin, light, flesh
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, air, water, light
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, hands, head, fingers, hair
Topic 162 (0.00): eyes, voice, anger, head, told, time, hard, looked, suddenly, words
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, mind, father
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, view, terms, social, nature, concept
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, talk, started, wrong, hard
Topic 700 (0.00): argument, view, evidence, question, arguments, true, reason, claim, argue, argued
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, single, guitar
Topic 1361 (0.00): john, born, son, died, wife, daughter, sir, family, married, royal
Topic 62 (0.00): political, social, society, economic, movement, politics, radical, liberal, change, power
Topic 38 (0.00): film, star, movie, actor, john, series, life, world, stars, director
Topic 702 (0.00): bed, sleep, night, morning, asleep, door, time, lay, head, woke
Topic 1159 (0.00): door, stairs, house, window, kitchen, front, floor, heard, inside, left
Topic 578 (0.00): father, mother, family, children, house, died, lived, home, life, born
Topic 8 (0.00): time, day, decided, left, told, arrived, returned, found, days, return
Topic 1380 (0.00): street, streets, city, people, town, road, houses, square, past, shops
Topic 89 (0.00): dress, wear, black, white, clothes, wearing, wore, shirt, dressed, suit
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, girl, blue
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, world, western, east, political
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, added, minister
Topic 188 (0.00): looked, house, day, told, night, people, time, cried, home, heard
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, political, reign, lands, time
Topic 359 (0.00): food, eat, table, bread, meal, kitchen, plate, breakfast, tea, eating
Topic 1487 (0.00): government, billion, country, money, people, past, economy, world, economic, president
Topic 674 (0.00): book, life, published, wrote, books, writing, written, literary, read, writer
Topic 953 (0.00): public, criticism, political, attack, press, critics, opinion, people, support, issue
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, minister, summit
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, announced, deficit
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, parked, door
Topic 112 (0.00): support, accept, position, question, decision, time, prepared, refused, pressure, offer
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, late
Topic 847 (0.00): told, time, home, morning, day, night, phone, evening, left, rang
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, development
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 776 (0.00): success, ability, experience, successful, world, time, life, people, career, hard
Topic 494 (0.00): government, national, president, political, opposition, assembly, party, elections, parties, democratic
Topic 1035 (0.00): furniture, table, walls, house, floor, wall, chairs, kitchen, white, bedroom
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 266 (0.00): time, start, people, easy, difficult, remember, job, worth, decide, advice
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, analysis
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, south, lake
Topic 383 (0.00): people, bad, feel, life, wrong, time, stupid, understand, told, world
Topic 721 (0.00): path, trees, ground, grass, track, left, road, yards, looked, stopped
Topic 82 (0.00): government, forces, troops, peace, fighting, army, military, ceasefire, war, reported
Topic 1402 (0.00): head, takes, eyes, hand, feel, makes, hands, tells, sit, sits
Topic 485 (0.00): talk, told, people, heard, time, talking, conversation, talked, found, spoke
Topic 343 (0.00): business, market, company, sales, growth, future, markets, major, increased, development
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, democrats, government
Topic 1343 (0.00): development, major, period, growth, developed, developments, led, process, change, expansion
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, election, resignation, cabinet
Topic 800 (0.00): light, night, dark, darkness, lights, lit, moon, torch, shadows, shadow
Topic 221 (0.00): holiday, town, beach, village, resort, day, restaurants, beautiful, lake, visit
Topic 609 (0.00): history, historical, cultural, discourse, narrative, form, sense, forms, process, text
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, pounds, spent, rich
Topic 778 (0.00): book, published, books, guide, author, history, volume, edition, information, written
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, eyes, wine, chamber
Topic 229 (0.00): method, cost, advantages, methods, means, advantage, effective, required, expensive, suitable
Topic 258 (0.00): evil, life, death, sin, god, human, moral, truth, guilt, true
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 745 (0.00): hospital, doctor, home, ill, told, time, days, day, doctors, life
Topic 1178 (0.00): cent, inflation, rates, recession, economy, growth, rate, economic, recovery, rise
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, political
Topic 423 (0.00): matter, mind, reason, question, truth, doubt, understand, surely, suppose, simply
Topic 1146 (0.00): food, cooking, fresh, sauce, meat, fish, dishes, flavour, dish, recipes
Topic 996 (0.00): crisis, decline, period, led, war, remained, collapse, time, late, lost
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, county, innings, team
Topic 763 (0.00): cent, average, compared, proportion, survey, increase, total, figures, rate, half
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, development, quality
Topic 977 (0.00): companies, firms, industry, market, technology, business, investment, markets, industries, world
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, table, invited, house
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, victory
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, movement, workers, social
Topic 58 (0.00): crowd, people, audience, front, day, stood, round, standing, applause, stage
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, march, city, demonstration, riots
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, heart, spirit
Topic 1109 (0.00): job, time, life, career, months, found, school, started, left, decided
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, mathematics, assessment
Topic 815 (0.00): rugby, players, world, game, cup, south, tour, team, international, coach
Topic 386 (0.00): company, bid, business, companies, deal, stake, shares, market, cent, chairman
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, justice, held, law
