Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, told, hand, mind
Topic 976 (0.01): world, sense, life, style, times, real, character, age, sort, doubt
Topic 782 (0.01): bit, people, time, lot, day, round, night, stuff, sort, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, fell, looked, round, ran
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, door, sat, white, round
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, hand, shook, voice, time
Topic 610 (0.01): mother, home, time, house, told, father, looked, day, girl, love
Topic 220 (0.01): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, body, black, head, blood, dead, air, flesh, mouth, skin
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, air, water, grass
Topic 162 (0.00): eyes, voice, anger, time, told, head, hard, looked, suddenly, words
Topic 1412 (0.00): love, life, time, loved, mother, woman, told, heart, day, mind
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, argue, argued
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hands, hand, head, fingers, hair
Topic 736 (0.00): theory, approach, analysis, theories, theoretical, view, terms, nature, social, ideas
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, told, life
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, guitar, single
Topic 1361 (0.00): john, son, born, died, wife, daughter, sir, family, society, father
Topic 62 (0.00): political, social, society, economic, movement, liberal, power, radical, century, politics
Topic 38 (0.00): film, star, movie, series, actor, john, director, played, world, stars
Topic 1159 (0.00): door, stairs, house, kitchen, window, front, floor, heard, inside, stood
Topic 578 (0.00): father, mother, family, house, life, children, died, home, lived, son
Topic 8 (0.00): time, day, told, decided, returned, left, found, arrived, return, days
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, woke
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, trousers, dressed
Topic 1380 (0.00): street, streets, city, people, town, road, houses, square, shops, day
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, girl, white, blue
Topic 1027 (0.00): war, united, policy, military, foreign, soviet, world, western, east, political
Topic 24 (0.00): yesterday, government, week, night, secretary, spokesman, told, decision, added, meeting
Topic 188 (0.00): looked, house, day, told, people, time, night, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, reign, father, kingdom, political, time
Topic 847 (0.00): told, time, home, morning, night, day, phone, left, evening, rang
