Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, hand, told, head
Topic 976 (0.01): world, life, sense, style, times, character, real, makes, sort, simply
Topic 782 (0.01): bit, people, time, lot, day, round, night, stuff, sort, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, looked, fell, round, suddenly
Topic 1326 (0.01): looked, hand, eyes, hair, stood, head, door, white, sat, hands
Topic 1158 (0.01): looked, head, nodded, told, smiled, eyes, hand, voice, shook, time
Topic 610 (0.00): mother, home, house, time, told, father, looked, girl, day, love
Topic 220 (0.00): eyes, voice, hand, looked, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, dead, flesh, air, light, mouth
Topic 1348 (0.00): sun, sky, trees, green, white, blue, air, day, water, light
Topic 162 (0.00): eyes, voice, anger, told, time, hard, head, words, looked, suddenly
Topic 1412 (0.00): love, life, time, loved, told, mother, woman, mind, day, heart
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, hands, head, fingers, hair
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, position
Topic 736 (0.00): theory, approach, analysis, theories, theoretical, view, terms, nature, ideas, concept
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, told
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, guitar, song, single
Topic 1361 (0.00): john, died, born, son, wife, daughter, sir, family, royal, married
Topic 62 (0.00): political, social, society, economic, movement, power, liberal, radical, century, world
Topic 38 (0.00): film, star, movie, series, actor, john, director, life, stars, story
Topic 1159 (0.00): door, stairs, house, kitchen, front, window, floor, heard, inside, looked
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, time, door, head, day
Topic 578 (0.00): father, mother, family, house, children, life, died, home, lived, son
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, hair, trousers
Topic 8 (0.00): time, day, told, left, returned, decided, found, return, arrived, days
Topic 1380 (0.00): street, streets, city, people, town, houses, square, road, shops, buildings
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, blue, girl
Topic 1027 (0.00): war, united, policy, military, foreign, soviet, world, western, east, government
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, minister
Topic 188 (0.00): looked, house, day, people, told, night, time, cried, heard, home
Topic 847 (0.00): told, time, morning, home, night, day, phone, left, evening, rang
Topic 1016 (0.00): king, son, royal, death, political, kingdom, earl, reign, lands, father
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, summit, ministers, minister
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, breakfast, plate, tea, eating
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, read, writers
