Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, told, head, mind
Topic 976 (0.01): world, life, sense, style, times, real, makes, character, past, mind
Topic 782 (0.01): bit, people, time, lot, day, night, round, stuff, sort, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, round, arm, fell, looked, left
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, sat, white, round
Topic 1158 (0.01): looked, head, nodded, eyes, told, smiled, voice, shook, hand, sat
Topic 610 (0.01): mother, time, house, father, home, told, looked, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, dead, air, flesh, light, skin
Topic 1348 (0.00): sun, sky, trees, green, white, blue, air, day, light, water
Topic 162 (0.00): eyes, voice, anger, told, head, hard, time, suddenly, words, looked
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, hands, head, fingers, hair
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, mind, heart, father
Topic 736 (0.00): theory, approach, analysis, theories, theoretical, view, terms, nature, concept, ideas
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, argue, argued
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, day
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, play, united
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, guitar, single
Topic 1361 (0.00): john, son, born, died, wife, daughter, sir, family, married, royal
Topic 62 (0.00): political, social, society, economic, movement, power, liberal, politics, radical, values
Topic 38 (0.00): film, star, movie, series, actor, john, life, director, stars, story
Topic 1159 (0.00): door, stairs, house, window, kitchen, heard, front, floor, stood, looked
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, eyes, head
Topic 578 (0.00): father, mother, family, house, children, died, home, lived, life, born
Topic 89 (0.00): dress, wear, black, white, clothes, wearing, wore, shirt, trousers, dressed
Topic 8 (0.00): time, told, left, day, returned, found, decided, days, return, arrived
Topic 1380 (0.00): street, streets, city, people, town, road, houses, square, day, shops
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, girl, blue, white
Topic 1027 (0.00): war, united, policy, military, foreign, world, soviet, western, government, political
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, john
Topic 188 (0.00): looked, house, day, told, night, people, time, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, political, reign, kingdom, war, died
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, evening, rang
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, plate, breakfast, tea, eating
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, summit, foreign
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, read, writer
Topic 1487 (0.00): government, billion, country, money, people, past, economy, world, president, politicians
Topic 151 (0.00): cent, million, government, budget, economic, foreign, debt, economy, announced, deficit
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, door
Topic 112 (0.00): accept, support, position, prepared, accepted, question, refused, decision, offer, time
Topic 953 (0.00): public, criticism, political, attack, support, critics, views, view, debate, press
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, development
Topic 776 (0.00): success, experience, ability, people, time, world, successful, career, hard, future
Topic 969 (0.00): day, morning, night, time, evening, home, hours, days, afternoon, bed
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, shot, goals, home, time
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, kitchen, white, bedroom
Topic 266 (0.00): time, start, people, easy, difficult, job, remember, decide, worth, mind
Topic 494 (0.00): national, government, president, political, assembly, opposition, party, elections, parties, democratic
Topic 272 (0.00): road, loch, valley, mountains, hills, miles, mountain, north, lake, river
Topic 383 (0.00): people, feel, life, wrong, bad, told, time, stupid, hate, world
Topic 721 (0.00): path, trees, ground, grass, track, road, looked, left, feet, yards
Topic 1402 (0.00): head, takes, eyes, hand, hands, feel, makes, sit, sits, tells
Topic 82 (0.00): forces, government, troops, peace, fighting, military, army, ceasefire, reported, war
Topic 190 (0.00): study, studies, evidence, found, results, data, findings, research, suggest, differences
Topic 1343 (0.00): development, major, period, growth, developed, developments, led, significant, process, change
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, democrats, government
Topic 800 (0.00): light, night, dark, darkness, lights, lit, moon, shadow, sky, shadows
Topic 343 (0.00): business, market, company, sales, growth, future, development, major, markets, products
Topic 583 (0.00): minister, party, government, prime, opposition, president, leader, resignation, election, cabinet
Topic 229 (0.00): method, cost, advantages, methods, required, means, advantage, difficult, effective, provide
Topic 778 (0.00): book, published, books, guide, author, volume, history, edition, written, text
Topic 485 (0.00): talk, people, told, heard, time, conversation, talking, found, spoke, talked
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, wine, death, chamber
Topic 221 (0.00): holiday, town, resort, village, beach, restaurants, day, beautiful, beaches, visit
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, spent, pounds, cost
Topic 745 (0.00): hospital, doctor, home, ill, day, told, time, days, doctors, died
Topic 609 (0.00): history, historical, cultural, narrative, form, discourse, meaning, process, terms, culture
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, system, parents
Topic 55 (0.00): economic, economy, government, policy, growth, market, labour, policies, industrial, unemployment
Topic 1146 (0.00): food, cooking, fresh, sauce, meat, fish, dishes, flavour, recipes, salad
Topic 258 (0.00): evil, life, death, sin, god, guilt, truth, fear, people, true
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, figures, total, half, rate
Topic 409 (0.00): cricket, test, match, ball, wickets, runs, west, county, innings, team
Topic 1178 (0.00): recession, cent, rates, inflation, economy, growth, rate, economic, recovery, rise
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, assessment, mathematics
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, people, house
Topic 1401 (0.00): management, evaluation, assessment, performance, process, objectives, review, information, development, effectiveness
Topic 977 (0.00): companies, firms, industry, market, markets, technology, business, industries, investment, competition
Topic 996 (0.00): war, decline, time, led, period, crisis, remained, continued, late, collapse
Topic 423 (0.00): mind, matter, reason, question, truth, suppose, surely, simply, understand, doubt
Topic 789 (0.00): cup, final, win, won, team, league, season, club, victory, home
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, movement, workers, soviet, social
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, centuries, late, period, modern, middle, seventeenth
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, play
Topic 58 (0.00): crowd, people, audience, front, stood, day, applause, stage, standing, crowds
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, holy, heart
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, concerto
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, held, justice
Topic 956 (0.00): army, battle, soldiers, miles, king, enemy, prince, horse, troops, horses
Topic 386 (0.00): company, bid, business, companies, deal, stake, shares, cent, market, chairman
Topic 1109 (0.00): job, time, months, life, people, found, school, career, left, started
Topic 1414 (0.00): life, home, time, people, day, family, friends, enjoy, feel, children
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 1465 (0.00): cut, top, holes, plastic, hole, metal, piece, edge, remove, fit
Topic 158 (0.00): football, club, league, players, game, team, cup, season, manager, fans
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, public, claims, official, newspaper
Topic 1490 (0.00): cells, cell, activity, membrane, receptor, calcium, shown, effect, protein, increased
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminists, feminism, sex, sexual
Topic 941 (0.00): house, door, garden, front, gate, windows, window, wall, road, stone
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 1201 (0.00): act, section, provisions, person, powers, duty, statutory, subject, provision, persons
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, labour, capital, economic, system
Topic 436 (0.00): village, house, church, built, century, manor, houses, building, hall, road
Topic 553 (0.00): mother, daughter, parents, girl, family, father, home, child, told, mum
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, parties, democratic, candidates
Topic 880 (0.00): wife, husband, woman, married, marriage, children, life, daughter, family, love
Topic 1001 (0.00): world, people, human, country, live, life, society, future, war, lives
Topic 808 (0.00): time, smiled, love, looked, told, laughed, happy, meet, kissed, home
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, madam, time, gentleman, woman
Topic 675 (0.00): proposals, proposed, council, consultation, review, document, proposal, paper, draft, committee
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, plants, tanks, filtration
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, student
Topic 756 (0.00): war, world, military, gulf, country, civil, army, wars, soldiers, battle
Topic 762 (0.00): research, science, department, technology, university, centre, programme, institute, development, industry
Topic 805 (0.00): government, party, labour, conservative, policy, political, policies, social, thatcher, conservatives
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 637 (0.00): patients, disease, colitis, normal, bowel, inflammatory, biopsy, chronic, intestinal, serum
Topic 1302 (0.00): chapter, section, chapters, discussed, book, analysis, discussion, study, main, detail
Topic 1129 (0.00): social, society, sociology, people, individual, behaviour, life, individuals, relations, societies
Topic 1200 (0.00): teachers, schools, teaching, teacher, school, curriculum, education, classroom, development, educational
Topic 21 (0.00): funding, grant, funds, money, fund, government, support, grants, financial, council
Topic 45 (0.00): military, army, government, coup, forces, president, officers, attempt, armed, country
Topic 924 (0.00): charges, court, trial, investigation, government, corruption, scandal, alleged, arrested, sentenced
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, council, county, district
Topic 1000 (0.00): soviet, supreme, republics, union, republic, president, independence, deputies, federation, congress
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, change, increases, effect, rates
Topic 1163 (0.00): windows, program, screen, file, files, dos, software, version, package, text
Topic 286 (0.00): flowers, plants, garden, plant, flower, roses, leaves, summer, spring, white
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, recommended, evidence, review
Topic 652 (0.00): magazine, article, issue, readers, read, editor, articles, page, letter, write
Topic 1336 (0.00): community, union, treaty, economic, policy, monetary, single, political, common, countries
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, task, remain, time, view
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, guilty, crown, jury
Topic 664 (0.00): glass, drink, bottle, wine, table, whisky, glasses, drank, poured, brandy
Topic 505 (0.00): friends, friend, life, time, met, found, home, friendship, school, house
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 608 (0.00): issues, debate, issue, questions, discussion, political, public, question, agenda, concern
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, century, square, city
Topic 1186 (0.00): church, catholic, roman, religious, christian, bishops, churches, pope, council, clergy
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, exhibition, paintings
Topic 1115 (0.00): murder, death, killed, kill, dead, killing, life, people, murdered, shot
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, receiver, time, office
Topic 322 (0.00): race, horse, won, jockey, racing, winner, trainer, cup, run, win
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, centuries, rule, power, history
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 186 (0.00): tax, income, taxes, taxation, rate, revenue, government, budget, cent, vat
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, election
Topic 1478 (0.00): theatre, play, stage, production, performance, actor, drama, actors, plays, audience
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, university
Topic 1463 (0.00): army, officer, military, regiment, soldiers, war, officers, soldier, training, sergeant
Topic 920 (0.00): policy, policies, government, political, social, public, economic, governments, implementation, issues
Topic 1199 (0.00): law, legal, laws, common, courts, act, legislation, criminal, rules, statute
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, family, childhood
Topic 960 (0.00): boat, deck, water, boats, ship, crew, sea, yacht, sailing, cabin
Topic 96 (0.00): people, person, life, counselling, counsellor, social, feel, feelings, loss, time
Topic 612 (0.00): women, children, woman, wives, married, home, family, husbands, mothers, domestic
Topic 930 (0.00): president, bush, house, congress, administration, senate, campaign, republican, white, presidential
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, increase, capital
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, corpus
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, learner
Topic 61 (0.00): differences, structure, features, similar, pattern, common, patterns, structures, form, variations
Topic 1266 (0.00): money, raised, charity, raise, fund, people, appeal, local, support, funds
Topic 802 (0.00): press, daily, newspaper, paper, news, newspapers, times, papers, editor, sun
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, eating, vegetables
Topic 699 (0.00): research, study, social, studies, data, methods, project, researchers, researcher, observation
Topic 823 (0.00): birds, bird, species, wings, nest, feathers, fly, owl, breeding, owls
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, import
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, migration, cent, city
Topic 1398 (0.00): hotel, beach, bar, pool, bedrooms, breakfast, night, single, private, dinner
Topic 722 (0.00): fear, feelings, anger, feel, life, people, emotional, emotions, feeling, love
Topic 1195 (0.00): killed, government, police, security, people, army, attack, claimed, attacks, forces
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, seamen, vessels
Topic 374 (0.00): army, war, attack, troops, forces, battle, enemy, front, allied, armies
Topic 483 (0.00): school, children, pupils, teacher, teachers, schools, parents, education, primary, pupil
Topic 1281 (0.00): information, form, details, date, application, office, required, certificate, copy, address
Topic 327 (0.00): sea, beach, coast, sand, water, bay, island, shore, tide, boat
Topic 881 (0.00): life, experience, spiritual, human, love, god, world, mind, sense, nature
Topic 70 (0.00): party, labour, national, conference, communist, policy, movement, left, government, parties
Topic 959 (0.00): water, clean, clothes, washing, wash, kitchen, hot, bed, dirty, bathroom
Topic 215 (0.00): letter, letters, wrote, write, dear, written, received, reply, hope, send
Topic 1430 (0.00): rights, human, amnesty, prisoners, government, international, political, prison, death, released
Topic 200 (0.00): police, night, home, attack, officers, house, yesterday, car, street, arrested
Topic 83 (0.00): profits, shares, market, share, cent, yesterday, dividend, trading, rose, sales
Topic 769 (0.00): minister, cabinet, prime, government, ministers, secretary, office, lord, sir, thatcher
Topic 967 (0.00): staff, department, management, manager, senior, training, job, personnel, service, responsibility
Topic 243 (0.00): benefit, income, benefits, social, security, support, allowance, people, supplementary, system
Topic 377 (0.00): committee, council, committees, executive, chairman, secretary, officers, body, representatives, policy
Topic 601 (0.00): view, opinion, views, attitude, expressed, public, opinions, attitudes, people, majority
Topic 877 (0.00): beauty, beautiful, world, mind, life, day, love, eyes, joy, heart
Topic 1157 (0.00): countries, world, international, development, global, developing, economic, aid, nations, country
Topic 715 (0.00): people, person, lot, live, lives, feel, life, world, understand, country
Topic 277 (0.00): add, minutes, oil, cook, pan, pepper, chopped, serve, salt, heat
Topic 1197 (0.00): government, democracy, constitution, parliament, constitutional, political, power, people, democratic, system
Topic 517 (0.00): data, values, analysis, distribution, calculated, table, test, results, significant, standard
Topic 893 (0.00): golf, round, green, hole, play, shot, tour, won, tournament, par
Topic 109 (0.00): police, body, found, murder, inspector, death, dead, detective, missing, time
Topic 74 (0.00): failure, lack, poor, inadequate, failed, result, failures, difficult, due, fail
Topic 1059 (0.00): sites, site, evidence, roman, archaeological, buildings, excavation, settlement, found, remains
Topic 50 (0.00): engine, power, rear, rover, front, range, fitted, speed, steering, car
Topic 728 (0.00): house, home, live, flat, living, cottage, people, lived, moved, family
Topic 795 (0.00): baby, mother, child, birth, babies, pregnant, born, mothers, pregnancy, women
Topic 859 (0.00): tears, life, pain, death, cry, grief, time, feeling, suffering, crying
Topic 1166 (0.00): knowledge, understanding, experience, people, skills, understand, ability, technical, skill, learn
Topic 144 (0.00): poor, poverty, social, people, conditions, living, families, unemployment, society, children
Topic 1264 (0.00): paper, read, written, writing, letter, write, pen, letters, notes, sheet
Topic 1423 (0.00): director, chairman, executive, company, chief, appointed, manager, managing, board, business
Topic 1330 (0.00): table, figures, average, total, figure, proportion, statistics, compared, percentage, data
Topic 84 (0.00): range, design, designed, wide, designs, choice, prices, products, price, sizes
Topic 130 (0.00): management, managers, manager, people, company, business, profit, employees, job, senior
Topic 134 (0.00): union, unions, trade, industrial, workers, labour, bargaining, employers, relations, collective
Topic 79 (0.00): price, prices, market, buy, cost, pay, sell, bought, costs, offer
Topic 382 (0.00): company, companies, directors, business, shareholders, director, limited, corporate, management, liability
Topic 156 (0.00): civil, government, department, service, servants, departments, public, ministers, policy, office
Topic 1219 (0.00): health, care, services, patients, service, authorities, practitioners, practice, practices, hospital
Topic 952 (0.00): education, courses, colleges, college, institutions, universities, students, polytechnics, university, polytechnic
Topic 1354 (0.00): patients, treatment, study, trial, dose, placebo, months, trials, weeks, treated
Topic 240 (0.00): desk, office, door, chair, sat, looked, papers, floor, morning, time
Topic 720 (0.00): housing, council, local, houses, accommodation, tenants, homes, homeless, authorities, private
