Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, hand, mind
Topic 976 (0.01): world, sense, life, style, times, real, character, mind, makes, simply
Topic 782 (0.01): bit, people, time, lot, day, round, night, stuff, sort, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, round, looked, fell, ran
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, sat, white, hands
Topic 1158 (0.01): looked, head, told, nodded, eyes, voice, smiled, hand, shook, sat
Topic 610 (0.01): mother, time, home, told, house, father, looked, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, sat, stood
Topic 141 (0.00): eyes, black, body, head, blood, dead, air, flesh, light, mouth
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, air, light, grass
Topic 162 (0.00): eyes, voice, anger, time, hard, told, words, head, looked, suddenly
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, mind, father, heart
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, hands, head, fingers, hair
Topic 736 (0.00): theory, approach, analysis, theories, theoretical, view, terms, nature, concept, ideas
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, argue, argued
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, day
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, guitar, single
Topic 1361 (0.00): john, died, born, son, wife, daughter, sir, family, married, father
Topic 62 (0.00): political, social, society, economic, movement, liberal, power, politics, radical, century
Topic 38 (0.00): film, star, movie, series, john, actor, life, world, director, stars
Topic 1159 (0.00): door, stairs, house, window, kitchen, front, heard, floor, inside, left
Topic 578 (0.00): father, mother, family, house, children, died, home, lived, life, time
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, awake
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, trousers, dressed
Topic 8 (0.00): time, told, day, returned, left, decided, found, days, return, arrived
Topic 1380 (0.00): street, streets, city, people, town, road, houses, square, past, day
Topic 1027 (0.00): war, united, policy, military, foreign, soviet, world, western, east, government
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, girl, blue
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, added, john
Topic 188 (0.00): looked, house, day, people, told, night, time, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, political, reign, kingdom, lands, duke
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, breakfast, plate, tea, eating
Topic 1257 (0.00): meeting, conference, talks, agreement, agreed, countries, president, ministers, summit, minister
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, evening, rang
Topic 674 (0.00): book, published, life, wrote, writing, books, written, literary, read, writer
Topic 1487 (0.00): government, billion, country, money, people, economy, past, world, president, ago
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, deficit, announced
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, door
Topic 953 (0.00): public, criticism, political, attack, support, critics, views, view, press, issue
Topic 112 (0.00): support, accept, position, prepared, accepted, refused, question, decision, agreed, offer
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, development
Topic 969 (0.00): day, morning, night, time, evening, home, days, hours, afternoon, lunch
Topic 776 (0.00): success, ability, experience, people, world, time, successful, career, future, confidence
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, shot, goals, home, time
