Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, told, hand, head
Topic 976 (0.01): world, sense, life, style, times, past, real, makes, character, true
Topic 782 (0.01): bit, people, time, lot, day, round, night, stuff, bad, sort
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, looked, fell, round, arms
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, door, white, sat, hands
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, hand, shook, sat
Topic 610 (0.01): mother, time, home, house, told, father, looked, day, girl, love
Topic 220 (0.00): eyes, voice, hand, looked, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, blood, head, dead, air, flesh, mouth, light
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, air, light, grass
Topic 162 (0.00): eyes, voice, anger, time, told, head, hard, suddenly, words, looked
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, mind, heart, father
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, hands, head, fingers, hair
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, argued
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, concept, ideas
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, day, hard
Topic 655 (0.00): season, cup, game, manager, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, father
Topic 62 (0.00): political, social, society, economic, movement, power, liberal, politics, values, radical
Topic 38 (0.00): film, star, movie, series, john, actor, director, stars, role, world
Topic 1159 (0.00): door, stairs, house, kitchen, window, front, floor, heard, inside, left
Topic 578 (0.00): father, mother, family, house, children, died, home, life, lived, time
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, day, awake
Topic 89 (0.00): dress, black, wear, white, clothes, wearing, wore, shirt, trousers, dressed
Topic 8 (0.00): time, told, day, left, found, returned, decided, days, return, arrived
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, day, past
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, girl, blue, white
Topic 1027 (0.00): war, united, policy, military, foreign, soviet, world, western, east, government
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, minister
Topic 188 (0.00): looked, house, day, people, night, told, time, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, political, earl, reign, kingdom, died, lands
Topic 847 (0.00): told, time, morning, home, day, night, phone, left, evening, rang
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, breakfast, plate, tea, eating
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, ministers, foreign, summit
Topic 674 (0.00): book, published, life, wrote, writing, books, written, literary, read, author
Topic 1487 (0.00): government, billion, country, money, world, past, economy, people, ago, president
Topic 151 (0.00): cent, million, government, economic, budget, foreign, economy, announced, debt, deficit
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, door
Topic 112 (0.00): support, accept, position, question, prepared, refused, accepted, decision, offer, view
Topic 953 (0.00): public, criticism, political, attack, critics, support, views, view, issue, opinion
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, development
Topic 969 (0.00): day, morning, night, time, evening, home, hours, days, afternoon, late
Topic 776 (0.00): success, ability, experience, world, time, people, successful, hard, career, life
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, shot, goals, home, defence
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, kitchen, white, bedroom
Topic 266 (0.00): time, start, people, easy, difficult, job, decide, remember, mind, worth
Topic 494 (0.00): government, national, president, political, opposition, assembly, party, elections, parties, democratic
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, lake, river
Topic 383 (0.00): people, feel, life, wrong, bad, told, stupid, hate, time, world
Topic 1402 (0.00): head, takes, eyes, hand, feel, hands, makes, sits, tells, sit
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 82 (0.00): forces, government, troops, peace, fighting, army, military, ceasefire, reported, war
Topic 721 (0.00): path, trees, ground, grass, track, road, looked, left, yards, round
Topic 343 (0.00): business, market, company, sales, growth, future, major, markets, development, increased
Topic 1343 (0.00): development, major, period, growth, developed, developments, led, significant, process, expansion
