Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, mind, head
Topic 976 (0.01): world, life, sense, style, times, real, character, makes, mind, past
Topic 782 (0.01): bit, people, time, lot, day, round, sort, stuff, night, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, round, looked, fell, ran
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, door, sat, hands, round
Topic 1158 (0.01): looked, head, told, nodded, eyes, smiled, shook, hand, voice, sat
Topic 610 (0.01): mother, home, time, house, father, looked, told, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, blood, head, air, dead, flesh, skin, mouth
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, light, air, grass
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, mind, heart, father
Topic 162 (0.00): eyes, voice, anger, looked, head, hard, told, words, time, suddenly
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hands, hand, head, fingers, hair
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, argued
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, terms, view, nature, social, model
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, day, hard
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, song, single, guitar
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, father
Topic 62 (0.00): political, social, society, economic, movement, power, politics, century, liberal, radical
Topic 38 (0.00): film, star, movie, series, john, actor, director, role, world, played
Topic 1159 (0.00): door, stairs, house, front, kitchen, window, floor, heard, inside, looked
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, awake, woke
Topic 578 (0.00): father, mother, family, children, house, died, home, life, lived, born
Topic 89 (0.00): dress, black, wear, white, wearing, clothes, wore, shirt, dressed, trousers
Topic 8 (0.00): time, told, day, left, decided, returned, days, found, arrived, return
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, shops, past
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, girl, blue
Topic 1027 (0.00): war, united, policy, military, soviet, world, foreign, western, government, east
Topic 188 (0.00): looked, house, day, night, told, time, people, cried, heard, home
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, john
Topic 1016 (0.00): king, son, royal, death, earl, political, reign, kingdom, court, lands
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, foreign, summit
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, plate, breakfast, eating, tea
Topic 674 (0.00): book, published, wrote, life, writing, books, written, literary, read, writer
Topic 847 (0.00): told, time, morning, home, day, night, phone, left, rang, evening
Topic 1487 (0.00): government, billion, country, money, past, people, economy, world, politicians, economic
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, announced, deficit
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, traffic
Topic 953 (0.00): public, criticism, political, attack, critics, views, support, view, press, debate
Topic 112 (0.00): accept, support, position, prepared, question, decision, accepted, refused, agreed, pressure
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, development
Topic 776 (0.00): success, experience, ability, world, people, successful, time, future, career, hard
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, late
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, glass
Topic 266 (0.00): time, start, people, easy, difficult, job, remember, decide, worth, mind
Topic 494 (0.00): government, national, president, political, assembly, opposition, party, elections, parties, democratic
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, river, lake
Topic 383 (0.00): people, feel, life, bad, wrong, told, stupid, understand, time, talk
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, significant
Topic 82 (0.00): forces, government, troops, peace, fighting, army, military, ceasefire, reported, border
Topic 1402 (0.00): head, hand, takes, eyes, feel, hands, sit, makes, sits, tells
Topic 721 (0.00): path, trees, ground, grass, track, road, yards, left, feet, edge
Topic 225 (0.00): labour, party, election, liberal, conservative, vote, campaign, conservatives, government, democrats
Topic 343 (0.00): business, market, company, sales, growth, future, major, development, markets, increased
Topic 1343 (0.00): development, period, major, growth, developments, developed, led, significant, expansion, process
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, moon, torch, sky
Topic 583 (0.00): minister, party, government, prime, president, opposition, leader, resignation, cabinet, election
Topic 229 (0.00): method, cost, advantages, difficult, methods, effective, required, advantage, provide, expensive
Topic 221 (0.00): holiday, town, village, resort, beach, restaurants, lake, day, beautiful, local
Topic 778 (0.00): book, published, books, guide, author, written, volume, edition, history, text
Topic 609 (0.00): history, historical, cultural, narrative, discourse, process, form, meaning, forms, culture
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, wine, chamber, king
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, spent, pounds, cost
Topic 485 (0.00): talk, told, people, time, heard, talking, conversation, found, spoke, talked
Topic 745 (0.00): hospital, doctor, home, ill, told, day, time, days, doctors, life
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 258 (0.00): evil, life, death, sin, god, human, fear, moral, people, guilt
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, figures, half, total, rate
Topic 1146 (0.00): food, cooking, sauce, meat, fresh, fish, dishes, flavour, dish, wine
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, policies, industrial, unemployment
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, county, innings, team
