Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, head, mind
Topic 976 (0.01): world, sense, life, style, times, real, makes, character, age, mind
Topic 782 (0.01): bit, people, time, lot, day, night, round, stuff, bloody, sort
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, round, looked, fell, ran
Topic 1326 (0.01): looked, hand, eyes, hair, head, stood, door, sat, round, white
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, shook, hand, time
Topic 610 (0.01): mother, home, time, house, told, father, looked, day, girl, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, body, black, blood, head, dead, flesh, air, skin, light
Topic 1348 (0.00): sun, sky, trees, green, white, blue, air, day, light, water
Topic 1412 (0.00): love, life, time, mother, loved, told, woman, mind, heart, found
Topic 162 (0.00): eyes, voice, anger, told, hard, head, time, looked, words, stared
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hands, hand, head, fingers, hair
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, argued
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, view, terms, nature, ideas, concept
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, life
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, guitar, single
Topic 1361 (0.00): john, died, born, son, wife, daughter, sir, family, royal, society
Topic 62 (0.00): political, social, society, economic, movement, power, liberal, radical, politics, century
Topic 38 (0.00): film, star, movie, series, actor, stars, john, director, story, world
Topic 578 (0.00): father, family, mother, house, children, home, died, life, lived, son
Topic 1159 (0.00): door, stairs, house, kitchen, front, window, heard, floor, stood, inside
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, day, awake
Topic 89 (0.00): dress, black, wear, white, clothes, wearing, wore, shirt, trousers, suit
Topic 8 (0.00): time, day, told, left, found, returned, days, return, decided, leave
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, girl, blue
Topic 1380 (0.00): street, streets, city, people, town, road, houses, square, shops, past
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, world, western, government, east
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, added, plans
Topic 188 (0.00): house, looked, day, night, told, people, time, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, kingdom, political, reign, earl, died, war
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, ministers, summit, minister
Topic 674 (0.00): book, life, published, wrote, writing, books, written, literary, read, writer
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, breakfast, plate, tea, eating
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, evening, rang
Topic 1487 (0.00): government, billion, country, money, people, past, world, economy, ago, politicians
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, deficit, announced
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, door
Topic 953 (0.00): public, criticism, attack, political, critics, support, views, debate, press, view
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, development
Topic 776 (0.00): success, ability, experience, world, time, people, successful, career, hard, future
Topic 112 (0.00): accept, support, position, prepared, decision, question, refused, accepted, pressure, agreed
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, spent
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 1035 (0.00): furniture, table, house, walls, floor, chairs, wall, white, kitchen, bedroom
Topic 494 (0.00): government, national, president, political, assembly, opposition, elections, party, parties, democratic
Topic 266 (0.00): time, start, people, easy, difficult, remember, decide, worth, lot, job
Topic 190 (0.00): study, studies, evidence, found, results, data, findings, research, suggest, significant
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, river, lake
Topic 383 (0.00): people, life, feel, wrong, time, bad, told, world, stupid, hate
Topic 1402 (0.00): head, takes, eyes, hand, feel, hands, sits, tells, makes, sit
Topic 721 (0.00): path, trees, ground, grass, track, road, edge, yards, close, left
Topic 82 (0.00): forces, government, troops, fighting, peace, military, army, ceasefire, border, reported
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, process, expansion, significant
Topic 343 (0.00): business, market, company, sales, growth, future, markets, major, development, increased
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, government, democrats
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, shadow, torch, moon
Topic 583 (0.00): minister, party, government, prime, president, opposition, leader, election, resignation, cabinet
Topic 778 (0.00): book, published, books, guide, author, edition, volume, written, history, information
Topic 485 (0.00): talk, told, people, heard, time, conversation, talking, talked, spoke, found
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, wine, death, chamber
Topic 229 (0.00): method, cost, advantages, methods, provide, required, advantage, means, difficult, expensive
Topic 609 (0.00): history, historical, cultural, narrative, discourse, form, process, forms, meaning, culture
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, worth, pounds, spent
Topic 221 (0.00): holiday, town, village, resort, beach, restaurants, beautiful, day, beaches, lake
Topic 745 (0.00): hospital, doctor, ill, home, told, day, time, doctors, days, life
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, unemployment
Topic 1146 (0.00): food, cooking, fresh, sauce, meat, fish, dishes, flavour, salad, dish
Topic 1178 (0.00): inflation, recession, cent, rates, economy, growth, rate, economic, recovery, rise
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, total, figures, rate, half
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, county, innings, team
Topic 423 (0.00): matter, mind, reason, question, understand, surely, suppose, simply, truth, doubt
Topic 258 (0.00): evil, life, sin, death, god, truth, fear, guilt, moral, human
Topic 977 (0.00): companies, firms, industry, market, investment, technology, markets, industries, business, company
Topic 1401 (0.00): management, evaluation, assessment, performance, process, objectives, review, development, information, effectiveness
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, house, day
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, assessment, mathematics
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, movement, workers, soviet, social
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, division
Topic 996 (0.00): decline, war, crisis, period, led, remained, time, continued, collapse, success
Topic 1109 (0.00): job, time, life, school, people, found, career, months, left, decided
Topic 734 (0.00): police, people, violence, protest, demonstrators, city, demonstrations, march, demonstration, riots
Topic 58 (0.00): crowd, people, audience, day, front, stage, applause, crowds, standing, hall
