Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, head, hand
Topic 976 (0.01): world, sense, life, style, real, times, character, makes, mind, past
Topic 782 (0.01): bit, people, time, lot, day, round, sort, bloody, stuff, night
Topic 730 (0.01): head, hand, feet, eyes, hands, round, arm, looked, fell, left
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, white, sat, hands
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, shook, hand, sat
Topic 610 (0.01): mother, time, house, home, told, father, looked, day, girl, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, blood, body, head, dead, flesh, mouth, light, air
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, air, water, grass
Topic 1412 (0.00): love, life, time, mother, loved, woman, told, heart, mind, father
Topic 162 (0.00): eyes, voice, anger, told, hard, head, looked, time, words, mouth
Topic 1019 (0.00): body, eyes, mouth, lips, arms, hand, hands, head, fingers, hair
Topic 700 (0.00): argument, view, evidence, question, arguments, reason, claim, true, argue, argued
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, view, terms, nature, ideas, concept
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, day
Topic 655 (0.00): season, cup, game, manager, team, players, club, league, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, song, guitar, single
Topic 1361 (0.00): john, born, son, died, wife, daughter, sir, family, society, sons
Topic 62 (0.00): political, social, society, economic, movement, liberal, radical, power, century, politics
Topic 38 (0.00): film, star, movie, series, john, actor, director, stars, life, story
Topic 1159 (0.00): door, stairs, house, window, front, kitchen, heard, floor, inside, stood
Topic 578 (0.00): father, mother, family, house, home, died, children, life, lived, son
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, awake, woke
Topic 89 (0.00): dress, black, wear, white, clothes, wearing, wore, shirt, trousers, dressed
Topic 8 (0.00): time, told, day, left, days, found, returned, decided, return, arrived
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, girl, blue
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, shops, past
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, world, western, east, government
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, added, minister
Topic 188 (0.00): looked, house, day, told, people, night, time, cried, home, heard
Topic 1016 (0.00): king, son, royal, death, reign, kingdom, political, earl, father, lands
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, breakfast, plate, eating, tea
Topic 674 (0.00): book, published, life, wrote, writing, books, written, literary, read, writers
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, evening, rang
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, ministers, summit, held
Topic 1487 (0.00): government, billion, country, money, people, world, past, economy, ago, economic
Topic 151 (0.00): cent, million, government, budget, economic, foreign, debt, deficit, economy, announced
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, traffic
Topic 953 (0.00): public, criticism, political, attack, critics, support, view, views, debate, press
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 112 (0.00): accept, support, position, refused, decision, prepared, question, accepted, agreed, pressure
Topic 776 (0.00): success, world, experience, time, ability, people, career, successful, future, confidence
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 266 (0.00): time, start, people, easy, difficult, decide, remember, lot, worth, job
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, late
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, glass
Topic 494 (0.00): government, national, president, political, assembly, opposition, party, elections, parties, democratic
Topic 272 (0.00): road, loch, valley, mountains, hills, miles, mountain, north, river, south
Topic 190 (0.00): study, studies, evidence, found, results, data, findings, research, suggest, significant
Topic 383 (0.00): people, life, feel, wrong, bad, time, told, world, stupid, hate
Topic 1402 (0.00): head, takes, hand, eyes, feel, hands, sits, sit, tells, makes
Topic 721 (0.00): path, trees, ground, grass, track, road, yards, left, ahead, edge
Topic 82 (0.00): forces, government, troops, peace, fighting, army, military, ceasefire, border, war
Topic 343 (0.00): business, market, company, sales, growth, future, markets, major, development, increased
Topic 1343 (0.00): development, major, period, growth, developed, developments, led, significant, change, expansion
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, moon, sky, torch
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, government, conservatives, democrats
Topic 583 (0.00): minister, party, government, prime, president, opposition, leader, resignation, election, cabinet
Topic 485 (0.00): talk, told, people, heard, conversation, time, talking, spoke, found, talked
Topic 778 (0.00): book, published, books, guide, author, history, volume, information, edition, written
Topic 229 (0.00): method, cost, advantages, required, advantage, means, difficult, methods, provide, effective
Topic 609 (0.00): history, historical, cultural, narrative, process, discourse, form, meaning, forms, culture
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, stared, king, wine
Topic 595 (0.00): money, pay, paid, buy, people, business, spent, cash, pounds, worth
Topic 221 (0.00): holiday, town, village, beach, resort, day, restaurants, beautiful, beaches, visit
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 745 (0.00): hospital, doctor, home, ill, told, day, time, days, doctors, life
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, political
Topic 1146 (0.00): food, cooking, sauce, fresh, meat, fish, dishes, flavour, salad, dish
Topic 409 (0.00): cricket, test, match, ball, wickets, runs, west, county, innings, team
Topic 1178 (0.00): inflation, recession, cent, rates, economy, growth, rate, economic, recovery, rise
Topic 763 (0.00): cent, average, compared, proportion, survey, increase, figures, total, half, rate
Topic 258 (0.00): life, evil, sin, death, god, fear, moral, guilt, truth, human
Topic 423 (0.00): matter, mind, reason, question, suppose, understand, surely, doubt, simply, truth
Topic 977 (0.00): companies, firms, industry, market, technology, business, industries, markets, investment, competition
Topic 1401 (0.00): management, evaluation, assessment, performance, process, objectives, review, information, development, effectiveness
Topic 789 (0.00): cup, final, win, won, team, league, season, club, victory, championship
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, house, table, invited
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, assessment, mathematics
Topic 996 (0.00): war, decline, crisis, led, remained, period, continued, time, world, success
Topic 651 (0.00): party, political, revolution, communist, revolutionary, socialist, movement, soviet, workers, social
Topic 734 (0.00): police, people, violence, protest, demonstrators, march, demonstrations, city, demonstration, riots
Topic 58 (0.00): crowd, people, audience, front, day, stage, applause, stood, crowds, standing
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, exhibitions
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, middle, modern, seventeenth
Topic 1109 (0.00): job, time, people, life, career, school, found, months, left, decided
Topic 815 (0.00): rugby, players, world, game, cup, tour, team, south, international, play
Topic 550 (0.00): god, lord, prayer, love, life, pray, christian, people, spirit, faith
Topic 386 (0.00): company, bid, business, companies, deal, cent, stake, market, shares, chairman
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, held, justice
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, recordings, composer, sound
Topic 956 (0.00): army, battle, soldiers, miles, enemy, troops, horse, horses, town, king
Topic 1414 (0.00): life, time, home, people, day, friends, family, enjoy, children, feel
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 269 (0.00): told, press, claimed, allegations, statement, evidence, public, official, report, story
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, sexual
Topic 158 (0.00): football, club, league, players, game, team, cup, fans, match, manager
Topic 1465 (0.00): cut, holes, top, plastic, hole, piece, metal, edge, fit, position
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, calcium, shown, protein, effect, increased
Topic 941 (0.00): house, door, garden, front, gate, windows, wall, window, stone, road
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, labour, economic, relations
Topic 1141 (0.00): system, software, network, systems, applications, data, users, support, database, management
Topic 1001 (0.00): world, people, country, human, life, society, live, lives, future, power
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, madam, woman, told, house
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, building, road
Topic 602 (0.00): party, cent, elections, seats, election, won, vote, parties, democratic, candidates
Topic 1201 (0.00): act, section, person, provisions, duty, powers, statutory, provision, subject, acts
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, women, love
Topic 1307 (0.00): fish, tank, water, filter, aquarium, species, fry, plants, tanks, filtration
Topic 553 (0.00): mother, daughter, parents, girl, family, father, home, child, told, mum
Topic 1129 (0.00): social, society, people, sociology, life, individual, behaviour, individuals, human, societies
Topic 675 (0.00): proposals, proposed, council, consultation, paper, document, proposal, review, draft, report
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, student
Topic 1291 (0.00): painting, art, artist, paintings, painter, drawing, artists, painted, paint, picture
Topic 762 (0.00): research, science, technology, university, department, centre, programme, development, institute, industry
Topic 756 (0.00): war, world, military, gulf, country, civil, wars, army, soldiers, battle
Topic 1302 (0.00): chapter, section, discussed, book, chapters, discussion, analysis, detail, main, aspects
Topic 808 (0.00): time, smiled, love, looked, laughed, told, happy, meet, kissed, mind
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, serum, chronic, found
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, social, thatcher, conservatives
Topic 1108 (0.00): solution, difficult, difficulties, situation, difficulty, future, task, time, alternative, question
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, alleged, scandal, arrested, prison
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, spring, summer, white
Topic 1163 (0.00): windows, program, screen, files, dos, file, version, software, package, user
Topic 21 (0.00): funding, funds, grant, money, fund, support, government, grants, financial, million
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, council, county, district
Topic 45 (0.00): military, army, coup, government, forces, president, officers, armed, country, panama
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, countries, political, common
Topic 1200 (0.00): teachers, schools, teaching, teacher, school, curriculum, education, classroom, development, educational
Topic 122 (0.00): increase, increased, rate, reduction, increasing, reduced, increases, change, rates, effect
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, recommended, review
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, congress
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, product, marketing
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, letters
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, brandy, poured
Topic 505 (0.00): friends, life, friend, time, met, found, home, school, friendship, girls
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, fine, century, square, city
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, found, crown, guilty, murder
Topic 608 (0.00): issues, debate, issue, questions, discussion, political, public, question, concern, policy
Topic 1120 (0.00): phone, telephone, call, voice, calls, rang, ring, time, receiver, told
Topic 322 (0.00): race, horse, won, jockey, racing, winner, trainer, cup, run, win
Topic 1115 (0.00): murder, death, killed, kill, dead, killing, people, life, shot, murdered
Topic 741 (0.00): empire, roman, century, emperor, imperial, christian, time, centuries, rule, power
Topic 631 (0.00): museum, art, collection, gallery, museums, national, collections, paintings, arts, exhibition
Topic 1174 (0.00): party, president, elected, minister, national, government, political, council, elections, assembly
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, election
Topic 1239 (0.00): care, social, services, community, health, service, people, workers, assessment, residential
Topic 1186 (0.00): church, catholic, roman, religious, bishops, christian, pope, churches, clergy, archbishop
Topic 186 (0.00): tax, income, taxes, taxation, rate, revenue, government, budget, vat, pay
Topic 1478 (0.00): theatre, play, stage, production, performance, actor, actors, drama, plays, audience
Topic 1199 (0.00): law, legal, laws, courts, common, act, legislation, criminal, rules, principles
Topic 1463 (0.00): army, officer, regiment, military, soldiers, war, officers, training, soldier, sergeant
Topic 592 (0.00): students, courses, degree, studies, study, faculty, honours, subjects, degrees, department
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, family
Topic 960 (0.00): boat, deck, water, boats, ship, yacht, crew, sea, sailing, sail
Topic 930 (0.00): president, bush, house, congress, campaign, administration, senate, republican, white, presidential
Topic 920 (0.00): policy, policies, government, political, public, social, economic, governments, implementation, issues
Topic 61 (0.00): differences, features, structure, pattern, similar, common, patterns, form, structures, variations
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, learner
Topic 612 (0.00): women, children, woman, married, home, wives, family, mothers, husbands, employment
Topic 1349 (0.00): trade, exports, imports, export, countries, world, market, production, prices, products
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, cent, people, migration, south
Topic 23 (0.00): expenditure, spending, budget, government, public, cuts, money, billion, financial, increase
Topic 1266 (0.00): money, raised, charity, raise, fund, people, appeal, local, funds, event
Topic 96 (0.00): people, person, life, counselling, counsellor, feelings, social, loss, feel, experience
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, corpus
Topic 699 (0.00): research, study, social, studies, data, methods, project, researcher, researchers, observation
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, eating, vegetables
Topic 802 (0.00): newspaper, press, daily, paper, newspapers, news, papers, times, editor, national
Topic 374 (0.00): army, war, attack, troops, forces, enemy, battle, front, allied, armies
Topic 483 (0.00): school, children, pupils, teachers, schools, teacher, parents, education, primary, pupil
Topic 722 (0.00): fear, feelings, anger, feel, people, life, emotions, emotional, feeling, love
Topic 1281 (0.00): form, information, details, date, application, office, required, certificate, address, copy
Topic 1398 (0.00): hotel, pool, bar, beach, bedrooms, breakfast, night, single, dinner, restaurant
Topic 395 (0.00): ship, ships, sea, navy, fleet, captain, naval, crew, vessel, coast
