Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, hand, told, head
Topic 976 (0.01): world, life, sense, style, real, times, makes, mind, character, humour
Topic 782 (0.01): bit, people, time, lot, day, round, stuff, bloody, bad, night
Topic 730 (0.01): head, hand, feet, eyes, hands, round, arm, looked, fell, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, door, sat, white, hands
Topic 1158 (0.01): looked, head, nodded, eyes, told, smiled, voice, shook, hand, sat
Topic 610 (0.01): mother, home, time, told, house, father, looked, day, girl, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, body, black, head, blood, dead, flesh, air, mouth, light
Topic 1348 (0.00): sun, sky, trees, green, white, blue, air, water, day, light
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, mind, heart, father
Topic 162 (0.00): eyes, voice, anger, time, head, hard, looked, words, told, suddenly
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hands, hand, head, fingers, hair
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, claim, true, argue, argued
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, view, terms, nature, model, ideas
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, day
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, radical, liberal, power, politics, century
Topic 38 (0.00): film, star, movie, series, actor, life, john, director, stars, world
Topic 702 (0.00): bed, night, sleep, morning, asleep, door, lay, time, awake, head
Topic 578 (0.00): father, mother, family, children, house, died, lived, home, life, son
Topic 1159 (0.00): door, stairs, house, kitchen, front, window, heard, floor, inside, looked
Topic 89 (0.00): dress, black, wear, white, wearing, clothes, wore, shirt, suit, hair
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, day, shops
Topic 8 (0.00): time, told, day, returned, left, days, decided, arrived, found, return
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, girl, blue
Topic 1027 (0.00): war, united, policy, military, world, soviet, foreign, western, government, east
Topic 24 (0.00): yesterday, government, week, spokesman, night, told, secretary, decision, added, meeting
Topic 188 (0.00): looked, house, day, night, told, people, time, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, reign, lands, political, died
Topic 674 (0.00): book, wrote, life, published, writing, books, written, literary, read, writers
Topic 359 (0.00): food, eat, table, bread, meal, kitchen, breakfast, plate, eating, tea
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, evening, rang
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, summit, minister
Topic 1487 (0.00): government, billion, country, money, people, economy, past, world, ago, president
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, deficit, announced
Topic 150 (0.00): car, road, drove, drive, driver, driving, seat, cars, front, traffic
Topic 953 (0.00): public, criticism, attack, political, critics, support, debate, views, press, view
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, applications
Topic 776 (0.00): success, experience, ability, world, successful, career, people, time, confidence, life
Topic 969 (0.00): day, night, morning, time, evening, home, hours, afternoon, days, late
Topic 112 (0.00): support, accept, position, refused, question, decision, prepared, agreed, accepted, time
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 266 (0.00): time, start, people, easy, difficult, remember, job, lot, worth, sort
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, bedroom
Topic 494 (0.00): government, national, president, political, assembly, opposition, party, elections, parties, democratic
Topic 190 (0.00): study, studies, evidence, found, results, data, findings, research, differences, suggest
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, south, lake
Topic 343 (0.00): business, market, company, sales, growth, future, major, development, markets, increased
Topic 383 (0.00): people, life, feel, bad, wrong, told, stupid, hate, world, understand
Topic 82 (0.00): forces, government, troops, peace, fighting, military, army, ceasefire, border, force
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, process, change, increasingly
Topic 1402 (0.00): head, hand, takes, eyes, feel, hands, tells, sits, makes, sit
Topic 721 (0.00): path, trees, ground, grass, track, yards, road, stopped, close, ahead
Topic 225 (0.00): labour, party, election, liberal, conservative, vote, campaign, conservatives, government, democrats
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, election, resignation, cabinet
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, sky, moon, shadow
Topic 778 (0.00): book, published, books, guide, author, history, volume, written, edition, information
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, wine, chamber, eyes
Topic 485 (0.00): talk, told, people, heard, time, conversation, talking, spoke, talked, found
Topic 609 (0.00): history, historical, cultural, narrative, discourse, process, form, culture, meaning, text
Topic 221 (0.00): holiday, town, village, resort, beach, restaurants, lake, day, visit, beaches
Topic 229 (0.00): method, advantages, cost, methods, difficult, advantage, required, effective, expensive, means
Topic 595 (0.00): money, pay, paid, buy, people, business, spent, pounds, cash, worth
Topic 745 (0.00): hospital, doctor, home, ill, day, time, told, days, doctors, life
Topic 55 (0.00): economic, economy, government, growth, policy, market, labour, industrial, policies, political
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 258 (0.00): evil, life, death, god, sin, people, true, truth, guilt, human
Topic 1178 (0.00): inflation, cent, recession, rates, economy, rate, growth, economic, recovery, rise
Topic 1146 (0.00): food, cooking, fresh, sauce, meat, fish, dishes, flavour, dish, recipes
Topic 409 (0.00): cricket, test, match, ball, wickets, runs, west, county, innings, team
