Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, told, hand, head
Topic 976 (0.01): world, life, sense, style, real, times, modern, mind, character, makes
Topic 782 (0.01): bit, people, time, lot, day, round, stuff, sort, bad, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, looked, fell, round, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, door, white, sat, black
Topic 1158 (0.01): looked, head, nodded, eyes, told, smiled, voice, shook, hand, sat
Topic 610 (0.01): mother, time, home, house, told, father, looked, day, girl, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, head, black, body, blood, air, dead, flesh, light, skin
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, air, water, light
Topic 162 (0.00): eyes, voice, anger, time, told, hard, head, words, suddenly, looked
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, mind, feel
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, hands, head, fingers, hair
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, argued
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, terms, view, nature, social, ideas
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, hard, talk, day
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, play, guitar
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, power, liberal, century, radical, politics
Topic 38 (0.00): film, star, movie, series, john, actor, life, world, director, role
Topic 702 (0.00): bed, night, sleep, morning, asleep, door, lay, time, woke, sat
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, heard, floor, inside, stood
Topic 578 (0.00): father, mother, family, children, house, died, life, home, lived, son
Topic 89 (0.00): dress, black, wear, white, wearing, clothes, wore, shirt, trousers, suit
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, shops, past
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, blue, girl
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, western, world, political, power
Topic 8 (0.00): time, day, told, left, returned, days, decided, arrived, found, return
