Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, head, told, hand
Topic 976 (0.01): world, life, sense, times, real, style, mind, makes, modern, character
Topic 782 (0.01): bit, people, lot, time, day, round, night, sort, stuff, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, round, arm, looked, fell, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, sat, white, hands
Topic 1158 (0.01): looked, head, nodded, smiled, eyes, told, shook, voice, hand, sat
Topic 610 (0.01): mother, house, home, time, told, father, looked, day, girl, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, air, dead, flesh, skin, light
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, air, water, light
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, mind, father
Topic 162 (0.00): eyes, voice, anger, hard, told, time, looked, words, head, suddenly
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, hands, head, fingers, hair
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, wrong, day
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, view, terms, nature, concept, model
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, argued
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, single, play
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, liberal, century, politics, power, radical
Topic 38 (0.00): film, star, movie, series, john, actor, world, director, played, story
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, heard, floor, looked, inside
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, awake
Topic 89 (0.00): dress, black, wear, white, clothes, wearing, wore, shirt, trousers, suit
Topic 578 (0.00): father, mother, family, children, house, died, home, life, lived, son
Topic 8 (0.00): time, day, told, returned, days, decided, left, found, arrived, return
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, shops, past
Topic 1027 (0.00): war, united, policy, soviet, military, world, foreign, western, east, political
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, blue, girl
Topic 24 (0.00): yesterday, government, week, told, night, spokesman, secretary, decision, added, minister
Topic 188 (0.00): looked, house, day, told, night, people, cried, heard, time, home
Topic 1016 (0.00): king, son, royal, death, earl, reign, father, kingdom, political, died
Topic 674 (0.00): book, wrote, life, published, writing, books, written, literary, read, author
Topic 359 (0.00): food, eat, table, bread, meal, kitchen, breakfast, plate, eating, tea
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, summit, minister
Topic 151 (0.00): cent, million, government, budget, economic, foreign, debt, economy, deficit, announced
Topic 1487 (0.00): government, billion, country, money, world, past, economy, people, economic, politicians
Topic 847 (0.00): told, time, morning, home, night, day, phone, left, rang, car
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, parked
Topic 953 (0.00): public, criticism, attack, political, critics, support, views, debate, press, view
Topic 776 (0.00): success, experience, ability, world, successful, time, career, people, hard, sense
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 112 (0.00): accept, support, position, prepared, decision, refused, accepted, question, pressure, time
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, spent
Topic 266 (0.00): time, start, people, easy, remember, job, difficult, decide, lot, idea
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, glass
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 494 (0.00): government, national, political, president, assembly, opposition, party, elections, parties, democratic
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, lake, river
Topic 190 (0.00): study, studies, evidence, found, results, data, findings, research, suggest, significant
Topic 383 (0.00): people, feel, life, bad, wrong, told, time, world, stupid, understand
Topic 82 (0.00): government, forces, troops, fighting, peace, military, army, ceasefire, war, reported
Topic 721 (0.00): path, trees, ground, grass, track, yards, road, left, close, ahead
Topic 1402 (0.00): head, takes, eyes, hand, feel, hands, sits, makes, tells, sit
Topic 343 (0.00): business, market, company, sales, growth, future, major, increased, development, markets
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, significant, increased, process
