Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, hand, head, told
Topic 976 (0.01): world, life, sense, style, times, age, mind, real, makes, modern
Topic 782 (0.01): bit, people, time, lot, day, stuff, round, night, sort, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, looked, round, fell, suddenly
Topic 1326 (0.01): looked, hand, eyes, stood, head, door, hair, white, sat, hands
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, shook, hand, voice, sat
Topic 610 (0.01): mother, house, home, time, told, father, looked, day, girl, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, body, black, blood, head, air, dead, light, flesh, skin
Topic 1348 (0.00): sun, sky, trees, green, white, blue, water, day, light, air
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, mind, heart, day
Topic 162 (0.00): eyes, voice, anger, told, time, hard, looked, suddenly, words, head
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hands, hand, head, fingers, hair
Topic 700 (0.00): argument, view, evidence, question, arguments, reason, claim, true, argue, argued
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, model, concept
Topic 1459 (0.00): people, lot, time, bit, feel, sort, talk, started, day, wrong
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, song, single, guitar
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, society
Topic 62 (0.00): political, social, society, economic, movement, liberal, century, politics, radical, change
Topic 38 (0.00): film, star, movie, series, john, actor, stars, life, role, director
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, awake
Topic 1159 (0.00): door, stairs, house, kitchen, front, window, floor, heard, inside, stood
Topic 89 (0.00): dress, black, wear, white, wearing, clothes, wore, shirt, trousers, dressed
Topic 578 (0.00): father, mother, family, children, house, died, life, home, lived, son
Topic 8 (0.00): time, told, day, left, returned, days, decided, found, arrived, return
Topic 1027 (0.00): war, united, policy, military, soviet, world, foreign, western, east, political
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, shops, past
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, blue, girl
Topic 24 (0.00): yesterday, government, week, told, spokesman, night, decision, secretary, added, minister
Topic 188 (0.00): house, looked, day, people, night, told, cried, heard, time, door
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, reign, father, political, lands
Topic 359 (0.00): food, eat, table, bread, meal, kitchen, plate, breakfast, eating, tea
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, minister, summit
Topic 674 (0.00): book, wrote, life, published, writing, books, written, literary, read, author
Topic 847 (0.00): told, time, home, morning, night, day, phone, left, rang, car
Topic 1487 (0.00): government, billion, country, money, past, world, people, economy, politicians, ago
Topic 151 (0.00): cent, million, government, economic, budget, foreign, economy, debt, deficit, announced
Topic 953 (0.00): public, criticism, political, attack, critics, views, support, debate, people, expressed
Topic 150 (0.00): car, road, drove, drive, driver, driving, cars, seat, front, engine
Topic 776 (0.00): success, experience, ability, successful, world, career, hard, future, people, sense
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, late
Topic 266 (0.00): time, start, people, easy, job, difficult, remember, decide, lot, worth
Topic 112 (0.00): support, accept, position, prepared, question, decision, time, pressure, refused, accepted
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
