Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, hand, head, told
Topic 976 (0.01): world, life, sense, style, times, mind, real, makes, character, age
Topic 782 (0.01): bit, people, time, lot, day, round, stuff, night, bad, sort
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, round, looked, fell, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, round, sat, white, hands
Topic 1158 (0.01): looked, head, nodded, eyes, smiled, told, shook, voice, hand, moment
Topic 610 (0.01): mother, house, home, time, told, father, looked, day, girl, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, body, black, blood, head, dead, flesh, air, mouth, skin
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, air, light, water
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, mind, father
Topic 162 (0.00): eyes, voice, anger, time, told, head, hard, looked, suddenly, words
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, hands, head, fingers, hair
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, view, terms, nature, concept, model
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, wrong, day
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 700 (0.00): argument, view, evidence, question, arguments, reason, true, claim, argue, argued
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, guitar, song, single
Topic 1361 (0.00): john, born, son, died, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, liberal, power, radical, politics, change
Topic 38 (0.00): film, star, movie, series, john, actor, world, director, played, stars
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, awake
Topic 1159 (0.00): door, stairs, house, window, front, kitchen, heard, floor, left, inside
Topic 89 (0.00): dress, black, wear, white, wearing, clothes, wore, shirt, trousers, suit
Topic 578 (0.00): father, mother, family, children, house, died, life, home, lived, born
Topic 1380 (0.00): street, streets, city, people, town, houses, road, square, shops, past
Topic 8 (0.00): time, day, told, left, arrived, decided, returned, days, found, return
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, blue, girl
Topic 1027 (0.00): war, united, policy, military, world, soviet, foreign, western, east, government
Topic 24 (0.00): yesterday, government, week, told, night, spokesman, secretary, decision, added, minister
Topic 188 (0.00): looked, house, day, told, people, night, cried, time, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, reign, kingdom, lands, court, time
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, breakfast, plate, eating, tea
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, read, author
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, summit, ministers, minister
Topic 1487 (0.00): government, billion, country, money, people, past, economy, world, ago, economic
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, rang, evening
Topic 151 (0.00): cent, million, government, economic, budget, foreign, economy, debt, deficit, announced
Topic 953 (0.00): public, criticism, attack, political, critics, support, views, debate, press, opinion
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, door, parked
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, late
Topic 776 (0.00): success, experience, ability, successful, career, world, time, people, future, life
Topic 112 (0.00): support, accept, position, decision, prepared, refused, question, accepted, time, terms
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 266 (0.00): time, start, people, easy, difficult, job, remember, decide, worth, idea
Topic 494 (0.00): government, national, president, political, assembly, opposition, elections, party, parties, democratic
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, kitchen, white, bedroom
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, south, river
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, significant
Topic 383 (0.00): people, feel, life, bad, time, wrong, told, stupid, understand, world
Topic 721 (0.00): path, trees, ground, track, grass, yards, road, round, edge, left
Topic 343 (0.00): business, market, company, sales, growth, future, major, development, markets, increased
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, process, significant, change
Topic 82 (0.00): forces, government, troops, peace, fighting, army, military, ceasefire, border, reported
Topic 1402 (0.00): head, hand, takes, eyes, feel, hands, tells, sits, sit, makes
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, moon, sky, shadow
Topic 583 (0.00): minister, party, government, prime, president, opposition, leader, resignation, election, cabinet
Topic 225 (0.00): labour, party, election, liberal, conservative, vote, campaign, conservatives, democrats, government
Topic 485 (0.00): talk, told, people, heard, time, conversation, found, talking, talked, spoke
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, king, eyes, wine
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, spent, pounds, cost
Topic 609 (0.00): history, historical, cultural, discourse, narrative, process, form, meaning, sense, culture
Topic 778 (0.00): book, published, books, guide, author, history, volume, written, edition, information
Topic 221 (0.00): holiday, town, village, beach, resort, restaurants, beautiful, visit, day, beaches
Topic 229 (0.00): method, cost, advantages, effective, advantage, required, difficult, methods, expensive, provide
Topic 745 (0.00): hospital, doctor, home, ill, day, time, told, days, doctors, life
Topic 258 (0.00): evil, death, life, sin, people, god, human, guilt, moral, fear
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 1146 (0.00): food, fresh, cooking, sauce, meat, fish, dishes, flavour, wine, dish
Topic 1178 (0.00): cent, inflation, recession, rates, economy, growth, rate, economic, recovery, rise
Topic 409 (0.00): cricket, test, match, ball, wickets, runs, west, county, innings, team
Topic 423 (0.00): matter, reason, mind, question, truth, understand, doubt, suppose, time, surely
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, political
Topic 996 (0.00): war, decline, period, remained, crisis, time, led, continued, lost, late
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, total, figures, half, increased
Topic 977 (0.00): companies, industry, firms, market, technology, investment, markets, industries, business, world
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, table, house
Topic 424 (0.00): curriculum, pupils, teachers, school, education, schools, national, teaching, mathematics, assessment
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, victory
Topic 1401 (0.00): management, evaluation, assessment, performance, process, objectives, review, information, development, effectiveness
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, workers, movement, left
Topic 734 (0.00): police, people, violence, protest, demonstrators, demonstrations, city, march, demonstration, riots
Topic 58 (0.00): crowd, people, audience, front, day, standing, stood, round, applause, hall
Topic 815 (0.00): rugby, players, world, game, cup, tour, south, team, international, play
Topic 386 (0.00): company, bid, business, companies, deal, stake, shares, cent, takeover, market
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, catalogue
Topic 1109 (0.00): job, time, life, career, months, school, decided, left, people, found
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, held, justice
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, composer, playing, sound, recordings
Topic 956 (0.00): army, battle, soldiers, enemy, king, miles, horse, horses, troops, rode
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, heart, spirit
Topic 1414 (0.00): life, home, time, people, friends, day, family, enjoy, children, feel
Topic 290 (0.00): century, nineteenth, eighteenth, late, centuries, twentieth, period, modern, middle, seventeenth
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, database, access
Topic 1465 (0.00): cut, top, plastic, holes, hole, piece, metal, edge, fit, position
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, match
Topic 941 (0.00): house, door, garden, front, gate, windows, window, wall, stone, road
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, calcium, shown, protein, effect, response
Topic 269 (0.00): told, press, claimed, allegations, statement, evidence, public, story, claims, official
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminism, feminists, sex, sexual
Topic 1141 (0.00): system, software, network, systems, applications, data, users, database, support, application
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, love
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, labour, capital, economic, system
Topic 1001 (0.00): people, world, human, country, life, society, live, future, power, war
Topic 885 (0.00): lady, lord, sir, dear, prince, madam, miss, leave, hand, gentleman
Topic 1201 (0.00): act, section, person, provisions, statutory, powers, duty, subject, provision, persons
Topic 553 (0.00): mother, daughter, parents, girl, family, father, home, child, told, baby
Topic 1129 (0.00): social, society, people, sociology, individual, life, behaviour, individuals, human, societies
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, tanks, pond, filtration
Topic 675 (0.00): proposals, proposed, council, proposal, consultation, document, paper, review, draft, committee
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, student
Topic 602 (0.00): party, cent, elections, seats, election, won, vote, parties, democratic, candidates
Topic 436 (0.00): village, house, church, built, century, manor, houses, hall, road, building
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 805 (0.00): government, party, labour, conservative, policy, political, policies, conservatives, social, thatcher
Topic 1302 (0.00): chapter, section, discussed, chapters, book, discussion, analysis, study, main, detail
Topic 122 (0.00): increase, increased, rate, reduction, reduced, increasing, period, change, increases, effect
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, serum, intestinal, liver
Topic 762 (0.00): research, science, department, university, technology, centre, programme, institute, development, projects
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, task, alternative, potential, remain
Topic 756 (0.00): war, world, military, gulf, country, civil, army, wars, soldiers, wartime
Topic 21 (0.00): funding, funds, grant, money, support, fund, government, grants, financial, council
Topic 808 (0.00): time, smiled, love, looked, laughed, told, happy, kissed, meet, tomorrow
Topic 286 (0.00): flowers, plants, garden, flower, plant, leaves, roses, summer, spring, white
Topic 45 (0.00): military, army, government, coup, forces, president, officers, country, attempt, armed
Topic 924 (0.00): charges, court, trial, government, investigation, corruption, scandal, alleged, arrested, police
Topic 1163 (0.00): windows, program, screen, file, files, dos, version, software, package, disk
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, federation, deputies, congress
Topic 334 (0.00): local, government, authorities, councils, authority, services, central, county, council, district
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, write
Topic 1200 (0.00): teachers, schools, teaching, teacher, school, curriculum, education, classroom, development, educational
Topic 1336 (0.00): community, union, treaty, economic, policy, monetary, single, political, countries, common
Topic 408 (0.00): report, committee, commission, recommendations, reports, published, government, evidence, review, recommended
Topic 1227 (0.00): court, told, police, yesterday, trial, heard, crown, found, guilty, murder
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, receiver, time, office
Topic 741 (0.00): empire, century, roman, emperor, imperial, christian, rule, centuries, time, history
Topic 608 (0.00): issues, debate, issue, questions, discussion, question, public, political, concern, future
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, poured, brandy
Topic 322 (0.00): race, horse, won, racing, jockey, winner, trainer, cup, run, season
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 355 (0.00): church, built, palace, building, chapel, cathedral, century, fine, house, city
Topic 1239 (0.00): care, social, services, community, health, service, workers, people, assessment, residential
Topic 505 (0.00): friends, friend, life, met, time, found, home, friendship, school, girl
Topic 631 (0.00): museum, art, collection, gallery, national, museums, collections, arts, exhibition, paintings
Topic 1478 (0.00): theatre, play, stage, production, performance, actor, drama, actors, plays, audience
Topic 1186 (0.00): church, catholic, roman, religious, bishops, christian, churches, pope, council, archbishop
Topic 1199 (0.00): law, legal, laws, common, courts, legislation, act, criminal, rules, statute
Topic 1174 (0.00): party, president, elected, minister, national, government, political, elections, council, affairs
Topic 1115 (0.00): murder, killed, death, kill, killing, dead, people, life, shot, murdered
Topic 686 (0.00): major, minister, thatcher, prime, john, government, party, labour, cabinet, election
Topic 186 (0.00): tax, income, taxes, taxation, revenue, rate, government, budget, cent, vat
Topic 592 (0.00): students, courses, degree, studies, study, faculty, subjects, honours, degrees, university
Topic 61 (0.00): differences, features, structure, pattern, similar, common, patterns, structures, variations, individual
Topic 920 (0.00): policy, policies, government, political, public, social, economic, implementation, governments, issues
Topic 699 (0.00): research, study, social, studies, data, methods, project, researcher, researchers, observation
Topic 960 (0.00): boat, deck, water, boats, ship, crew, yacht, sea, sailing, sail
Topic 1463 (0.00): army, officer, military, regiment, soldiers, war, officers, soldier, training, sergeant
Topic 73 (0.00): learning, teaching, skills, students, student, teacher, experience, knowledge, education, learner
Topic 133 (0.00): words, word, recognition, information, system, input, text, lexicon, processing, corpus
Topic 802 (0.00): press, newspaper, daily, paper, news, newspapers, times, papers, editor, mail
Topic 855 (0.00): children, child, parents, adult, adults, age, parent, school, childhood, family
Topic 934 (0.00): diet, food, foods, sugar, eat, fat, fibre, fruit, vegetables, eating
Topic 1069 (0.00): rural, population, urban, cities, towns, growth, people, migration, cent, south
Topic 930 (0.00): president, bush, house, congress, administration, campaign, senate, republican, white, presidential
