Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, head, hand, told
Topic 976 (0.01): world, life, sense, style, times, real, makes, character, mind, past
Topic 782 (0.01): bit, people, time, lot, day, night, stuff, round, sort, bloody
Topic 730 (0.01): head, hand, feet, eyes, hands, round, arm, fell, looked, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, door, hands, sat, white
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, shook, hand, sat
Topic 610 (0.01): mother, home, house, time, told, father, looked, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, dead, air, flesh, mouth, skin
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, air, light, grass
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, father, heart, mind
Topic 162 (0.00): eyes, voice, anger, time, head, told, looked, hard, suddenly, words
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, hands, head, fingers, hair
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, view, terms, social, nature, concept
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, life
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 700 (0.00): argument, view, evidence, question, arguments, reason, claim, true, argue, matter
Topic 655 (0.00): season, cup, manager, team, game, players, club, league, united, play
Topic 368 (0.00): band, music, album, record, rock, songs, pop, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, society
Topic 62 (0.00): political, social, society, economic, movement, radical, liberal, power, change, politics
Topic 38 (0.00): film, star, movie, series, actor, john, life, director, world, role
Topic 1159 (0.00): door, stairs, house, window, front, heard, kitchen, floor, inside, looked
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, time, door, woke, day
Topic 89 (0.00): dress, black, wear, white, clothes, wearing, wore, shirt, trousers, dressed
Topic 578 (0.00): father, family, mother, children, house, home, died, lived, life, born
Topic 1380 (0.00): street, streets, city, people, town, road, houses, square, past, buildings
Topic 8 (0.00): time, day, left, told, decided, returned, arrived, days, return, found
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, western, world, east, government
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, blue, girl
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, minister, added
Topic 188 (0.00): looked, house, day, night, told, people, time, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, time, reign, political, court
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, summit, held
Topic 674 (0.00): book, wrote, life, published, writing, books, written, literary, read, author
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, breakfast, plate, eating, tea
Topic 847 (0.00): told, time, home, morning, day, night, phone, evening, rang, left
Topic 1487 (0.00): government, billion, country, money, past, economy, world, people, ago, economic
Topic 953 (0.00): public, criticism, attack, political, critics, support, press, issue, view, debate
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, deficit, announced
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, engine
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, lunch
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, operating
Topic 776 (0.00): success, experience, ability, time, successful, world, career, people, hard, life
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, shot, goals, home, time
Topic 112 (0.00): support, position, accept, question, decision, prepared, accepted, refused, offer, agreed
Topic 266 (0.00): time, start, people, easy, difficult, remember, decide, job, worth, sort
Topic 494 (0.00): government, national, president, political, assembly, opposition, party, elections, parties, democratic
Topic 1035 (0.00): furniture, table, house, walls, floor, wall, chairs, white, kitchen, glass
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 383 (0.00): people, life, feel, bad, wrong, time, told, stupid, understand, day
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 272 (0.00): road, valley, loch, mountains, miles, hills, mountain, north, lake, south
Topic 82 (0.00): forces, government, troops, fighting, peace, army, military, ceasefire, reported, border
Topic 485 (0.00): talk, told, people, time, heard, conversation, talking, found, talked, spoke
Topic 343 (0.00): business, market, company, sales, growth, future, increased, major, markets, products
Topic 1343 (0.00): development, period, major, growth, developed, developments, led, process, change, significant
Topic 721 (0.00): path, trees, ground, grass, track, road, yards, stopped, close, looked
Topic 1402 (0.00): head, eyes, hand, takes, hands, feel, sits, tells, sit, makes
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, resignation, election, cabinet
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, democrats, government
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, moon, torch, shadow
Topic 595 (0.00): money, pay, paid, buy, people, business, cash, spent, pounds, cost
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, king, eyes, chamber
Topic 609 (0.00): history, historical, cultural, narrative, discourse, form, meaning, sense, process, text
Topic 778 (0.00): book, published, books, guide, author, history, volume, written, edition, information
Topic 221 (0.00): holiday, town, village, resort, beach, restaurants, day, beautiful, lake, visit
Topic 229 (0.00): method, cost, advantages, difficult, methods, means, advantage, required, effective, provide
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, system, parents
Topic 258 (0.00): evil, life, death, god, sin, human, truth, moral, power, guilt
Topic 745 (0.00): hospital, doctor, ill, home, time, told, day, days, doctors, life
Topic 55 (0.00): economic, economy, government, growth, policy, labour, market, industrial, policies, political
Topic 1178 (0.00): cent, inflation, recession, rates, economy, growth, rate, economic, recovery, rise
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, county, innings, team
Topic 1146 (0.00): food, fresh, cooking, sauce, meat, fish, dishes, flavour, dish, wine
Topic 423 (0.00): matter, reason, mind, question, truth, understand, surely, people, doubt, suppose
Topic 763 (0.00): cent, average, compared, proportion, increase, survey, total, figures, half, rate
Topic 977 (0.00): companies, industry, firms, market, investment, technology, markets, competition, industries, business
Topic 996 (0.00): decline, led, war, remained, period, time, crisis, collapse, lost, continued
Topic 789 (0.00): cup, final, win, won, team, league, season, club, championship, victory
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, mathematics, assessment
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, house, table
Topic 651 (0.00): party, revolution, political, communist, revolutionary, socialist, soviet, workers, movement, socialism
Topic 58 (0.00): crowd, people, audience, front, day, stood, round, applause, standing, hall
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, information, objectives, development, effectiveness
Topic 1414 (0.00): life, home, time, people, friends, day, family, children, enjoy, feel
Topic 734 (0.00): police, people, violence, protest, demonstrations, demonstrators, city, march, demonstration, riots
Topic 815 (0.00): rugby, players, game, world, cup, tour, south, team, international, season
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, late, centuries, period, modern, middle, seventeenth
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, exhibitions, sculpture
Topic 956 (0.00): army, battle, soldiers, enemy, king, horse, miles, troops, horses, castle
Topic 386 (0.00): company, bid, business, deal, companies, stake, shares, cent, market, chairman
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, law, held, justice
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, spirit, heart
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, concerto
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, access, database
Topic 1109 (0.00): job, time, life, people, career, found, decided, left, months, school
Topic 941 (0.00): house, door, garden, front, gate, windows, wall, stone, window, stood
Topic 1465 (0.00): cut, top, holes, plastic, hole, piece, metal, edge, fit, position
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, season, match
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminists, feminism, sex, sexual
Topic 1490 (0.00): cells, cell, membrane, receptor, activity, shown, calcium, effect, increased, response
Topic 269 (0.00): told, press, allegations, claimed, statement, evidence, public, story, official, week
Topic 469 (0.00): production, capitalist, class, capitalism, social, labour, society, capital, economic, system
Topic 1141 (0.00): system, software, network, systems, applications, data, users, support, database, application
Topic 1201 (0.00): act, section, person, provisions, statutory, duty, powers, subject, provision, persons
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, love, family
Topic 553 (0.00): mother, daughter, parents, girl, father, family, home, child, told, children
Topic 885 (0.00): lady, lord, sir, dear, prince, miss, madam, house, leave, woman
