Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, head, told, mind
Topic 976 (0.01): world, life, sense, style, times, makes, simply, character, mind, age
Topic 782 (0.01): bit, people, time, lot, day, round, bad, night, sort, stuff
Topic 730 (0.01): head, hand, feet, eyes, hands, round, arm, fell, looked, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, hands, sat, white
Topic 1158 (0.01): looked, head, nodded, eyes, smiled, told, voice, shook, hand, sat
Topic 610 (0.01): mother, house, time, home, told, looked, father, girl, day, love
Topic 220 (0.00): eyes, voice, looked, hand, head, hands, tears, moment, stood, suddenly
Topic 141 (0.00): eyes, head, black, body, blood, dead, air, flesh, skin, light
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, air, grass, light
Topic 162 (0.00): eyes, voice, anger, time, told, looked, hard, head, suddenly, stared
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, mind, father, heart
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, hands, head, fingers, hair
Topic 736 (0.00): theory, analysis, theories, approach, theoretical, terms, view, nature, concept, model
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, hard, wrong
Topic 700 (0.00): argument, view, evidence, question, arguments, reason, true, argue, claim, argued
Topic 655 (0.00): season, cup, manager, team, game, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, father
Topic 62 (0.00): political, social, society, economic, movement, change, liberal, radical, power, politics
Topic 38 (0.00): film, star, movie, series, actor, john, world, life, director, stars
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, woke
Topic 1159 (0.00): door, stairs, house, front, kitchen, window, heard, floor, inside, stood
Topic 89 (0.00): dress, black, wear, white, clothes, wearing, wore, shirt, dressed, trousers
Topic 578 (0.00): father, mother, family, children, house, died, home, life, lived, son
Topic 1380 (0.00): street, streets, city, people, town, houses, road, past, day, shops
Topic 8 (0.00): time, day, told, found, days, decided, arrived, returned, left, return
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, world, western, east, government
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, blue, girl, white
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, minister
Topic 188 (0.00): looked, house, day, told, people, night, time, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, kingdom, earl, reign, political, power, time
Topic 359 (0.00): food, eat, table, bread, breakfast, meal, kitchen, eating, plate, tea
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, read, author
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, summit, minister
Topic 1487 (0.00): government, billion, country, money, people, world, past, economy, ago, economic
Topic 847 (0.00): told, time, home, morning, day, night, phone, rang, evening, car
Topic 953 (0.00): public, criticism, attack, political, critics, support, press, debate, views, critical
Topic 151 (0.00): cent, million, government, budget, economic, foreign, deficit, debt, economy, announced
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, parked, front
Topic 776 (0.00): success, experience, ability, world, people, successful, confidence, career, sense, time
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, bed
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, operating
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, time
Topic 112 (0.00): support, accept, position, question, decision, prepared, refused, accepted, pressure, offer
Topic 494 (0.00): government, national, president, political, assembly, opposition, party, elections, parties, democratic
Topic 266 (0.00): time, start, people, easy, difficult, decide, job, remember, worth, sort
Topic 1035 (0.00): furniture, table, house, walls, floor, white, wall, chairs, kitchen, dining
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, reported, countries, agreement
Topic 383 (0.00): people, feel, bad, life, wrong, told, time, stupid, hate, understand
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, lake, south
Topic 721 (0.00): path, trees, ground, grass, track, road, yards, close, looked, feet
Topic 82 (0.00): forces, government, troops, fighting, peace, army, military, ceasefire, reported, border
Topic 1343 (0.00): development, period, major, growth, developed, developments, process, led, change, significant
Topic 485 (0.00): talk, told, people, time, heard, talking, conversation, found, spoke, talked
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, shadow, moon, torch
Topic 343 (0.00): business, market, company, sales, growth, future, development, major, markets, increased
Topic 1402 (0.00): head, eyes, takes, hand, feel, hands, sits, tells, makes, door
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, resignation, election, cabinet
Topic 225 (0.00): labour, party, election, liberal, vote, conservative, campaign, conservatives, democrats, government
Topic 778 (0.00): book, published, books, guide, author, history, written, volume, edition, information
Topic 595 (0.00): money, pay, paid, buy, people, business, spent, cash, pounds, worth
Topic 221 (0.00): holiday, town, village, resort, beach, day, restaurants, beautiful, lake, visit
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, eyes, king, chamber
Topic 609 (0.00): history, historical, narrative, cultural, discourse, process, meaning, forms, form, language
Topic 229 (0.00): method, cost, advantages, required, methods, advantage, difficult, effective, provide, expensive
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
