Topic 115 (0.01): eyes, looked, smile, time, moment, smiled, voice, head, told, hand
Topic 976 (0.01): world, life, sense, style, real, character, mind, makes, age, times
Topic 782 (0.01): bit, people, time, lot, day, stuff, night, round, sort, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, looked, arm, round, fell, left
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, sat, hands, white
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, shook, voice, hand, moment
Topic 610 (0.01): mother, house, home, time, told, father, looked, girl, day, love
Topic 220 (0.01): eyes, voice, looked, hand, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, head, blood, dead, air, flesh, skin, mouth
Topic 1348 (0.00): sun, sky, trees, green, white, blue, air, light, day, water
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, father, day, heart
Topic 1019 (0.00): eyes, body, mouth, lips, hand, arms, hands, head, fingers, kiss
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, social, nature, concept
Topic 162 (0.00): eyes, voice, anger, told, head, time, hard, suddenly, words, mouth
Topic 1459 (0.00): people, lot, time, bit, feel, sort, talk, started, told, hard
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, argued
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, songs, rock, pop, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, society
Topic 62 (0.00): political, social, society, economic, movement, power, liberal, politics, radical, values
Topic 38 (0.00): film, star, movie, series, actor, john, life, world, story, director
Topic 702 (0.00): bed, night, sleep, morning, asleep, door, lay, time, eyes, head
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, floor, heard, stood, inside
Topic 578 (0.00): father, mother, family, children, house, home, died, life, lived, time
Topic 1380 (0.00): street, streets, city, people, town, road, houses, day, square, shops
Topic 89 (0.00): dress, wear, black, white, clothes, wearing, wore, shirt, trousers, dressed
Topic 8 (0.00): time, day, told, left, decided, returned, days, arrived, return, found
Topic 1027 (0.00): war, united, policy, military, soviet, world, foreign, western, east, government
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, blue, girl
Topic 188 (0.00): looked, house, day, told, people, night, time, cried, heard, home
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, added, meeting
Topic 1016 (0.00): king, son, royal, death, kingdom, reign, earl, died, war, political
Topic 359 (0.00): food, eat, table, bread, meal, breakfast, kitchen, plate, tea, eating
Topic 674 (0.00): book, wrote, life, published, writing, books, written, literary, read, writer
Topic 1487 (0.00): government, billion, country, money, people, past, economy, world, economic, ago
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, summit, minister
Topic 953 (0.00): public, criticism, political, attack, support, critics, views, press, debate, issue
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, debt, deficit, announced
Topic 847 (0.00): told, time, home, morning, day, night, phone, evening, left, rang
Topic 150 (0.00): car, road, drove, drive, driver, driving, cars, seat, front, parked
Topic 112 (0.00): support, accept, position, prepared, question, refused, decision, pressure, accepted, offer
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, operating
Topic 776 (0.00): success, ability, experience, world, time, career, successful, life, hard, people
Topic 969 (0.00): day, morning, night, time, evening, home, hours, days, afternoon, bed
Topic 494 (0.00): government, national, political, president, assembly, opposition, party, elections, parties, democratic
Topic 1035 (0.00): furniture, table, house, walls, floor, chairs, white, wall, kitchen, bedroom
Topic 266 (0.00): time, start, people, easy, difficult, job, remember, decide, worth, lot
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, announced
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, lake, south
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
Topic 383 (0.00): people, feel, life, told, bad, wrong, time, stupid, understand, hate
Topic 721 (0.00): path, trees, ground, track, grass, looked, time, road, yards, left
Topic 1343 (0.00): development, period, major, growth, developments, developed, led, process, late, increasingly
Topic 1402 (0.00): head, hand, takes, eyes, feel, hands, makes, tells, sits, sit
Topic 82 (0.00): forces, government, troops, fighting, peace, army, military, ceasefire, reported, border
Topic 800 (0.00): light, night, dark, darkness, lights, lit, shadows, shadow, moon, torch
Topic 778 (0.00): book, published, books, guide, author, history, volume, written, edition, text
Topic 343 (0.00): business, market, sales, company, growth, future, major, development, markets, increased
Topic 225 (0.00): labour, party, election, liberal, conservative, vote, campaign, conservatives, democrats, government
Topic 485 (0.00): talk, told, people, heard, time, talking, conversation, found, spoke, talked
Topic 583 (0.00): minister, party, government, prime, president, leader, opposition, resignation, election, cabinet
Topic 480 (0.00): sir, master, lady, john, looked, replied, head, king, chamber, eyes
Topic 595 (0.00): money, pay, paid, buy, people, business, spent, cash, pounds, rich
Topic 221 (0.00): holiday, town, village, resort, day, beach, restaurants, beautiful, lake, visit
Topic 229 (0.00): method, advantages, cost, difficult, required, methods, advantage, means, effective, expensive
Topic 609 (0.00): history, cultural, historical, discourse, narrative, process, meaning, form, forms, sense
Topic 258 (0.00): evil, life, death, god, sin, human, true, truth, guilt, fear
Topic 785 (0.00): education, schools, school, children, educational, teachers, secondary, pupils, parents, system
Topic 745 (0.00): hospital, doctor, home, ill, told, time, day, days, life, doctors
Topic 55 (0.00): economic, economy, government, growth, policy, market, labour, industrial, policies, political
Topic 1146 (0.00): food, cooking, fresh, sauce, meat, fish, dishes, flavour, cheese, dish
Topic 409 (0.00): cricket, test, match, ball, wickets, west, runs, county, innings, team
Topic 996 (0.00): decline, war, led, remained, crisis, time, period, collapse, lost, continued
Topic 1178 (0.00): cent, inflation, recession, rates, economy, growth, rate, economic, recovery, rise
Topic 763 (0.00): cent, average, compared, proportion, survey, increase, figures, total, rate, half
Topic 394 (0.00): party, dinner, evening, guests, friends, night, hotel, invited, day, lunch
Topic 977 (0.00): companies, industry, firms, market, markets, business, industries, technology, investment, world
Topic 1401 (0.00): management, evaluation, assessment, performance, process, review, objectives, information, development, effectiveness
Topic 58 (0.00): crowd, people, audience, front, day, stood, standing, applause, round, stage
Topic 789 (0.00): cup, final, win, won, team, league, club, season, championship, victory
Topic 423 (0.00): matter, mind, reason, question, understand, truth, doubt, suppose, simply, surely
Topic 424 (0.00): curriculum, pupils, school, teachers, education, schools, national, teaching, mathematics, assessment
Topic 651 (0.00): party, revolution, political, revolutionary, communist, socialist, soviet, workers, movement, social
Topic 290 (0.00): century, nineteenth, eighteenth, twentieth, centuries, late, period, modern, middle, seventeenth
Topic 820 (0.00): exhibition, art, gallery, artists, artist, paintings, museum, drawings, catalogue, sculpture
Topic 734 (0.00): police, people, violence, protest, demonstrators, city, demonstrations, march, demonstration, riots
Topic 550 (0.00): god, lord, prayer, love, life, christian, pray, people, holy, spirit
Topic 1414 (0.00): life, time, home, people, friends, day, family, enjoy, children, feel
Topic 386 (0.00): company, bid, business, companies, deal, stake, market, shares, cent, chairman
Topic 956 (0.00): army, battle, soldiers, enemy, horse, miles, king, horses, rode, prince
Topic 132 (0.00): music, orchestra, recording, piano, symphony, performance, playing, composer, recordings, sound
Topic 815 (0.00): rugby, players, game, cup, world, south, tour, team, international, coach
Topic 1126 (0.00): information, data, system, computer, systems, electronic, records, software, management, database
Topic 1493 (0.00): court, appeal, decision, judge, judgment, house, lords, held, justice, lord
Topic 941 (0.00): house, door, garden, front, gate, windows, stone, wall, window, stood
Topic 158 (0.00): football, club, league, players, game, team, cup, manager, match, fans
Topic 1490 (0.00): cells, cell, membrane, activity, receptor, shown, effect, calcium, increased, response
Topic 269 (0.00): told, press, claimed, allegations, statement, evidence, public, official, story, claims
Topic 1109 (0.00): job, time, life, career, people, months, found, left, decided, school
Topic 1465 (0.00): cut, top, holes, plastic, hole, metal, piece, edge, remove, fit
Topic 1372 (0.00): women, male, female, woman, feminist, gender, feminists, feminism, sex, sexual
Topic 469 (0.00): production, capitalist, class, capitalism, social, society, capital, labour, economic, means
Topic 1141 (0.00): system, software, network, systems, applications, data, database, support, users, management
Topic 1201 (0.00): act, section, person, provisions, statutory, powers, subject, provision, duty, persons
Topic 880 (0.00): wife, husband, woman, married, marriage, children, daughter, life, family, love
Topic 885 (0.00): lady, lord, sir, dear, miss, prince, house, madam, leave, told
Topic 602 (0.00): party, elections, cent, seats, election, won, vote, democratic, parties, candidates
Topic 553 (0.00): mother, daughter, girl, parents, father, family, home, child, told, baby
Topic 1307 (0.00): fish, tank, water, aquarium, filter, species, fry, plants, pond, filtration
Topic 762 (0.00): research, science, technology, department, university, centre, programme, development, institute, industry
Topic 1129 (0.00): social, society, life, sociology, individual, people, behaviour, individuals, relations, human
Topic 436 (0.00): village, house, church, built, century, houses, manor, building, hall, road
Topic 675 (0.00): proposals, proposed, consultation, proposal, council, document, paper, review, draft, report
Topic 1001 (0.00): world, people, country, human, life, live, society, power, lives, future
Topic 1108 (0.00): solution, difficult, difficulties, situation, future, difficulty, task, question, alternative, means
Topic 1291 (0.00): painting, art, artist, paintings, artists, drawing, painter, painted, portrait, paint
Topic 805 (0.00): party, government, labour, conservative, policy, political, policies, conservatives, economic, election
Topic 617 (0.00): college, university, oxford, professor, school, students, lecturer, royal, academic, veterinary
Topic 637 (0.00): patients, disease, colitis, bowel, normal, inflammatory, biopsy, serum, found, liver
Topic 924 (0.00): charges, court, trial, investigation, government, scandal, corruption, arrested, alleged, prison
Topic 286 (0.00): flowers, plants, garden, plant, flower, leaves, roses, spring, summer, grow
Topic 45 (0.00): military, army, coup, government, forces, president, officers, country, armed, attempt
Topic 122 (0.00): increase, increased, rate, reduced, reduction, increasing, period, increases, decline, effect
Topic 21 (0.00): funding, funds, money, grant, support, fund, government, grants, financial, million
Topic 1302 (0.00): chapter, section, discussed, book, chapters, discussion, analysis, main, detail, study
Topic 1336 (0.00): union, community, treaty, economic, policy, monetary, single, political, countries, common
Topic 756 (0.00): war, world, military, gulf, country, civil, wars, army, fighting, soldiers
Topic 808 (0.00): time, smiled, love, happy, looked, laughed, told, meet, kissed, hand
Topic 1163 (0.00): windows, program, screen, files, file, dos, version, package, software, text
Topic 1120 (0.00): phone, telephone, call, voice, calls, ring, rang, time, receiver, office
Topic 261 (0.00): sales, company, market, products, customers, selling, business, companies, marketing, product
Topic 652 (0.00): magazine, article, issue, readers, editor, read, articles, page, letter, journal
Topic 505 (0.00): friends, friend, life, time, met, found, home, friendship, girls, house
Topic 1000 (0.00): soviet, supreme, republics, republic, union, president, independence, deputies, federation, federal
Topic 334 (0.00): local, government, authorities, councils, services, central, authority, county, council, district
Topic 664 (0.00): glass, drink, wine, bottle, table, whisky, glasses, drank, brandy, water
