Topic 115 (0.01): eyes, looked, smile, time, voice, moment, smiled, head, hand, mind
Topic 976 (0.01): world, life, sense, style, makes, mind, real, character, times, humour
Topic 782 (0.01): bit, people, time, lot, day, round, stuff, sort, night, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, round, looked, fell, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, door, sat, hands, white
Topic 1158 (0.01): looked, head, nodded, told, smiled, eyes, shook, voice, hand, sat
Topic 610 (0.01): mother, house, time, home, told, father, looked, girl, day, love
Topic 220 (0.01): eyes, voice, hand, looked, head, hands, tears, moment, stood, sat
Topic 141 (0.00): eyes, black, body, blood, head, air, dead, flesh, skin, mouth
Topic 1348 (0.00): sun, sky, trees, white, green, blue, day, air, water, light
Topic 1412 (0.00): love, life, time, loved, mother, woman, told, day, father, heart
Topic 162 (0.00): eyes, voice, anger, told, head, looked, time, hard, suddenly, words
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hands, hand, head, fingers, hair
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, social, concept
Topic 1459 (0.00): people, lot, time, bit, feel, sort, started, talk, day, told
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, people, labour, agree, party
Topic 700 (0.00): argument, view, question, evidence, arguments, reason, true, claim, argue, argued
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, pop, songs, rock, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, sons
Topic 62 (0.00): political, social, society, economic, movement, radical, politics, liberal, power, values
Topic 38 (0.00): film, star, movie, series, actor, john, director, stars, role, world
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, door, time, head, awake
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, floor, heard, inside, left
Topic 578 (0.00): father, mother, family, children, house, home, died, life, lived, son
Topic 89 (0.00): dress, wear, black, white, wearing, clothes, wore, shirt, trousers, suit
Topic 1380 (0.00): street, streets, city, people, town, road, houses, shops, day, square
Topic 8 (0.00): time, day, told, decided, found, left, arrived, days, returned, return
Topic 236 (0.00): hair, eyes, woman, dark, looked, black, tall, white, girl, blue
Topic 1027 (0.00): war, united, policy, soviet, military, world, foreign, western, east, government
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, minister
Topic 188 (0.00): looked, house, day, told, night, people, time, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, reign, time, kingdom, war, political
Topic 359 (0.00): food, eat, table, bread, breakfast, meal, kitchen, plate, eating, tea
Topic 674 (0.00): book, wrote, life, published, writing, books, literary, written, read, author
Topic 1487 (0.00): government, billion, country, money, people, economy, world, past, economic, ago
Topic 1257 (0.00): meeting, talks, agreement, conference, agreed, countries, president, ministers, summit, minister
Topic 953 (0.00): public, criticism, political, attack, critics, press, support, views, issue, view
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, deficit, debt, announced
Topic 847 (0.00): told, time, home, morning, day, night, phone, left, rang, car
Topic 150 (0.00): car, road, drove, driver, drive, driving, cars, seat, front, traffic
Topic 112 (0.00): support, accept, position, refused, prepared, pressure, question, decision, accepted, time
Topic 1312 (0.00): software, systems, system, sun, technology, computer, windows, company, market, development
Topic 969 (0.00): day, night, morning, time, evening, home, hours, days, afternoon, spent
Topic 1091 (0.00): goal, minutes, ball, half, game, minute, goals, shot, home, defence
Topic 776 (0.00): success, experience, world, ability, time, successful, career, life, sense, people
Topic 1035 (0.00): furniture, table, house, walls, floor, chairs, wall, white, kitchen, bedroom
Topic 584 (0.00): foreign, minister, visit, relations, government, president, talks, countries, reported, agreement
Topic 266 (0.00): time, start, people, easy, difficult, job, worth, remember, decide, lot
Topic 494 (0.00): government, national, president, political, opposition, assembly, elections, party, parties, democratic
Topic 272 (0.00): road, loch, valley, mountains, miles, hills, mountain, north, river, lake
Topic 383 (0.00): people, feel, bad, life, wrong, time, told, world, understand, stupid
Topic 190 (0.00): study, studies, evidence, found, results, data, research, findings, suggest, differences
