Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, mind, head, hand
Topic 976 (0.01): world, sense, life, times, style, real, mind, character, makes, age
Topic 782 (0.01): bit, people, time, lot, day, round, night, stuff, sort, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, arm, round, looked, fell, left
Topic 1326 (0.01): looked, hand, eyes, head, stood, hair, door, sat, hands, white
Topic 1158 (0.01): looked, head, nodded, eyes, told, smiled, voice, shook, hand, moment
Topic 610 (0.01): mother, home, house, told, time, looked, father, girl, day, love
Topic 220 (0.01): eyes, voice, looked, hand, head, tears, hands, moment, stood, sat
Topic 141 (0.00): eyes, black, body, blood, head, dead, air, flesh, white, skin
Topic 1348 (0.00): sun, sky, trees, green, white, blue, day, water, grass, light
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, father, mind, heart
Topic 1019 (0.00): eyes, body, mouth, lips, arms, hand, hands, head, fingers, hair
Topic 162 (0.00): eyes, voice, anger, told, time, head, hard, suddenly, looked, words
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, social, model, nature
Topic 1459 (0.00): people, lot, time, bit, feel, sort, talk, started, hard, wrong
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 700 (0.00): argument, view, question, evidence, arguments, claim, reason, true, argue, argued
Topic 655 (0.00): season, cup, manager, game, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, pop, songs, rock, song, guitar, single
Topic 1361 (0.00): john, born, died, son, wife, daughter, sir, family, married, society
Topic 62 (0.00): political, social, society, economic, movement, liberal, power, values, radical, politics
Topic 38 (0.00): film, star, movie, series, actor, john, stars, director, role, life
Topic 702 (0.00): bed, night, sleep, morning, asleep, lay, time, door, sat, woke
Topic 1159 (0.00): door, stairs, house, front, kitchen, window, floor, heard, left, inside
Topic 578 (0.00): father, mother, family, children, house, home, died, life, lived, son
Topic 89 (0.00): dress, wear, black, white, clothes, wearing, wore, shirt, dressed, suit
Topic 1380 (0.00): street, streets, city, people, town, houses, road, day, shops, square
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, white, blue, girl
Topic 8 (0.00): time, day, told, days, left, found, returned, return, arrived, decided
Topic 1027 (0.00): war, united, policy, military, soviet, foreign, world, western, east, political
Topic 188 (0.00): looked, house, day, night, told, people, time, cried, heard, home
Topic 24 (0.00): yesterday, government, week, night, told, spokesman, secretary, decision, added, minister
Topic 1016 (0.00): king, son, royal, death, kingdom, reign, earl, political, lands, father
