Topic 115 (0.01): eyes, looked, smile, time, moment, voice, smiled, head, mind, hand
Topic 976 (0.01): world, life, sense, style, times, real, past, mind, makes, character
Topic 782 (0.01): bit, people, time, lot, day, round, stuff, sort, night, bad
Topic 730 (0.01): head, hand, feet, eyes, hands, fell, round, looked, arm, suddenly
Topic 1326 (0.01): looked, hand, eyes, head, hair, stood, sat, door, white, hands
Topic 1158 (0.01): looked, head, nodded, told, eyes, smiled, voice, shook, hand, sat
Topic 610 (0.01): mother, home, time, house, looked, told, father, girl, day, love
Topic 220 (0.01): eyes, voice, looked, hand, head, tears, hands, moment, stood, sat
Topic 141 (0.00): eyes, black, head, body, blood, dead, air, flesh, skin, mouth
Topic 1348 (0.00): sun, sky, trees, green, white, blue, air, day, water, light
Topic 1019 (0.00): eyes, body, mouth, lips, hands, arms, hand, head, fingers, hair
Topic 1412 (0.00): love, life, time, loved, mother, told, woman, heart, day, mind
Topic 162 (0.00): eyes, voice, anger, time, told, head, hard, looked, suddenly, words
Topic 736 (0.00): theory, analysis, approach, theories, theoretical, terms, view, nature, concept, social
Topic 1 (0.00): friend, gentleman, minister, government, secretary, house, labour, people, agree, party
Topic 700 (0.00): argument, view, evidence, question, arguments, true, claim, reason, argued, argue
Topic 1459 (0.00): people, lot, time, bit, feel, sort, talk, started, wrong, day
Topic 655 (0.00): season, cup, game, manager, team, players, league, club, united, play
Topic 368 (0.00): band, music, album, record, rock, pop, songs, song, single, guitar
Topic 1361 (0.00): john, born, son, died, wife, daughter, sir, family, married, society
Topic 62 (0.00): political, social, society, economic, movement, liberal, politics, radical, power, change
Topic 38 (0.00): film, star, movie, series, actor, john, world, stars, director, life
Topic 702 (0.00): bed, night, sleep, morning, asleep, door, lay, time, sat, woke
Topic 578 (0.00): father, mother, family, children, house, died, lived, home, life, son
Topic 1159 (0.00): door, stairs, house, front, window, kitchen, heard, floor, inside, left
Topic 89 (0.00): dress, black, wear, white, wearing, clothes, wore, shirt, suit, jacket
Topic 1380 (0.00): street, streets, city, people, town, road, houses, shops, square, day
Topic 8 (0.00): time, day, told, left, decided, days, arrived, returned, return, found
Topic 236 (0.00): hair, eyes, woman, dark, black, looked, tall, blue, white, girl
Topic 1027 (0.00): war, united, policy, military, foreign, world, soviet, western, east, political
Topic 24 (0.00): yesterday, government, week, night, spokesman, told, secretary, decision, added, meeting
Topic 188 (0.00): house, looked, day, told, night, time, people, cried, heard, home
Topic 1016 (0.00): king, son, royal, death, earl, kingdom, time, political, reign, war
Topic 359 (0.00): food, eat, table, bread, kitchen, meal, plate, breakfast, eating, tea
Topic 674 (0.00): book, life, wrote, published, writing, books, written, literary, writer, read
Topic 1487 (0.00): government, billion, country, people, money, world, past, economy, economic, politicians
Topic 1257 (0.00): meeting, talks, conference, agreement, agreed, countries, president, ministers, summit, minister
Topic 953 (0.00): public, criticism, political, attack, critics, support, press, issue, views, debate
Topic 151 (0.00): cent, million, government, budget, economic, foreign, economy, deficit, debt, announced
Topic 969 (0.00): day, night, morning, time, evening, home, hours, afternoon, days, late
Topic 150 (0.00): car, road, drove, driver, drive, driving, seat, cars, front, traffic
Topic 112 (0.00): support, accept, position, prepared, decision, question, time, pressure, offer, accepted
Topic 1312 (0.00): software, systems, system, sun, technology, computer, company, windows, market, development
Topic 847 (0.00): told, time, home, morning, day, night, phone, evening, rang, left
